fleurs_dir,name,level,glottocode,longitude,latitude,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
af_za,Afrikaans,language,afri1274,20.46356,-31.63272,indo1319,clas1257,germ1287,nort3152,west2793,macr1270,midd1347,mode1257,glob1241,afri1273,,,,,,
am_et,Amharic,language,amha1245,39.543456,11.708182,afro1255,semi1276,west2786,ethi1244,sout3078,amha1244,,,,,,,,,,
ar_eg,Standard Arabic,language,stan1318,43.8525,27.9625,afro1255,semi1276,west2786,cent2236,arab1394,arab1395,,,,,,,,,,
hy_am,Eastern Armenian,language,nucl1235,45.0,40.0,indo1319,clas1257,arme1241,east2768,,,,,,,,,,,,
as_in,Assamese,language,assa1263,91.2932,26.0876,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1323,oriy1254,gaud1237,kamt1240,assa1262,,,,,
ast_es,Asturian-Leonese-Cantabrian,language,astu1245,-6.02227,42.4181,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,astu1244,,,
az_az,North Azerbaijani,language,nort2697,46.4737,40.97768,turk1311,comm1245,oghu1243,nucl1769,azer1255,,,,,,,,,,,
be_by,Belarusian,language,bela1254,25.6038,53.2307,indo1319,clas1257,balt1263,slav1255,east1426,,,,,,,,,,,
bn_in,Bengali,language,beng1280,90.0,24.0,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1323,oriy1254,gaud1237,gaud1238,,,,,,
bs_ba,Bosnian Standard,dialect,bosn1245,17.046,43.859,indo1319,clas1257,balt1263,slav1255,sout3147,west2804,sout1528,shto1241,news1236,east2821,,,,,,
bg_bg,Bulgarian,language,bulg1262,25.047,43.3646,indo1319,clas1257,balt1263,slav1255,sout3147,east2269,mace1252,,,,,,,,,
my_mm,Burmese,language,nucl1310,93.9665,20.7926,sino1245,burm1265,lolo1265,burm1266,sout3159,mran1234,nucl1811,,,,,,,,,
yue_hant_hk,Yue Chinese,language,yuec1235,113.0,23.0,sino1245,sini1245,clas1255,midd1354,yuep1234,,,,,,,,,,,
ca_es,Catalan,language,stan1289,1.569,41.453,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,,,,,
ceb_ph,Cebuano,language,cebu1242,124.367,8.38799,aust1307,mala1545,grea1284,cent2246,bisa1268,,,,,,,,,,,
hr_hr,Croatian Standard,dialect,croa1245,15.982,45.555,indo1319,clas1257,balt1263,slav1255,sout3147,west2804,sout1528,shto1241,news1236,east2821,,,,,,
cs_cz,Czech,language,czec1258,15.10437,49.873398,indo1319,clas1257,balt1263,slav1255,west2792,czec1260,,,,,,,,,,
da_dk,Danish,language,dani1285,9.36284,54.8655,indo1319,clas1257,germ1287,nort3152,nort3160,sout3248,,,,,,,,,,
nl_nl,Dutch,language,dutc1256,5.0,52.0,indo1319,clas1257,germ1287,nort3152,west2793,macr1270,midd1347,mode1257,glob1241,,,,,,,
en_us,English,language,stan1293,-1.0,53.0,indo1319,clas1257,germ1287,nort3152,west2793,nort3175,angl1264,angl1265,late1254,merc1242,macr1271,,,,,
et_ee,Estonian,language,esto1258,25.82,58.55,ural1272,finn1317,coas1319,neva1234,cent2329,,,,,,,,,,,
fil_ph,Tagalog,language,taga1270,121.747,14.06,aust1307,mala1545,grea1284,cent2246,taga1280,taga1269,,,,,,,,,,
fi_fi,Finnish,language,finn1318,25.5577,64.7628,ural1272,finn1317,coas1319,neva1234,nort3282,nucl1717,,,,,,,,,,
fr_fr,French,language,stan1290,2.0,48.0,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,nort3208,gall1280,oila1234,cent2283,macr1273,glob1239
ff_sn,Pulaar,language,pula1263,-13.4482,13.8694,atla1278,nort3146,peul1234,fula1264,,,,,,,,,,,,
gl_es,Galician,language,gali1258,-7.5343,42.2446,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,gali1263,,,
lg_ug,Ganda,language,gand1255,32.15153,0.66884,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,grea1289,west2841,nort3220,,,,,
ka_ge,Georgian,language,nucl1302,43.78613,41.850397,kart1248,geor1252,geor1253,,,,,,,,,,,,,
de_de,German,language,stan1295,12.4676,48.649,indo1319,clas1257,germ1287,nort3152,west2793,high1289,high1286,midd1349,mode1258,uppe1464,glob1243,,,,,
el_gr,Modern Greek,language,mode1248,23.13,38.36,indo1319,clas1257,grae1234,gree1276,east2798,cent2404,koin1234,mode1266,nucl1783,,,,,,,
gu_in,Gujarati,language,guja1252,71.0962,22.687,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,apab1234,guja1255,guja1256,,,,,,
ha_ng,Hausa,language,haus1257,8.7804,11.1513,afro1255,chad1250,west2785,west2714,west2718,,,,,,,,,,,
he_il,Modern Hebrew,language,hebr1245,35.0179,31.1056,afro1255,semi1276,west2786,cent2236,nort3165,cana1267,hebr1246,,,,,,,,,
hi_in,Hindi,language,hind1269,77.0,25.0,indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,midl1245,shau1239,indo1322,west2812,hind1270,,,,,
hu_hu,Hungarian,language,hung1274,19.6555271429,46.9068585714,ural1272,hung1287,,,,,,,,,,,,,,
is_is,Icelandic,language,icel1247,-19.0212,63.4837,indo1319,clas1257,germ1287,nort3152,nort3160,west2805,icel1246,,,,,,,,,
ig_ng,Igbo,language,nucl1417,7.23441,4.62705,atla1278,volt1241,benu1247,igbo1258,igbo1259,cent2417,,,,,,,,,,
id_id,Standard Indonesian,language,indo1316,109.716,-7.33458,aust1307,mala1545,mala1554,mala1538,nucl1806,stan1327,,,,,,,,,,
ga_ie,Irish,language,iris1253,-7.61509,53.2186,indo1319,clas1257,celt1248,nucl1715,tgbc1234,insu1254,goid1240,mode1265,,,,,,,,
it_it,Italian,language,ital1282,12.6489,43.0464,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,ital1286,ital1287,cent2427,,,,,
ja_jp,Japanese,language,nucl1643,135.0,35.0,japo1237,japa1256,japa1258,,,,,,,,,,,,,
jv_id,Javanese,language,java1254,109.287,-7.001,aust1307,mala1545,java1253,mode1251,glob1245,,,,,,,,,,,
kea_cv,Kabuverdianu,language,kabu1256,-23.6148,15.0586,indo1319,clas1257,ital1284,lati1262,lati1263,impe1234,roma1334,ital1285,west2813,shif1234,sout3183,west2838,gali1263,macr1272,uppe1458,
kam_ke,Kamba (Kenya),language,kamb1297,37.9532,-1.60827,atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,cent2274,kamb1323,,,,,,
kn_in,Kannada,language,nucl1305,76.1198,13.5878,drav1251,sout3133,sout3138,tami1291,bada1263,kann1259,kann1255,,,,,,,,,
kk_kz,Kazakh,language,kaza1248,71.454,51.17,turk1311,comm1245,kipc1240,kipc1239,sout3396,sout2701,,,,,,,,,,
