fleurs_dir,Language,english_name,ISO_639-1,ISO_639-3,glottocode,speakers_fleurs,speakers_linguameta,speakers_wikimedia
af_za,Afrikaans,Afrikaans,af,afr,afri1274,17.0,7.3,7.0
am_et,Amharic,Amharic,am,amh,amha1245,22.0,36.0,35.0
ar_eg,Arabic,Arabic,ar,ara,,180.0,346.277,335.0
hy_am,Armenian,Armenian,hy,hye,nucl1235,6.0,3.0,5.0
as_in,Assamese,Assamese,as,asm,assa1263,13.0,17.0,15.0
ast_es,Asturian,Asturian,ast,ast,astu1245,0.6,0.65,0.1
az_az,Azerbaijani,North Azerbaijani,az,azj,nort2697,18.0,24.0,24.0
be_by,Belarusian,Belarusian,be,bel,bela1254,3.0,9.5,5.0
bn_in,Bengali,Bengali,bn,ben,beng1280,260.0,266.0,242.0
bs_ba,Bosnian,Bosnian,bs,bos,bosn1245,9.0,3.8,3.0
bg_bg,Bulgarian,Bulgarian,bg,bul,bulg1262,7.0,7.0,6.0
my_mm,Burmese,Myanmar (Burmese),my,mya,nucl1310,33.0,36.0,33.0
yue_hant_hk,Cantonese Chinese,Yue Chinese,yue_hant,yue_hant,yuec1235,920.0,79.0,85.0
ca_es,Catalan,Catalan,ca,cat,stan1289,4.0,8.539,4.0
ceb_ph,Cebuano,Cebuano,ceb,ceb,cebu1242,16.0,26.0,20.0
hr_hr,Croatian,Croatian,hr,hrv,croa1245,4.0,4.66,5.0
cs_cz,Czech,Czech,cs,ces,czec1258,10.0,10.0,9.0
da_dk,Danish,Danish,da,dan,dani1285,5.0,5.5106,6.0
nl_nl,Dutch,Dutch,nl,nld,dutc1256,21.0,24.0852,25.0
en_us,English,English,en,eng,stan1293,550.0,1267.445366,380.0
et_ee,Estonian,Estonian,et,est,,1.0,1.2,1.0
fil_ph,Filipino (Tagalog),Tagalog,fil,fil,taga1270,22.0,,29.0
fi_fi,Finnish,Finnish,fi,fin,finn1318,5.0,5.2,5.0
fr_fr,French,French,fr,fra,stan1290,280.0,203.19494,74.0
ff_sn,Fula,Fulah,ff,ful,pula1263,12.0,37.0,
gl_es,Galician,Galician,gl,glg,gali1258,2.0,3.5,2.0
lg_ug,Ganda,Luganda,lg,lug,gand1255,4.0,5.6,5.0
ka_ge,Georgian,Georgian,ka,kat,nucl1302,4.0,3.4,3.0
de_de,German,German,de,deu,stan1295,83.0,91.739,95.0
el_gr,Greek,Greek,el,ell,mode1248,13.0,12.2,13.0
gu_in,Gujarati,Gujarati,gu,guj,guja1252,56.0,60.0,57.0
ha_ng,Hausa,Hausa,ha,hau,haus1257,70.0,28.25,58.0
he_il,Hebrew,Hebrew,he,heb,hebr1245,4.0,8.7,9.0
hi_in,Hindi,Hindi,hi,hin,hind1269,320.0,544.0,345.0
hu_hu,Hungarian,Hungarian,hu,hun,hung1274,13.0,11.8,14.0
is_is,Icelandic,Icelandic,is,isl,icel1247,0.3,0.35,0.39
ig_ng,Igbo,Igbo,ig,ibo,nucl1417,18.0,28.0,34.0
id_id,Indonesian,Indonesian,id,ind,indo1316,200.0,171.0,75.0
ga_ie,Irish,Irish,ga,gle,iris1253,0.2,1.1,0.195029
it_it,Italian,Italian,it,ita,ital1282,61.0,65.25082,65.0
ja_jp,Japanese,Japanese,ja,jpn,nucl1643,130.0,119.0,123.0
jv_id,Javanese,Javanese,jv,jav,java1254,85.0,91.0,68.0
kea_cv,Kabuverdianu,Kabuverdianu,kea,kea,kabu1256,0.9,0.53,0.871
kam_ke,Kamba,Kamba,kam,kam,kamb1297,4.0,4.1,4.0
kn_in,Kannada,Kannada,kn,kan,nucl1305,43.0,49.0,44.0
kk_kz,Kazakh,Kazakh,kk,kaz,kaza1248,11.0,13.2,16.0
km_kh,Khmer,Khmer,km,khm,cent1989,16.0,15.0,19.0
ko_kr,Korean,Korean,ko,kor,kore1280,52.0,75.0,81.0
ky_kg,Kyrgyz,Kyrgyz,ky,kir,kirg1245,8.0,2.9,5.0
lo_la,Lao,Lao,lo,lao,laoo1244,20.0,5.1,3.0
lv_lv,Latvian,Latvian,lv,lav,latv1249,2.0,1.1,1.0
ln_cd,Lingala,Lingala,ln,lin,ling1263,15.0,3.42,21.0
lt_lt,Lithuanian,Lithuanian,lt,lit,lith1251,2.0,2.3,4.0
luo_ke,Luo,Luo,luo,luo,luok1236,4.0,5.2,4.0
lb_lu,Luxembourgish,Luxembourgish,lb,ltz,luxe1241,0.4,0.42,0.4
mk_mk,Macedonian,Macedonian,mk,mkd,mace1250,1.0,1.4,1.0
ms_my,Malay,Malay,ms,msa,,80.0,34.4,82.0
ml_in,Malayalam,Malayalam,ml,mal,mala1464,77.0,42.0,37.0
mt_mt,Maltese,Maltese,mt,mlt,malt1254,0.5,0.46,0.57
cmn_hans_cn,Mandarin Chinese,Mandarin Chinese,cmn_hans,cmn_hans,mand1415,80.0,1288.7,990.0
mi_nz,Maori,Maori,mi,mri,maor1246,0.2,0.14,0.05
mr_in,Marathi,Marathi,mr,mar,mara1378,83.0,93.0,83.0
mn_mn,Mongolian,Mongolian,mn,mon,mong1331,5.0,6.5,5.0
ne_np,Nepali,Nepali,ne,npi,nepa1254,16.0,16.0,19.0
nso_za,Northern Sotho,Sepedi,nso,nso,pedi1238,14.0,5.3,6.0
nb_no,Norwegian,Norwegian Bokmål,nb,nob,norw1258,5.0,10.5015,4.0
ny_mw,Nyanja,Chichewa,ny,nya,nyan1308,12.0,13.0,
oc_fr,Occitan,Occitan,oc,oci,occi1239,0.5,2.0,0.2
or_in,Oriya,Odia,or,ory,oriy1255,35.0,35.0,34.0
om_et,Oromo,Oromo,om,orm,,24.0,42.0,45.0
ps_af,Pashto,Pashto,ps,pus,nucl1276,13.0,53.0,51.0
fa_ir,Persian,Persian,fa,fas,,40.0,82.0,91.0
pl_pl,Polish,Polish,pl,pol,poli1260,38.0,37.0,40.0
pt_br,Portuguese (Brazil),Portuguese,pt,por,port1283,220.0,225.751001,250.0
pa_in,Punjabi,Punjabi,pa,pan,panj1256,113.0,200.0,150.0
ro_ro,Romanian,Romanian,ro,ron,roma1327,19.0,21.1,22.0
ru_ru,Russian,Russian,ru,rus,russ1263,150.0,170.2,145.0
sr_rs,Serbian,Serbian,sr,srp,serb1264,6.0,7.89,8.0
sn_zw,Shona,Shona,sn,sna,shon1251,9.0,12.0,9.0
sd_in,Sindhi,Sindhi,sd,snd,sind1272,68.0,38.4,37.0
sk_sk,Slovak,Slovak,sk,slk,slov1269,4.0,4.9,5.0
sl_si,Slovenian,Slovenian,sl,slv,slov1268,2.0,1.8,2.0
so_so,Somali,Somali,so,som,soma1255,24.0,9.2,24.0
