Glottocode,n_phonemes,n_consonants,n_vowels,n_tone,has_tone,n_stress,has_stress,n_syllabic,has_syllabic,n_short,has_short,n_long,has_long,n_consonantal,has_consonantal,n_sonorant,has_sonorant,n_continuant,has_continuant,n_delayedRelease,has_delayedRelease,n_approximant,has_approximant,n_tap,has_tap,n_trill,has_trill,n_nasal,has_nasal,n_lateral,has_lateral,n_labial,has_labial,n_round,has_round,n_labiodental,has_labiodental,n_coronal,has_coronal,n_anterior,has_anterior,n_distributed,has_distributed,n_strident,has_strident,n_dorsal,has_dorsal,n_high,has_high,n_low,has_low,n_front,has_front,n_back,has_back,n_tense,has_tense,n_retractedTongueRoot,has_retractedTongueRoot,n_advancedTongueRoot,has_advancedTongueRoot,n_periodicGlottalSource,has_periodicGlottalSource,n_epilaryngealSource,has_epilaryngealSource,n_spreadGlottis,has_spreadGlottis,n_constrictedGlottis,has_constrictedGlottis,n_fortis,has_fortis,n_lenis,has_lenis,n_raisedLarynxEjective,has_raisedLarynxEjective,n_loweredLarynxImplosive,has_loweredLarynxImplosive,n_click,has_click
afri1274,39.0,16.0,23.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,8.0,1.0,14.0,1.0,29.0,1.0,31.0,1.0,5.0,1.0,26.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,14.0,1.0,12.0,1.0,2.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,27.0,1.0,12.0,1.0,2.0,1.0,12.0,1.0,4.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amha1245,59.0,52.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,21.0,1.0,48.0,1.0,19.0,1.0,27.0,1.0,20.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,11.0,1.0,8.0,1.0,2.0,1.0,27.0,1.0,16.0,1.0,11.0,1.0,14.0,1.0,20.0,1.0,16.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0
assa1263,36.0,22.0,14.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,21.0,1.0,21.0,1.0,3.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0,1.0,1.0,12.0,1.0,7.0,1.0,0.0,0.0,9.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,22.0,1.0,12.0,1.0,2.0,1.0,7.0,1.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astu1245,26.5,19.5,7.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,18.5,1.0,14.5,1.0,16.0,1.0,6.0,1.0,11.5,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.5,1.0,7.0,1.0,3.0,1.0,1.0,1.0,12.0,1.0,8.0,1.0,6.5,1.0,3.5,1.0,12.0,1.0,9.0,1.0,1.0,1.0,5.5,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,17.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beng1280,48.0,34.0,17.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,24.0,1.0,25.0,1.0,7.0,1.0,21.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,12.0,1.0,8.0,1.0,0.0,0.0,20.0,1.0,11.0,1.0,9.0,1.0,3.0,1.0,26.0,1.0,15.0,1.0,4.0,1.0,12.0,1.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulg1262,42.5,36.5,6.5,0.0,0.0,0.0,0.0,6.5,1.0,0.0,0.0,0.0,0.0,35.5,1.0,15.0,1.0,22.0,1.0,15.5,1.0,11.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,12.0,1.0,3.0,1.0,4.0,1.0,20.5,1.0,15.5,1.0,9.5,1.0,10.5,1.0,13.5,1.0,21.5,1.0,1.5,1.0,17.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,27.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cebu1242,20.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,10.0,1.0,9.0,1.0,3.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,7.0,1.0,0.5,0.5,2.0,1.0,2.5,1.0,3.0,1.0,0.0,0.0,0.0,0.0,13.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent1972,39.0,31.0,8.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,1.0,28.0,1.0,17.0,1.0,26.0,1.0,14.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,14.0,1.0,10.0,1.0,13.0,1.0,7.0,1.0,19.0,1.0,10.0,1.0,3.0,1.0,3.0,1.0,8.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,26.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent1989,42.0,21.0,21.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,10.0,1.0,18.0,1.0,29.0,1.0,27.0,1.0,3.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,12.0,1.0,8.0,1.0,1.0,1.0,10.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,28.0,1.0,12.0,1.0,4.0,1.0,9.0,1.0,8.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
croa1245,36.0,25.0,11.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,5.0,1.0,23.0,1.0,19.0,1.0,22.0,1.0,9.0,1.0,16.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,16.0,1.0,10.0,1.0,9.0,1.0,7.0,1.0,17.0,1.0,12.0,1.0,2.0,1.0,10.0,1.0,4.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
