split_id,propn,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,n_noun,n_adj,n_adp,n_det,n_pron,n_verb,n_adv,n_intj,n_total,f_score
dev_1590,1,0,0,0,0,0,0,0,0,1,0,0,4,7,0,3,1,1,0,0,32,68.7500
dev_1544,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,2,2,5,4,0,29,50.0000
dev_1646,1,0,0,0,0,1,0,0,0,0,0,0,5,2,4,1,1,1,1,0,23,69.5652
dev_1557,1,0,0,0,0,0,0,0,1,0,0,0,6,0,4,4,0,3,1,0,25,70.0000
dev_1609,1,1,0,0,0,0,0,0,0,0,0,0,6,1,2,1,0,2,1,0,22,65.9091
dev_1601,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,1,5,0,0,26,57.6923
dev_1627,1,0,0,0,1,1,1,0,0,0,0,0,3,3,4,0,1,2,0,0,21,66.6667
dev_1638,1,0,0,0,0,1,1,0,0,0,0,0,3,2,2,2,0,1,1,0,16,71.8750
dev_1520,1,0,0,0,0,1,0,0,0,0,0,0,4,1,5,2,2,4,1,0,27,59.2593
dev_1568,1,0,1,0,0,0,0,0,0,1,0,0,5,6,4,1,2,2,3,0,35,62.8571
dev_1630,1,1,0,0,1,1,0,0,0,0,0,0,2,1,3,2,0,4,2,0,29,53.4483
dev_1658,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3,0,2,1,0,20,70.0000
dev_1562,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,1,2,0,0,19,76.3158
dev_1525,1,0,0,1,0,1,1,0,0,0,0,0,12,8,3,4,0,4,0,0,46,75.0000
dev_1648,1,0,0,0,0,1,0,0,0,0,0,0,3,2,2,2,1,1,2,0,17,64.7059
dev_1578,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,1,0,12,58.3333
dev_1548,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,4,2,1,0,17,44.1176
dev_1561,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,1,1,0,0,16,62.5000
dev_1559,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,1,2,2,0,16,53.1250
dev_1653,1,0,0,0,1,0,0,0,0,0,0,0,4,1,4,3,0,1,0,0,31,67.7419
dev_1528,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,1,0,0,12,87.5000
dev_1628,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1,2,0,0,19,65.7895
dev_1602,1,0,1,0,0,0,1,0,0,0,0,0,8,2,4,1,1,2,2,0,31,66.1290
dev_1629,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2,0,4,1,0,29,62.0690
dev_1569,1,0,0,0,0,1,1,0,0,0,0,0,5,1,6,6,0,1,0,0,26,82.6923
dev_1555,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,1,1,0,0,15,80.0000
dev_1610,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1,3,0,0,17,67.6471
dev_1651,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,3,2,0,18,52.7778
dev_1577,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,1,0,16,40.6250
dev_1521,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,2,5,0,17,44.1176
dev_1538,1,0,0,1,1,0,0,0,0,0,0,0,4,2,3,3,0,3,2,0,27,62.9630
dev_1540,1,0,0,0,1,0,0,0,0,0,0,0,4,1,3,2,1,2,2,0,25,60.0000
dev_1518,1,0,0,0,0,1,0,0,0,0,0,1,5,1,3,3,1,2,0,0,23,69.5652
dev_1621,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,2,1,0,15,70.0000
dev_1512,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,3,2,3,1,0,32,67.1875
dev_1535,0,0,0,0,0,0,0,0,0,0,0,0,12,3,2,0,1,7,1,0,34,61.7647
dev_1652,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,9,72.2222
dev_1533,1,0,0,0,1,0,0,0,0,0,0,0,6,3,3,1,0,1,1,0,22,75.0000
dev_1633,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,1,3,1,0,22,65.9091
dev_1547,1,0,0,0,1,1,0,0,0,0,0,0,3,1,1,1,0,2,2,0,17,55.8824
dev_1622,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9,55.5556
dev_1546,0,0,0,0,0,0,0,0,0,0,0,0,13,1,3,6,2,4,3,0,48,64.5833
dev_1626,1,0,0,1,0,0,0,0,1,0,0,0,8,2,6,3,2,2,0,0,37,70.2703
dev_1655,1,1,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,2,0,0,27,62.9630
dev_1584,1,1,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,1,2,0,18,63.8889
dev_1619,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,2,2,0,21,61.9048
dev_1605,1,0,0,0,0,0,1,0,0,0,0,0,6,3,4,6,0,4,0,0,27,77.7778
dev_1596,1,0,0,0,0,0,0,0,0,1,0,1,3,2,4,1,0,1,0,0,18,75.0000
dev_1593,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,2,1,0,22,68.1818
dev_1571,1,1,1,0,1,0,0,0,0,0,0,0,2,1,3,4,1,2,1,0,22,63.6364
dev_1558,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,2,2,0,23,67.3913
dev_1589,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,3,1,1,0,0,28,75.0000
dev_1551,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,3,2,0,20,45.0000
dev_1580,1,0,0,0,1,1,0,0,0,0,0,0,3,4,5,2,2,4,1,0,34,60.2941
dev_1613,0,0,1,0,0,0,0,0,0,0,0,0,8,1,2,4,1,5,3,0,30,60.0000
dev_1640,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,2,1,0,0,22,63.6364
dev_1618,1,1,0,0,1,0,1,0,0,0,0,0,2,2,1,2,0,3,0,0,23,58.6957
dev_1624,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,1,1,0,13,69.2308
dev_1647,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,3,3,0,19,57.8947
dev_1607,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,1,0,0,13,73.0769
dev_1523,1,0,0,0,1,0,0,0,0,0,0,0,6,1,0,3,0,1,0,0,24,68.7500
dev_1634,1,1,0,0,1,1,0,0,0,0,0,0,6,3,1,3,0,2,1,0,22,72.7273
dev_1536,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,2,0,4,0,0,27,70.3704
