code,name,hours_fleurs,hours_xlsr,hours_xlsr_pretrain,hours_vl107,hours_cv,hours_mls,hours_babel,hours_voxpopuli
ab,Abkhazian,,0.5,10.05,10.0,0.05,,,
af,Afrikaans,4.103383333333333,87.0,108.0,108.0,,,,
am,Amharic,10.616466666666666,65.0,81.0,81.0,,,,
ar,Arabic,8.19305640625,95.0,108.31,59.0,49.31,,,
as,Assamese,15.144733333333333,179.0,360.74,155.0,0.74,,205.0,
ast,Asturian,10.16255,,,,,,,
az,North Azerbaijani,12.914416666666666,47.0,58.0,58.0,,,,
ba,Bashkir,,47.0,58.0,58.0,,,,
be,Belarusian,14.78895,106.0,133.0,133.0,,,,
bg,Bulgarian,12.332833333333333,17616.0,17650.0,50.0,,,,17600.0
bn,Bengali,15.374666666666666,100.0,270.0,55.0,,,215.0,
bo,Tibetan,,81.0,101.0,101.0,,,,
br,Breton,,42.0,51.2,44.0,7.2,,,
bs,Bosnian,12.56455,83.0,105.0,105.0,,,,
ca,Catalan,11.790444444444445,691.0,711.47,88.0,623.47,,,
ceb,Cebuano,14.728716666666667,42.0,197.0,6.0,,,191.0,
ckb,Sorani Kurdish,12.979,,,,,,,
cmn,Mandarin Chinese,14.016077777777777,194.0,205.38,44.0,161.38,,,
cnh,Hakha Chin,,2.0,2.4,,2.4,,,
cs,Czech,11.774383333333333,18514.0,18803.0,67.0,36.0,,,18700.0
cv,Chuvash,,4.0,4.85,,4.85,,,
cy,Welsh,13.1718,156.0,171.95999999999998,76.0,95.96,,,
da,Danish,10.7761,13588.0,13628.0,28.0,,,,13600.0
de,German,13.149,25378.0,25982.71,39.0,777.2,1966.51,,23200.0
dv,Divehi,,18.0,18.17,,18.17,,,
el,Greek,12.6555,17761.0,17772.9,66.0,6.9,,,17700.0
en,English,8.215327777777778,69493.0,70495.62,49.0,1686.88,44659.74,,24100.0
eo,Esperanto,,97.0,100.77,10.0,90.77,,,
es,Spanish,11.2172,22258.0,22681.33,39.0,324.65,917.68,,21400.0
et,Estonian,11.16185,10652.0,10657.79,38.0,19.79,,,10600.0
eu,Basque,,113.0,118.95,29.0,89.95,,,
fa,Persian,16.671928628472223,321.0,338.63,56.0,282.63,,,
ff,Fulah,14.740583333333333,,,,,,,
fi,Finnish,13.162178055555556,13981.0,14234.65,33.0,1.65,,,14200.0
fo,Faroese,,54.0,67.0,67.0,,,,
fr,French,10.911483333333333,23973.0,24567.5,67.0,623.92,1076.58,,22800.0
fy,Western Frisian,,15.0,14.88,,14.88,,,
ga,Irish,13.987566666666666,3.0,3.23,,3.23,,,
gl,Galician,10.306705555555556,57.0,72.0,72.0,,,,
gn,Guarani,,2.0,2.0,2.0,,,,
gu,Gujarati,13.0345,37.0,46.0,46.0,,,,
gv,Manx,,3.0,4.0,4.0,,,,
ha,Hausa,16.673916666666667,75.0,93.0,93.0,,,,
haw,Hawaiian,,10.0,12.0,12.0,,,,
he,Hebrew,12.07095,77.0,96.0,96.0,,,,
hi,Hindi,8.650483333333334,65.0,81.54,81.0,0.54,,,
hr,Croatian,8.312383333333333,2520.0,8218.0,118.0,,,,8100.0
hsb,Sorbian Upper,,2.0,2.31,,2.31,,,
ht,Haitian,,138.0,299.0,96.0,,,203.0,
hu,Hungarian,13.614233333333333,17421.0,17781.09,73.0,8.09,,,17700.0
hy,Armenian,12.46705,55.0,69.0,69.0,,,,
ia,Interlingua,,9.0,9.65,3.0,6.65,,,
id,Indonesian,12.492916666666666,41.0,49.35,40.0,9.35,,,
ig,Igbo,16.77915,,,,,,,
is,Icelandic,3.1207,73.0,92.0,92.0,,,,
it,Italian,13.88905,21943.0,22356.73,51.0,158.35,247.38,,21900.0
ja,Japanese,10.596016666666667,49.0,59.77,56.0,3.77,,,
jv,Javanese,14.9231,42.0,53.0,53.0,,,,
