"","name","delta.score","Q.residual"
"1","Hittite",0.29653,0.002102
"2","Luvian",0.30383,0.002649
"3","TocharianA",0.3199,0.002641
"4","TocharianB",0.30565,0.002163
"5","MycenaeanGreek",0.33788,0.009902
"6","AncientGreek",0.28122,0.002594
"7","NTGreek",0.28126,0.002611
"8","Greek",0.26496,0.00209
"9","GreekCappodocian",0.26476,0.002184
"10","GreekPontic",0.26651,0.002268
"11","GreekCypriot",0.26765,0.002175
"12","GreekItaliot",0.26976,0.002212
"13","TsakonianPeloponnese",0.24731,0.001788
"14","TsakonianPropontis",0.25644,0.001907
"15","ClassicalArmenian",0.26883,0.001802
"16","ArmenianEastern",0.27131,0.00186
"17","ArmenianWestern",0.27139,0.001849
"18","AlbanianGheg",0.28478,0.001807
"19","AlbanianStandard",0.28887,0.00191
"20","AlbanianArberesh",0.29038,0.002224
"21","VedicEarly",0.26773,0.004113
"22","Pali",0.23144,0.003187
"23","Sinhalese",0.2282,0.002124
"24","Assamese",0.212,0.002269
"25","Bengali",0.20023,0.002183
"26","Maithili",0.21081,0.001988
"27","Magahi",0.21652,0.001898
"28","Bhojpuri",0.22378,0.002064
"29","Hindi",0.22432,0.002131
"30","Urdu",0.22265,0.00193
"31","Nepali",0.21561,0.001825
"32","Punjabi",0.20387,0.001958
"33","Marathi",0.21624,0.001987
"34","Kashmiri",0.21927,0.002489
"35","Palula",0.23857,0.002417
"36","Gawri",0.23119,0.002252
"37","Gawarbati",0.22747,0.002494
"38","PashaiNorthWest",0.2234,0.001752
"39","Khowar",0.22439,0.002146
"40","Kamviri",0.21644,0.001908
"41","KatavariEastern",0.21743,0.001808
"42","KatavariKtivi",0.23162,0.00235
"43","KalasalaNiseigram",0.22603,0.002151
"44","SanuviriWama",0.22697,0.003124
"45","VasiVariPaski",0.2953,0.002237
"46","AvestanYounger",0.2559,0.004546
"47","Khwarazmian",0.21593,0.002685
"48","Sogdian",0.21173,0.002383
"49","Khotanese",0.22393,0.002743
"50","Pashto",0.20814,0.002203
"51","Wakhi",0.22809,0.002546
"52","Sarikoli",0.21748,0.0021
"53","Yaghnobi",0.22253,0.002445
"54","Bactrian",0.25512,0.006343
"55","Parthian",0.20246,0.002891
"56","OldPersian",0.2542,0.012662
"57","MiddlePersian",0.20181,0.002483
"58","PersianTehran",0.18613,0.001977
"59","Tati",0.20072,0.002292
"60","Mazanderani",0.19344,0.002122
"61","Bakhtiari",0.18759,0.00203
"62","RajiBarzoki",0.19094,0.002483
"63","Delvari",0.19044,0.00219
"64","Lari",0.18329,0.001948
"65","BalochiSistani",0.19768,0.002199
"66","Kumzari",0.19691,0.002195
"67","KurdishNBahdini",0.19257,0.002103
"68","KurdishCJafi",0.19551,0.002237
"69","KurdishSElami",0.1974,0.002141
"70","KurdishSQorveh",0.21378,0.002737
"71","Hawrami",0.19248,0.002352
"72","OsseticIron",0.22383,0.002218
"73","OsseticDigor",0.24447,0.002452
"74","Latvian",0.20866,0.00165
"75","Latgalian",0.20562,0.001713
"76","Lithuanian",0.21177,0.001786
"77","OldPrussian",0.2388,0.002596
"78","OldChurchSlavonic",0.20791,0.001772
"79","Bulgarian",0.20701,0.001854
"80","Macedonian",0.20105,0.001745
"81","MacedonianSuho",0.20638,0.001804
"82","MacedonianVisoka",0.20667,0.001855
"83","SerboCroatian",0.20938,0.00182
"84","SloveneEarlyModern",0.21037,0.00198
"85","Slovene",0.20973,0.001881
"86","SloveneKostel",0.20952,0.002035
"87","OldPolish",0.20011,0.001572
"88","Polish",0.20546,0.001675
"89","Kashubian",0.20507,0.001677
"90","Polabian",0.21274,0.001682
"91","Slovak",0.20369,0.001652
"92","OldCzech",0.20466,0.001733
"93","Czech",0.2031,0.001737
"94","SorbianUpper",0.20576,0.001793
"95","SorbianLower",0.20782,0.001769
"96","OldNovgorod",0.24448,0.003658
"97","Russian",0.21362,0.001918
"98","Belarusian",0.20616,0.001726
"99","Ukrainian",0.20441,0.001768
"100","Rusyn",0.20455,0.001649
"101","Gothic",0.21085,0.002912
"102","OldIcelandic",0.20231,0.001721
"103","Icelandic",0.2051,0.001827
"104","Faroese",0.2048,0.001636
"105","NorwegianBokmal",0.2098,0.001715
"106","NorwegianNynorsk",0.20916,0.001673
"107","Elfdalian",0.21737,0.001921
"108","OldSwedish",0.20299,0.001745
"109","Swedish",0.20721,0.00169
"110","Danish",0.20352,0.001653
"111","OldSaxon",0.18338,0.00197
"112","OldHighGerman",0.18404,0.001956
"113","MiddleHighGerman",0.17875,0.001712
