language,longitude,latitude,n_speakers,rate_median,delta
ArmenianEastern,45.0,40.0,3.0,0.0020512401289139543,0.27131
Assamese,91.2932,26.0876,17.0,0.005613832911181397,0.212
Belarusian,25.6038,53.2307,9.5,0.00392682109585432,0.20616
Bengali,90.0,24.0,266.0,0.0028402121678510928,0.20023
Bulgarian,25.047,43.3646,7.0,0.002918603235302129,0.20701
Catalan,1.569,41.453,8.539,0.0010058780201777564,0.19902
Czech,15.10437,49.873398,10.0,0.0024009122753723988,0.2031
Danish,9.36284,54.8655,5.5106,0.002884569695124878,0.20352
Dutch,5.0,52.0,24.0852,0.0019603512017064783,0.19571
English,-1.0,53.0,1267.445366,0.0049619569808195384,0.22292
French,2.0,48.0,203.19494,0.0016894463286679592,0.18539
GaelicIrish,-7.61509,53.2186,1.1,0.001569993283221098,0.24022
German,12.4676,48.649,91.739,0.0013877452439779773,0.18441
Greek,23.13,38.36,12.2,0.0019532394958121395,0.26496
Hindi,77.0,25.0,544.0,0.001992015565753586,0.22432
Icelandic,-19.0212,63.4837,0.35,0.0014043699898439199,0.2051
Italian,12.6489,43.0464,65.25082,0.0014408304064147059,0.19382
KurdishCJafi,45.8077,35.6539,11.1,0.002959392198355576,0.19551
Latvian,24.309118,56.826108,1.1,0.004160490969291912,0.20866
Lithuanian,23.9601,55.1429,2.3,0.0036761453677759282,0.21177
Luxembourgish,6.14931,49.6839,0.42,0.004955517395497209,0.19775
Macedonian,21.7932,41.5957,1.4,0.0023033951738671166,0.20105
Marathi,76.6665,17.9344,93.0,0.004870366228504015,0.21624
Nepali,85.0,28.0,16.0,0.0032767569062564063,0.21561
NorwegianBokmal,10.71,59.92,10.5015,0.0026804584431515802,0.2098
Pashto,68.82763,32.47177,53.0,0.005687856070992809,0.20814
PersianTehran,53.3,32.9,82.0,0.0023672292424951526,0.18613
Polish,18.6255,51.8439,37.0,0.0015975336312360256,0.20546
Portuguese,-8.1,39.91,225.751001,0.0015797258949250264,0.19054
Punjabi,75.6702,30.0368,200.0,0.004746911697865569,0.20387
Romanian,24.2256,46.3913,21.1,0.002810202242971175,0.19207
Russian,50.0,59.0,170.2,0.0034991408321302705,0.21362
SerboCroatian,15.982,45.555,4.66,0.0016149881655032586,0.20938
Slovak,18.78479,48.545705,4.9,0.0017278605362961224,0.20369
Slovene,14.7766,46.2543,1.8,0.001755615536707049,0.20973
Spanish,-1.11788,40.4414,468.36,0.0015750800965497597,0.19203
Swedish,17.389526,59.800634,12.226,0.002087973273321996,0.20721
Ukrainian,29.945,49.796,29.0,0.00232816000829523,0.20441
Urdu,67.0,25.0,288.0,0.00587050550875887,0.22265
WelshNorth,-4.0,52.0,0.85,0.0016619665577549078,0.23298
