language,longitude,latitude,n_speakers,rate_median,delta
ArmenianEastern,45.0,40.0,3.0,0.002047643391060105,0.27131
Assamese,91.2932,26.0876,17.0,0.0056089606391965825,0.212
Belarusian,25.6038,53.2307,9.5,0.0039335975171202395,0.20616
Bengali,90.0,24.0,266.0,0.0028429155435845555,0.20023
Bulgarian,25.047,43.3646,7.0,0.0029231771483164666,0.20701
Catalan,1.569,41.453,8.539,0.0010054624711958418,0.19902
Czech,15.10437,49.873398,10.0,0.002416995645343172,0.2031
Danish,9.36284,54.8655,5.5106,0.0028816025528760015,0.20352
Dutch,5.0,52.0,24.0852,0.001965146883833508,0.19571
English,-1.0,53.0,1267.445366,0.004974742804042757,0.22292
French,2.0,48.0,203.19494,0.0016963749886005962,0.18539
GaelicIrish,-7.61509,53.2186,1.1,0.0015757104153394331,0.24022
German,12.4676,48.649,91.739,0.0013938833020171457,0.18441
Greek,23.13,38.36,12.2,0.0019546251862921247,0.26496
Hindi,77.0,25.0,544.0,0.0019678187819222475,0.22432
Icelandic,-19.0212,63.4837,0.35,0.0014064654768318004,0.2051
Italian,12.6489,43.0464,65.25082,0.0014409263582932544,0.19382
KurdishCJafi,45.8077,35.6539,11.1,0.0029666142197096986,0.19551
Latvian,24.309118,56.826108,1.1,0.004181376533580141,0.20866
Lithuanian,23.9601,55.1429,2.3,0.0036670747344863504,0.21177
Luxembourgish,6.14931,49.6839,0.42,0.004963744163756318,0.19775
Macedonian,21.7932,41.5957,1.4,0.002302931774404304,0.20105
Marathi,76.6665,17.9344,93.0,0.00486365170896484,0.21624
Nepali,85.0,28.0,16.0,0.0032735206641257815,0.21561
NorwegianBokmal,10.71,59.92,10.5015,0.0026830875917091654,0.2098
Pashto,68.82763,32.47177,53.0,0.005680861962137492,0.20814
PersianTehran,53.3,32.9,82.0,0.002369504060217506,0.18613
Polish,18.6255,51.8439,37.0,0.001595004655090535,0.20546
Portuguese,-8.1,39.91,225.751001,0.0015808877313989154,0.19054
Punjabi,75.6702,30.0368,200.0,0.004737992711722287,0.20387
Romanian,24.2256,46.3913,21.1,0.002825139847989742,0.19207
Russian,50.0,59.0,170.2,0.003510638138469249,0.21362
SerboCroatian,15.982,45.555,4.66,0.0016161446253621444,0.20938
Slovak,18.78479,48.545705,4.9,0.0017307256826990449,0.20369
Slovene,14.7766,46.2543,1.8,0.0017624520689131693,0.20973
Spanish,-1.11788,40.4414,468.36,0.0015769927282118193,0.19203
Swedish,17.389526,59.800634,12.226,0.0021010166638324263,0.20721
Ukrainian,29.945,49.796,29.0,0.00233660355688406,0.20441
Urdu,67.0,25.0,288.0,0.005859161515405675,0.22265
WelshNorth,-4.0,52.0,0.85,0.0016646235134047662,0.23298
