"","brsupport","clock","stemmy","Ntips"
"test_1669_-1.fa",76.675,0.210405788112825,0.341066667985602,43
"train_1379_-1.fa",61.75,0.215815810480106,0.345958719258313,43
"dev_1570_-1.fa",70.0909090909091,0.217114835792795,0.313257972927762,47
"dev_1573_-1.fa",75.6136363636364,0.220848537818302,0.302357331796808,47
"train_798_-1.fa",75.6086956521739,0.222152346545344,0.380627603006888,49
"train_1499_-1.fa",62.7142857142857,0.223293230044478,0.316462483433264,38
"train_1213_-1.fa",70.6666666666667,0.223859901425744,0.288870329440893,42
"train_750_-1.fa",69.8863636363636,0.226411773852872,0.32194333691285,47
"test_1946_-1.fa",73.9285714285714,0.227093588520741,0.357189685274225,45
"train_1469_-1.fa",76.1777777777778,0.228228295422787,0.331549525339243,48
"train_1402_-1.fa",69.0909090909091,0.231627152465664,0.347146579356849,47
"test_1808_-1.fa",73.8139534883721,0.232001880460772,0.352954173841686,46
"train_595_-1.fa",72.15,0.232576981003078,0.320425537154766,43
"train_710_-1.fa",60.8222222222222,0.234506038303567,0.296168935657828,48
"train_1447_-1.fa",66.3939393939394,0.235921087862173,0.323207163592327,36
"test_1968_-1.fa",58.5853658536585,0.236036078003553,0.301357684246428,44
"train_1366_-1.fa",62.5609756097561,0.236315713022823,0.323874664858609,44
"train_790_-1.fa",72.4358974358974,0.237163322838622,0.340158085422511,42
"train_417_-1.fa",78.3809523809524,0.237496096738934,0.352882145125242,45
"train_448_-1.fa",68.25,0.237513743636601,0.297891710146447,47
"train_997_-1.fa",72.6136363636364,0.237964402620967,0.300593313679558,47
"train_840_-1.fa",72.5789473684211,0.239521349270967,0.285539241579869,41
"test_1725_-1.fa",78.2682926829268,0.240464522835535,0.319789832448227,44
"test_1748_-1.fa",67.7333333333333,0.24058823947496,0.309492579035222,48
"dev_1619_-1.fa",71.6428571428571,0.240971036489986,0.315593782396017,45
"train_322_-1.fa",74.6511627906977,0.241502585848043,0.315588701023252,46
"test_1943_-1.fa",75.5813953488372,0.242653359423474,0.372765833755549,46
"train_1418_-1.fa",73.8444444444444,0.243071330443784,0.338506320706642,48
"train_1250_-1.fa",76.2439024390244,0.243364565158428,0.342901277770653,44
"train_620_-1.fa",73.7674418604651,0.243622404619939,0.335706542949355,46
"train_1457_-1.fa",73.6410256410256,0.243739545741532,0.326467941523834,42
"train_748_-1.fa",69.1463414634146,0.243906398966008,0.344633332816805,44
"train_559_-1.fa",68.7317073170732,0.243961678194245,0.31730234442682,44
"dev_1657_-1.fa",63.2558139534884,0.24451005048981,0.303101258291146,46
"train_972_-1.fa",74.9268292682927,0.244687003344117,0.356453325541781,44
"train_86_-1.fa",73.4888888888889,0.244891854686511,0.320596583905963,48
"train_456_-1.fa",67.7083333333333,0.244958839754834,0.344883823143584,51
"train_288_-1.fa",64.475,0.245220513425235,0.286168027367807,43
"train_911_-1.fa",77.25,0.246075097412271,0.323520753016114,47
"train_1308_-1.fa",70.75,0.247436967018511,0.347985223533218,47
"train_1278_-1.fa",71.3571428571429,0.249106708128674,0.332831628122435,45
"train_669_-1.fa",69.3260869565217,0.249262833664154,0.36648076672351,49
"train_1363_-1.fa",80.55,0.249378811634858,0.374543036389963,43
"test_1885_-1.fa",77.675,0.249525769025208,0.334243011018585,43
"train_1228_-1.fa",70.7179487179487,0.249810551459718,0.345351389599329,42
"train_652_-1.fa",76.0476190476191,0.249987822601391,0.303068518867524,45
"train_993_-1.fa",73.1777777777778,0.250938505618917,0.370217561519253,48
