"","brsupport","clock","stemmy","Ntips"
"train_844_-1.fa",57.7906976744186,0.0208236543578125,0.0751445001255588,46
"train_387_-1.fa",61.2790697674419,0.0296278980910248,0.0810087611506711,46
"test_1675_-1.fa",66.8536585365854,0.0852962877525858,0.167786540065561,44
"train_1491_-1.fa",69.2325581395349,0.0935136730626389,0.222243082194489,46
"train_521_-1.fa",70.3658536585366,0.179692000082935,0.213106351159429,44
"train_361_-1.fa",66.0888888888889,0.187500089229483,0.272657234777808,48
"test_1942_-1.fa",62.8372093023256,0.188076465663172,0.300355707891125,46
"train_841_-1.fa",61.4736842105263,0.188833355045854,0.255467502265904,41
"train_155_-1.fa",69.5111111111111,0.19961813778405,0.286359142366584,48
"train_868_-1.fa",67.5813953488372,0.205493218557849,0.252787731977859,46
"train_156_-1.fa",70.2608695652174,0.210448531072579,0.278296618837197,49
"train_477_-1.fa",58.6888888888889,0.213654412644288,0.279793242699952,48
"test_1846_-1.fa",59.2340425531915,0.217027167809044,0.312806799020268,50
"test_1945_-1.fa",63.4883720930233,0.217361208436051,0.316460967631058,46
"test_1867_-1.fa",61.6279069767442,0.218193195824874,0.292223354645698,46
"dev_1651_-1.fa",69.5333333333333,0.219250066422655,0.310189335757176,48
"dev_1649_-1.fa",69.0681818181818,0.220710699832168,0.329848438588468,47
"train_1263_-1.fa",58.7317073170732,0.221427348974836,0.278587330450802,44
"train_342_-1.fa",64.2222222222222,0.22481200667775,0.303181476721656,48
"test_1973_-1.fa",56.0243902439024,0.227748846975864,0.280942129052355,44
"train_805_-1.fa",57.9268292682927,0.228656488587907,0.29105910601128,44
"train_182_-1.fa",71.1627906976744,0.233738224309749,0.327672116646787,46
"test_1825_-1.fa",64.75,0.234450076363607,0.302059630852923,47
"dev_1629_-1.fa",66.2093023255814,0.234596539175298,0.327421647672122,46
"test_1696_-1.fa",61.3095238095238,0.235393930396519,0.339771067355978,45
"train_762_-1.fa",69.4772727272727,0.235818010573208,0.291519037217039,47
"train_417_-1.fa",60.8095238095238,0.237291427685608,0.299975193251544,45
"test_1793_-1.fa",66.0222222222222,0.238658520766442,0.304117578719119,48
"train_1231_-1.fa",68.3783783783784,0.239836441380227,0.292219022951113,40
"train_671_-1.fa",65,0.241109187210266,0.29396045727855,47
"train_285_-1.fa",66.4418604651163,0.241378868321304,0.251097948294949,46
"train_239_-1.fa",69.3333333333333,0.241526867239567,0.320663001009447,45
"train_1457_-1.fa",73.2307692307692,0.242647466838871,0.302087085766433,42
"train_913_-1.fa",67.8974358974359,0.242796857613406,0.284574460270004,42
"train_514_-1.fa",61.0476190476191,0.24289047334454,0.315824401171922,45
"train_895_-1.fa",68.8139534883721,0.24297510537431,0.330035199158636,46
"train_7_-1.fa",69.0833333333333,0.243854434960899,0.299758379216058,51
"train_635_-1.fa",65.5675675675676,0.245846806502721,0.28532005878007,40
"train_538_-1.fa",69,0.2461824625424,0.323760200721764,45
"train_594_-1.fa",71.8095238095238,0.246333491124605,0.284256789039438,45
"dev_1548_-1.fa",65.4347826086957,0.247785102477734,0.315323851009615,49
"train_1183_-1.fa",64.0697674418605,0.248047816885087,0.321794371665884,46
"test_1833_-1.fa",67.6904761904762,0.248139587870732,0.292226907101104,45
"train_718_-1.fa",64.5263157894737,0.248200306866124,0.262499237881708,41
"train_747_-1.fa",74.9268292682927,0.248437076417286,0.324033174980631,44
"train_320_-1.fa",58.4545454545455,0.248989429247563,0.248916448424912,47
"test_1768_-1.fa",67.5454545454545,0.249135617451809,0.369186766485543,47
"test_2006_-1.fa",60.7045454545455,0.250847215478458,0.311301195721164,47
"train_990_-1.fa",67.4285714285714,0.251804109851384,0.263974179456348,45
"train_295_-1.fa",65.1162790697674,0.252030438672267,0.304695117323867,46
"train_1424_-1.fa",67.5853658536585,0.252214921153676,0.280701305510521,44
"train_264_-1.fa",72.9285714285714,0.252267705818697,0.306169987261648,45
"train_928_-1.fa",73.6511627906977,0.252782041667198,0.338173775495866,46
"test_1804_-1.fa",71.3571428571429,0.25281806368256,0.320161337473697,45
