"","brsupport","clock","stemmy","Ntips"
"test_1671_-1.fa",67.6842105263158,0.0864794638848273,0.582746474743449,41
"train_779_-1.fa",68.4318181818182,0.129202426444551,0.560935696416443,47
"train_295_-1.fa",66.5813953488372,0.134717279080992,0.271062963168539,46
"train_554_-1.fa",63.3658536585366,0.15522550399081,0.588041990234059,44
"test_1716_-1.fa",62,0.15569584149052,0.656606651412418,34
"test_1761_-1.fa",71.0444444444445,0.178416661736618,0.58336320792872,48
"train_1105_-1.fa",79.8780487804878,0.190011736104984,0.276981145925791,44
"train_1185_-1.fa",69.2444444444444,0.234925423238113,0.28231527782125,48
"train_1375_-1.fa",51.3243243243243,0.242263052802239,0.60498722031435,40
"train_564_-1.fa",61.7837837837838,0.248976267185618,0.619223279725991,40
"train_333_-1.fa",69.4444444444444,0.2580385280052,0.575739502284337,48
"train_1156_-1.fa",65.425,0.266935987584075,0.320937324272926,43
"test_1863_-1.fa",74.5128205128205,0.269619224672547,0.465268959149154,42
"test_1970_-1.fa",72.4761904761905,0.269888836455944,0.30081920073736,45
"test_1784_-1.fa",74.6976744186046,0.271906387837287,0.423594150811909,46
"train_1507_-1.fa",75.0227272727273,0.276845326024256,0.58258591310638,47
"test_1805_-1.fa",77.3333333333333,0.282177121205854,0.3995233546175,45
"train_255_-1.fa",70.7083333333333,0.283904122514053,0.415901676583711,51
"train_670_-1.fa",76.5641025641026,0.284415168359678,0.287795506003405,42
"train_100_-1.fa",78.5714285714286,0.284727803372471,0.454568514670883,45
"train_1103_-1.fa",67.7647058823529,0.286745847118032,0.423503399752056,37
"test_1679_-1.fa",77.7857142857143,0.28908033897062,0.344815410012629,45
"train_1336_-1.fa",74.3,0.290137022874071,0.399609981262468,43
"dev_1604_-1.fa",73.9259259259259,0.292677028930492,0.441968542927474,30
"train_1110_-1.fa",69.8863636363636,0.296069685009573,0.402089985493081,47
"train_954_-1.fa",69.1891891891892,0.29742599668221,0.360054987095055,40
"test_1949_-1.fa",77.0227272727273,0.297454740503937,0.432274801626285,47
