language,A1,A2
Afrikaans,0.8732160582155939,0.126783941784406
Assamese,0.997732685477241,0.0022673145227588643
Asturian,0.14163259934044914,0.8583674006595509
Belarusian,1.0,0.0
Bulgarian,0.7646420333549712,0.23535796664502898
Bengali,1.0,0.0
Bosnian,0.4327601500534207,0.5672398499465794
Catalan,0.2624568566015987,0.7375431433984014
Sorani-Kurdish,0.0,1.0
Czech,1.0,0.0
Welsh,0.2483140269160746,0.7516859730839254
Danish,0.0,1.0
German,0.30214879756869156,0.6978512024313085
Greek,0.3500521326624075,0.6499478673375926
English,0.2144325401173935,0.7855674598826066
Spanish,0.0015123684423799391,0.9984876315576201
Persian,0.37048864649737223,0.6295113535026278
French,0.17563615627024312,0.8243638437297569
Irish,0.14557113879919842,0.8544288612008016
Galician,0.36657296487345353,0.6334270351265464
Gujarati,0.8271668138602463,0.1728331861397537
Hindi,0.8070696166966074,0.19293038330339266
Croatian,0.4700382373523864,0.5299617626476136
Armenian,1.0,0.0
Icelandic,0.7959458087656159,0.20405419123438406
Italian,0.0,1.0
Kabuverdianu,0.0,1.0
Luxembourgish,0.6410414233698687,0.35895857663013125
Lithuanian,0.8004169771156608,0.19958302288433918
Latvian,0.7022268126704062,0.2977731873295937
Macedonian,0.7674012799194151,0.23259872008058485
Marathi,1.0,0.0
Norwegian,0.5735599857940705,0.42644001420592936
Nepali,1.0,0.0
Dutch,0.29644678477996017,0.7035532152200398
Occitan,0.0,1.0
Oriya,1.0,0.0
Punjabi,0.8284755930297296,0.17152440697027033
Polish,1.0,0.0
Pashto,0.003048003343193656,0.9969519966568063
Portuguese,0.16721054359140902,0.832789456408591
Romanian,0.488809127307276,0.511190872692724
Russian,0.9268342745572659,0.07316572544273414
Sindhi,0.7075887824778384,0.2924112175221615
Slovak,1.0,0.0
Slovenian,0.6759100930083236,0.3240899069916764
Serbian,0.4375254734138225,0.5624745265861775
Swedish,0.26946484557083633,0.7305351544291636
Tajik,0.6743562865010885,0.32564371349891164
Ukrainian,1.0,0.0
Urdu,0.5517856447617712,0.44821435523822883
