language,A1,A2,A3
Afrikaans,0.8962859816030689,0.055896600882077124,0.047817417514853904
Assamese,0.0776437630261118,0.0,0.9223562369738881
Asturian,0.0,0.8667650726129347,0.13323492738706535
Belarusian,1.0,0.0,0.0
Bulgarian,0.88316553288359,0.11683446711640996,0.0
Bengali,0.0,0.0,1.0
Bosnian,0.35893429501998164,0.49726235489240145,0.1438033500876171
Catalan,0.0,0.7714332084138729,0.2285667915861272
Sorani-Kurdish,0.026932833378913806,0.9730671666210862,0.0
Czech,0.9361194651812755,0.0,0.06388053481872438
Welsh,0.0741876097916087,0.715549082199173,0.2102633080092183
Danish,0.0,0.9362765254974849,0.06372347450251512
German,0.49421975023092984,0.5057802497690701,0.0
Greek,0.24852681075167285,0.605433829729038,0.1460393595192891
English,0.3369357980283785,0.6630642019716215,0.0
Spanish,0.0,0.9977240334574767,0.002275966542523296
Persian,0.044256478350962754,0.6281488631613952,0.32759465848764197
French,0.2231065968450166,0.7768934031549833,0.0
Irish,0.2544253877346347,0.7455746122653653,0.0
Galician,0.10161100342287459,0.6599024634477962,0.2384865331293291
Gujarati,0.0,0.1270505891836979,0.8729494108163021
Hindi,0.05723510815985167,0.14045131574243744,0.8023135760977109
Croatian,0.4289509804929738,0.4606108588647293,0.11043816064229689
Armenian,0.8011161499753282,0.0,0.19888385002467182
Icelandic,0.6418557298940248,0.14377795984788416,0.21436631025809083
Italian,0.0,1.0,0.0
Kabuverdianu,0.0,1.0,0.0
Luxembourgish,0.7483437658313109,0.251656234168689,0.0
Lithuanian,1.0,0.0,0.0
Latvian,0.845117619690875,0.15488238030912502,0.0
Macedonian,0.6955837449010007,0.1250271173872969,0.1793891377117023
Marathi,0.13945372209661522,0.0,0.8605462779033848
Norwegian,0.3556311138560077,0.37007497950766816,0.27429390663632414
Nepali,0.11252881637837939,0.0,0.8874711836216206
Dutch,0.4212720825601818,0.5787279174398182,0.0
Occitan,0.0,1.0,0.0
Oriya,0.0,0.0,1.0
Punjabi,0.07312728783420784,0.1145104761972263,0.8123622359685659
Polish,1.0,0.0,0.0
Pashto,0.0,0.8290564524301831,0.17094354756981686
Portuguese,0.24934347263756357,0.7506565273624364,0.0
Romanian,0.4940923930206374,0.5059076069793627,0.0
Russian,1.0,0.0,0.0
Sindhi,0.19736185964895445,0.21889237944867493,0.5837457609023706
Slovak,1.0,0.0,0.0
Slovenian,0.8218924119742159,0.17810758802578416,0.0
Serbian,0.3990149983483527,0.48645100355188386,0.11453399809976347
Swedish,0.2242048553445172,0.6521091812307795,0.1236859634247032
Tajik,0.3013032405459217,0.3159628126266578,0.38273394682742046
Ukrainian,1.0,0.0,0.0
Urdu,0.0,0.3432670866473427,0.6567329133526573
