language,A1,A2,A3,A4
Afrikaans,0.0,0.9978275694944141,0.0021724305055858977,0.0
Assamese,0.8939474723993776,0.0,0.10605252760062232,0.0
Asturian,0.12475884678657344,0.025418518614169813,0.0,0.8498226345992569
Belarusian,0.0,0.0,1.0,0.0
Bulgarian,0.0,0.0,0.8775726174335133,0.12242738256648669
Bengali,1.0,0.0,0.0,0.0
Bosnian,0.10375409602190014,0.056791785916633294,0.4545071205711278,0.3849469974903387
Catalan,0.17094495807845458,0.0,0.0,0.8290550419215453
Sorani-Kurdish,0.0,0.0,0.12217745874566475,0.8778225412543353
Czech,0.08867555294672762,0.0,0.9113244470532724,0.0
Welsh,0.12928593344609296,0.6176665917903593,0.0,0.2530474747635477
Danish,0.0,0.7955808630647325,0.0,0.20441913693526742
German,0.0,1.0,0.0,0.0
Greek,0.13742323006548246,0.04048501834964744,0.22077426304457312,0.6013174885402969
English,0.0,0.6149244138300549,0.07075799005829296,0.31431759611165216
Spanish,0.00164191794747607,0.09794807369671853,0.013476407579224869,0.8869336007765805
Persian,0.3241476480716477,0.045288859959812154,0.09645322758240281,0.5341102643861373
French,0.0,0.256305015745043,0.07473451225855243,0.6689604719964045
Irish,0.0,0.732854933975271,0.0,0.26714506602472904
Galician,0.21481322094220764,0.0,0.11625799656299526,0.668928782494797
Gujarati,0.8458414440267266,0.023402808380441162,0.0,0.13075574759283223
Hindi,0.724535161659963,0.26741175965759595,0.0,0.008053078682441152
Croatian,0.06903182530079145,0.0,0.5638347487632157,0.36713342593599274
Armenian,0.2528830780679094,0.2722398587300744,0.4748770632020163,0.0
Icelandic,0.12483832165563162,0.8243438098216008,0.0508178685227675,0.0
Italian,0.0,0.0,0.0,1.0
Kabuverdianu,0.0,0.0,0.0,1.0
Luxembourgish,0.0,1.0,0.0,0.0
Lithuanian,0.0,0.29810407293960284,0.7018959270603972,0.0
Latvian,0.0,0.8658991539456486,0.13410084605435127,0.0
Macedonian,0.17552097030394118,0.0,0.7437041116448966,0.08077491805116228
Marathi,0.8389690581036258,0.02924561210267089,0.13178532979370342,0.0
Norwegian,0.227713871474251,0.7184651958718498,0.05382093265389936,0.0
Nepali,0.8709995950342491,0.12900040496575094,0.0,0.0
Dutch,0.0,0.9746547212052219,0.0,0.025345278794778096
Occitan,0.0,0.0,0.0,1.0
Oriya,1.0,0.0,0.0,0.0
Punjabi,0.7253404483140043,0.23718908507911707,0.0,0.03747046660687862
Polish,0.0,0.0,1.0,0.0
Pashto,0.17651642460803105,0.0,0.0,0.8234835753919689
Portuguese,0.0,0.0,0.27004881157390415,0.7299511884260957
Romanian,0.0,0.0,0.39871802361133224,0.6012819763886678
Russian,0.0,0.0,1.0,0.0
Sindhi,0.5036082319714091,0.3838474181928432,0.05731440984616562,0.0552299399895822
Slovak,0.0,0.0,1.0,0.0
Slovenian,0.0,0.1365636051479111,0.7394029921489893,0.12403340270309955
Serbian,0.06948251603910087,0.0,0.5340168234743218,0.3965006604865772
Swedish,0.062010421213331904,0.7960090493495892,0.0,0.1419805294370791
Tajik,0.3412747169227073,0.0,0.3421892924659498,0.31653599061134285
Ukrainian,0.0,0.0,1.0,0.0
Urdu,0.5990472439296383,0.2095379443355416,0.0,0.1914148117348201
