language,A1,A2,A3,A4,A5
Afrikaans,0.0,0.25469823089361787,0.0,0.0,0.7453017691063821
Assamese,0.03921354426376866,0.11353092182200045,0.0,0.8472555339142309,0.0
Asturian,0.0,0.07504726476601646,0.8364165161242124,0.08853621910977123,0.0
Belarusian,0.0,1.0,0.0,0.0,0.0
Bulgarian,0.9716110880746378,0.01236976054321288,0.016019151382149273,0.0,0.0
Bengali,0.0,0.0,0.0,1.0,0.0
Bosnian,0.6301777803380243,0.0,0.26868569278961896,0.07864678599967631,0.022489740872680318
Catalan,0.0,0.0,0.8384372119520617,0.16156278804793828,0.0
Sorani-Kurdish,0.11202084424806297,0.016143149938898562,0.7855137389741754,0.022106604735390858,0.0642156621034722
Czech,0.8265845584742915,0.11720221723103454,0.0,0.05621322429467401,0.0
Welsh,0.0,0.0,0.2024193897540002,0.14183075087881536,0.6557498593671844
Danish,0.0,0.0,0.0792201920459024,0.0,0.9207798079540976
German,0.054588835142293506,0.0,0.0,0.0,0.9454111648577064
Greek,0.15790509203561984,0.12114741611188072,0.5721427417790055,0.12916363524299176,0.019641114830502182
English,0.15763877553654412,0.0,0.250566974140904,0.0,0.5917942503225518
Spanish,0.05483884185227862,0.0,0.8698134204988122,0.0,0.07534773764890919
Persian,0.06344695677930404,0.12574317415058126,0.43797291804206145,0.2834471207832854,0.08938983024476789
French,0.0,0.13716664427460773,0.6762348995763657,0.0,0.18659845614902648
Irish,0.06566612113600413,0.0,0.15242818672113115,0.0,0.7819056921428648
Galician,0.0,0.17334475406911518,0.6498807573831947,0.17677448854769,0.0
Gujarati,0.0908788333382326,0.01599757927077225,0.09914403733845728,0.7939795500525378,0.0
Hindi,0.0,0.027312838422245304,0.0,0.7152142232066845,0.25747293837107016
Croatian,0.7892530616403681,0.0,0.20858789577551942,0.002159042584112438,0.0
Armenian,0.0,0.8885764618846083,0.0,0.09574170685455657,0.015681831260835083
Icelandic,0.0,0.13816586381033338,0.0,0.11004680690327884,0.7517873292863878
Italian,0.0,0.0,1.0,0.0,0.0
Kabuverdianu,0.0,0.0,1.0,0.0,0.0
Luxembourgish,0.0,0.11346685746940671,0.0,0.0,0.8865331425305932
Lithuanian,0.22545220346479022,0.542882140682532,0.009309470573428638,0.0,0.2223561852792491
Latvian,0.0,0.308271736875757,0.0,0.0,0.6917282631242428
Macedonian,0.9928236554432509,0.0,0.0,0.007176344556749118,0.0
Marathi,0.0,0.2779166859063996,0.0,0.7220833140936004,0.0
Norwegian,0.0,0.13289471632696043,0.0,0.2017189754788238,0.6653863081942158
Nepali,0.0,0.18874650411174165,0.0,0.8112534958882583,0.0
Dutch,0.0,0.0,0.0,0.0,1.0
Occitan,0.0,0.0,1.0,0.0,0.0
Oriya,0.0,0.0,0.0,1.0,0.0
Punjabi,0.0,0.017484042190981666,0.040037553576954564,0.7439937652989541,0.1984846389331096
Polish,0.7519351852530857,0.24806481474691439,0.0,0.0,0.0
Pashto,0.0,0.0,0.7755180162242288,0.22448198377577125,0.0
Portuguese,0.20807672146605383,0.07925912612690315,0.7126641524070431,0.0,0.0
Romanian,0.0368693416416623,0.3738998777813231,0.5892307805770146,0.0,0.0
Russian,0.0379220564114212,0.9241346219538155,0.037943321634763306,0.0,0.0
Sindhi,0.0,0.12326438271012068,0.024844725019779582,0.5014985223681157,0.350392369901984
Slovak,1.0,0.0,0.0,0.0,0.0
Slovenian,0.9095636394198674,0.0,0.0,0.0,0.09043636058013262
Serbian,0.6955135572546917,0.0,0.26556464170937616,0.038921801035932194,0.0
Swedish,0.0,0.0,0.03779226963880168,0.07727220975771579,0.8849355206034825
Tajik,0.17820578803446227,0.25122545084805314,0.2668197823006845,0.3037489788168,0.0
Ukrainian,0.2045954608472982,0.7954045391527018,0.0,0.0,0.0
Urdu,0.0,0.0,0.13559306795912282,0.6014078768530625,0.2629990551878146
