language,A1,A2,A3,A4,A5,A6
Afrikaans,0.3063129959481022,0.0,0.0,0.5377014518173472,0.15598555223455057,0.0
Assamese,0.0,0.0,1.0,0.0,0.0,0.0
Asturian,0.03273345014050746,0.8084549732137856,0.13876779817396784,0.0,0.020043778471739018,0.0
Belarusian,1.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.050139311078095654,0.03546185102865527,0.0,0.0,0.0,0.9143988378932489
Bengali,0.0,0.0,1.0,0.0,0.0,0.0
Bosnian,0.0,0.23651981880290585,0.0,0.0,0.14700628311094083,0.6164738980861534
Catalan,0.0,0.7850160399947824,0.02868882202141952,0.0,0.18629513798379804,0.0
Sorani-Kurdish,0.07450563718604551,0.6369562556388781,0.12355125479466454,0.12185727751929282,0.0,0.043129574861118965
Czech,0.09455554844412635,0.0,0.10582882873539864,0.0,0.0,0.799615622820475
Welsh,0.0,0.16355413558725307,0.045466262451628485,0.7219084734165842,0.06907112854453426,0.0
Danish,0.0,0.015689403258938757,0.0,0.9843105967410613,0.0,0.0
German,0.0,0.0,0.0,0.917906620773039,0.0,0.08209337922696112
Greek,0.12904942596801988,0.5551541387294903,0.13547633846506685,0.01645826680696969,0.033813497351087254,0.130048332679366
English,0.0,0.23485961580608491,0.003236578407604371,0.5766442656298625,0.0,0.18525954015644822
Spanish,0.0,0.8189466043476763,0.06281566986751304,0.08502357208122144,0.0,0.03321415370358926
Persian,0.0,0.2126863773360283,0.6244718866572037,0.16284173600676807,0.0,0.0
French,0.12881190968343836,0.6179939604592132,0.07287833085763694,0.1803157989997115,0.0,0.0
Irish,0.0,0.07647196776972612,0.0,0.8149581227389562,0.021829465009680298,0.08674044448163738
Galician,0.12135588753623894,0.6368783345648367,0.2417657778989244,0.0,0.0,0.0
Gujarati,0.0,0.0,0.0,0.0,0.9504325082643441,0.049567491735655944
Hindi,0.0,0.0,0.049613465212947475,0.05097459173626016,0.8994119430507924,0.0
Croatian,0.0,0.17703322773301597,0.0,0.0,0.07240955910442919,0.7505572131625549
Armenian,0.6550003858097955,0.0,0.3449996141902046,0.0,0.0,0.0
Icelandic,0.18008542885014847,0.0,0.06539591443605185,0.7048211360150032,0.03401117725362342,0.015686343445173185
Italian,0.0,1.0,0.0,0.0,0.0,0.0
Kabuverdianu,0.0,1.0,0.0,0.0,0.0,0.0
Luxembourgish,0.14274946529837412,0.0,0.0,0.8572505347016259,0.0,0.0
Lithuanian,0.7685530103929407,0.04745366604562843,0.0,0.0680836582129536,0.0,0.11590966534847737
Latvian,0.4570739048071735,0.0,0.0,0.30626611303620244,0.236659982156624,0.0
Macedonian,0.0,0.0,0.008048809294844807,0.0,0.0,0.9919511907051553
Marathi,0.1592339753739741,0.0,0.04880393845242078,0.0,0.7919620861736051,0.0
Norwegian,0.13979966604951002,0.0,0.2100043837611263,0.6501959501893638,0.0,0.0
Nepali,0.1506402374506822,0.0,0.38169542568135617,0.0,0.4676643368679616,0.0
Dutch,0.0,0.0,0.0,1.0,0.0,0.0
Occitan,0.0,1.0,0.0,0.0,0.0,0.0
Oriya,0.0,0.0,0.5513182842746356,0.0,0.44868171572536447,0.0
Punjabi,0.0,0.0,0.0,0.0,1.0,0.0
Polish,0.2054848274373818,0.0,0.0,0.0,0.0,0.7945151725626182
Pashto,0.0,0.5147768834269487,0.0,0.0,0.4852231165730513,0.0
Portuguese,0.12478585445200517,0.7094292606557137,0.0,0.0,0.025274745331683265,0.1405101395605979
Romanian,0.3561898936562476,0.5724083500020322,0.021589213303213044,0.0,0.0,0.04981254303850718
Russian,0.9960842213126222,0.003915778687377829,0.0,0.0,0.0,0.0
Sindhi,0.0,0.0,0.0,0.09260460607874706,0.9073953939212529,0.0
Slovak,0.0,0.0,0.0,0.0,0.0,1.0
Slovenian,0.0,0.0,0.0,0.09513745045840187,0.0,0.9048625495415982
Serbian,0.02318144495050078,0.24400897408250335,0.010045071288109043,0.0,0.06522070895801586,0.6575438007208709
Swedish,0.0,0.0,0.0679047441654371,0.932095255834563,0.0,0.0
Tajik,0.20668959892757546,0.15047397481131222,0.5905973518726355,0.0,0.0,0.0522390743884768
Ukrainian,0.8499152140929347,0.0,0.0,0.0,0.0,0.15008478590706525
Urdu,0.0,0.020401638722698213,0.07139348144400844,0.13639573045654388,0.7718091493767495,0.0
