language,A1,A2,A3,A4,A5,A6,A7
Afrikaans,0.0,0.0,0.848015736241225,0.0,0.11060224556159091,0.0,0.04138201819718416
Assamese,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Asturian,0.8873013344290728,0.11269866557092718,0.0,0.0,0.0,0.0,0.0
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bulgarian,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bengali,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bosnian,0.24194480869406543,0.0,0.04163254919752428,0.1866374263223109,0.11545462550768205,0.0,0.41433059027841734
Catalan,0.8247394889512432,0.06177554951337112,0.0,0.0,0.11348496153538566,0.0,0.0
Sorani-Kurdish,0.050582090937426875,0.0,0.0,0.9494179090625732,0.0,0.0,0.0
Czech,0.0,0.16296045146637658,0.0,0.0,0.0,0.0,0.8370395485336234
Welsh,0.16758988812240164,0.044609713184648445,0.6424434855373744,0.14535691315557556,0.0,0.0,0.0
Danish,0.1088789373515678,0.0,0.8911210626484322,0.0,0.0,0.0,0.0
German,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Greek,0.534021168789586,0.06924955427457677,0.0,0.0,0.0527966746959814,0.34393260223985583,0.0
English,0.21367576550053546,0.0,0.6049301679546666,0.10253498574940742,0.0,0.06576059096136558,0.013098489834024818
Spanish,0.9029700897157443,0.02329237068487557,0.05898135167914378,0.0,0.0,0.0,0.014756187920236407
Persian,0.0,0.1694629095013501,0.0,0.8305370904986499,0.0,0.0,0.0
French,0.5001381349401978,0.0,0.2778350950022202,0.1453458308793564,0.0,0.0,0.07668093917822563
Irish,0.02128019799485306,0.0,0.7053925314794479,0.273327270525699,0.0,0.0,0.0
Galician,0.7662568123463229,0.2027674233983717,0.0,0.0,0.0,0.006321334805900582,0.02465442944940484
Gujarati,0.017017580704998397,0.06630516082011957,0.0,0.021920049923342608,0.8920101673328246,0.002747041218714863,0.0
Hindi,0.0,0.06589706075633489,0.06568113113680543,0.0,0.8684218081068596,0.0,0.0
Croatian,0.2622212384410438,0.0,0.0,0.10825103955067616,0.11325372183634545,0.11875253290518278,0.39752146726675186
Armenian,0.0,0.2950950310608874,0.23458738039733373,0.0,0.0,0.0,0.4703175885417788
Icelandic,0.0,0.059369902053281284,0.7535441058393083,0.0,0.03257149092534041,0.151530548879521,0.002983952302549001
Italian,0.9720275151894252,0.0,0.0,0.02797248481057486,0.0,0.0,0.0
Kabuverdianu,0.9623015933853203,0.0,0.0,0.0,0.0,0.037698406614679734,0.0
Luxembourgish,0.0,0.0,0.9307417742478858,0.0,0.0,0.06925822575211411,0.0
Lithuanian,0.0,0.0,0.19579965362308693,0.0,0.0,0.5611742758952336,0.24302607048167943
Latvian,0.0,0.0,0.5364327217186164,0.0,0.17541530384995402,0.0,0.28815197443142954
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Marathi,0.0,0.1322323745037207,0.0,0.0,0.8235637337778539,0.014870658705241803,0.029333233013183652
Norwegian,0.0,0.19375992632802094,0.7515055102566663,0.0,0.011814910279465537,0.0,0.042919653135847245
Nepali,0.0,0.5942754271963471,0.12130946641760791,0.0,0.284415106386045,0.0,0.0
Dutch,0.0,0.0,0.9678765531167915,0.032123446883208284,0.0,0.0,0.0
Occitan,0.9193121055415042,0.0,0.0,0.08068789445849574,0.0,0.0,0.0
Oriya,0.0,0.6584827561741252,0.0,0.0,0.3415172438258748,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Polish,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pashto,0.0,0.0,0.0,0.8088409144625166,0.19115908553748334,0.0,0.0
Portuguese,0.7438601553407074,0.0,0.0,0.0,0.020459461536442215,0.2178938705322465,0.01778651259060408
Romanian,0.5782720753641531,0.0008975473299935477,0.0,0.018409386676307985,0.0272289984641605,0.020356231915364058,0.3548357602500207
Russian,0.0021194421892149775,0.0,0.0,0.058570469233435896,0.0,0.016156293429384943,0.9231537951479643
Sindhi,0.0,0.0,0.0653859468172523,0.0,0.9197319761201813,0.0,0.014882077062566468
Slovak,0.0,0.007581014134230221,0.0,0.0,0.0,0.12836126873988302,0.8640577171258866
Slovenian,0.024015049406629716,0.0,0.14836958112636942,0.01400579185297503,0.0,0.5245486653282656,0.28906091228576025
Serbian,0.2407536331058751,0.0,0.0,0.16859368018801793,0.07594194980570435,0.19401322927452874,0.32069750762587385
Swedish,0.0,0.0007345175014464219,0.8393179004842973,0.1599475820142563,0.0,0.0,0.0
Tajik,0.0,0.14979475480675405,0.0,0.8474524193022148,0.0,0.002752825891031099,0.0
Ukrainian,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Urdu,0.0,0.0,0.040760628134227615,0.2198008701224522,0.7394385017433203,0.0,0.0
