language,A1,A2,A3,A4,A5,A6,A7,A8
Afrikaans,0.0,0.8796429039483357,0.0,0.02614740842951518,0.07911630691980535,0.0,0.015093380702343735,0.0
Assamese,0.999662781146402,0.0,0.0,0.0,0.0,0.0,0.0,0.000337218853598091
Asturian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bulgarian,0.0,0.0,0.015141634680947083,0.0,0.0,0.984858365319053,0.0,0.0
Bengali,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnian,0.0,0.02950038927990974,0.14688495599877394,0.08391132739719172,0.1328105785349868,0.0,0.40693880234051427,0.19995394644862352
Catalan,0.0,0.0,0.0,0.946430844782381,0.0516159612273987,0.0,0.0,0.001953193990220271
Sorani-Kurdish,0.0,0.0,0.7207344584384476,0.0,0.0,0.0,0.0,0.27926554156155237
Czech,0.1559873703341259,0.0,0.0,0.0,0.0,0.0036699056108254824,0.8403427240550486,0.0
Welsh,0.0460781118469194,0.6705798347971591,0.11338422480285125,0.12329980947189377,0.0,0.0,0.0,0.04665801908117649
Danish,0.0,0.8387778654752048,0.0,0.0,0.0,0.0,0.0,0.16122213452479517
German,0.0,0.9455204988727623,0.0,0.0,0.0,0.0,0.0,0.05447950112723768
Greek,0.0,0.0,0.02732853639658844,0.5705113688768191,0.022953173997961863,0.33218867926549267,0.0,0.04701824146313797
English,0.0,0.629976641350873,0.08774386400501905,0.0,0.0,0.04707277367354391,0.03184272301872745,0.20336399795183668
Spanish,0.0,0.044052380981472704,0.0,0.8089796968771885,0.0,0.0,0.0,0.14696792214133889
Persian,0.05796292810747442,0.0,0.9420370718925256,0.0,0.0,0.0,0.0,0.0
French,0.0,0.2935801177906137,0.17001125618891524,0.15058058665820725,0.0,0.0,0.07717871248502638,0.3086493268772375
Irish,0.0,0.6893662837094963,0.20844837216963885,0.0,0.0,0.0,0.0,0.10218534412086487
Galician,0.02204205572861457,0.0,0.0,0.9536367619671754,0.0,0.024321182304210143,0.0,0.0
Gujarati,0.09986700945997325,0.0,0.0,0.09649200595491997,0.8014360515588418,0.0022049330262650375,0.0,0.0
Hindi,0.07843837482009038,0.041357434819499744,0.006331663530736618,0.0,0.8664456017590743,0.007426925070598981,0.0,0.0
Croatian,0.0,0.0,0.10021318771018355,0.09773687957128173,0.11957150273053929,0.10569412418637222,0.39192533235001187,0.18485897345161123
Armenian,0.1635495234528431,0.17236533404584106,0.10269805941821672,0.0802147150043612,0.0,0.0,0.4811723680787379,0.0
Icelandic,0.03460551897613083,0.7362443796498964,0.0,0.09045628465538338,0.0,0.13869381671858944,0.0,0.0
Italian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kabuverdianu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Luxembourgish,0.0,0.9402359957888838,0.0,0.0,0.0,0.05976400421111619,0.0,0.0
Lithuanian,0.0,0.23173908061719223,0.0,0.0,0.0,0.5046674212233148,0.24495989455004907,0.018633603609443845
Latvian,0.0,0.5995866977203164,0.0,0.0,0.1492570188382445,0.0,0.25115628344143914,0.0
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marathi,0.15467372569057466,0.0,0.0,0.0,0.7919200812513777,0.019678261173968405,0.033727931884079194,0.0
Norwegian,0.18123873091258275,0.7644137329033168,0.0,0.013634356519701048,0.005746331909042603,0.0,0.0349668477553568,0.0
Nepali,0.6731052616523625,0.10440672889988574,0.0,0.0,0.17235380929919633,0.0,0.0,0.05013420014855531
Dutch,0.0,0.9648219467976724,0.0,0.0,0.0,0.0,0.0,0.03517805320232756
Occitan,0.0,0.0,0.10161696282741589,0.18239123335346208,0.0,0.0,0.0,0.715991803819122
Oriya,0.7215318839426553,0.0,0.0,0.0,0.2784681160573447,0.0,0.0,0.0
Punjabi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Polish,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pashto,0.0,0.0,0.5939035947606844,0.0,0.23163526181860064,0.0,0.0,0.17446114342071484
Portuguese,0.0,0.0,0.0,0.0,0.0934809126022131,0.15415666048413548,0.09706281443769747,0.6552996124759539
Romanian,0.021608203747228095,0.0,0.0,0.0,0.035358167134002694,0.0,0.3763387413712777,0.5666948877474914
Russian,0.0,0.0,0.040810553730535576,0.0,0.0,0.02474558458368657,0.9038356812844675,0.030608180401310338
Sindhi,0.0,0.0057116123387818615,0.0,0.0,0.9520797052174607,0.0,0.011495701130239108,0.030712981313518455
Slovak,0.0,0.0,0.0026037463096592315,0.0,0.0,0.14330244772039227,0.8540938059699485,0.0
Slovenian,0.0,0.05764560288541933,0.0,0.0,0.0,0.45481155453338534,0.3265355903442985,0.1610072522368968
Serbian,0.0,0.0,0.14001878262058737,0.07708930414679917,0.09008054102522643,0.17173452413652418,0.31932396236557054,0.20175288570529235
Swedish,0.004038951024375505,0.7832784039673513,0.11779033924194798,0.0,0.0,0.0,0.0,0.09489230576632525
Tajik,0.016203589176859694,0.0,0.9837964108231403,0.0,0.0,0.0,0.0,0.0
Ukrainian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Urdu,0.0,0.0068678763810860735,0.21228638905552982,0.0,0.7668551802431639,0.0,0.0,0.013990554320220226
