language,A1,A2,A3,A4,A5,A6,A7,A8,A9
Afrikaans,0.6544288655789289,0.0,0.0,0.05748203367029893,0.0,0.11622207415807766,0.0,0.17186702659269462,0.0
Assamese,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asturian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bulgarian,0.0,0.0,0.020628480003425976,0.0,0.0,0.0,0.979371519996574,0.0,0.0
Bengali,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnian,0.0,0.005963569412202905,0.0,0.0,0.9940364305877971,0.0,0.0,0.0,0.0
Catalan,0.0,0.0,0.0,0.9551944618642637,0.0,0.04296885058458516,0.0,0.0,0.001836687551151292
Sorani-Kurdish,0.0,0.0,0.7075130717761476,0.0,0.024334380975208323,0.0,0.0,0.0,0.26815254724864407
Czech,0.0,0.1559303737306565,0.0,0.0,0.08148347731393049,0.0,0.03455838421638802,0.728027764739025,0.0
Welsh,0.6966173788917653,0.04740246216789227,0.10591204409008989,0.14550992090953516,0.0,0.0,0.0,0.0,0.004558193940717338
Danish,0.9377592494631644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06224075053683565
German,0.9717610592100814,0.0,0.0,0.0,0.023596743847636818,0.0,0.0,0.0,0.004642196942281965
Greek,0.017030640728340183,0.0,0.0247130912321682,0.563669124800661,0.0,0.01696202378623316,0.3315414153628526,0.0,0.046083704089744756
English,0.5353554626558392,0.0,0.043216967081284335,0.0,0.2341168160641416,0.0,0.03668766405846186,0.0,0.1506230901402729
Spanish,0.08588828159875997,0.0,0.0,0.7933352369827027,0.0,0.0,0.0,0.0,0.12077648141853746
Persian,0.0,0.05923411501095181,0.9407658849890482,0.0,0.0,0.0,0.0,0.0,0.0
French,0.24622054139798774,0.0,0.16226546137554457,0.15416922690375934,0.0,0.0,0.0,0.13311054418314702,0.30423422613956136
Irish,0.6977185922500534,0.0,0.1912110956889893,0.0,0.05692798990737678,0.0,0.0,0.0,0.05414232215358058
Galician,0.0,0.02067368375796639,0.0,0.9463385529033184,0.0,0.0,0.03298776333871532,0.0,0.0
Gujarati,0.0,0.11188969635108913,0.0,0.07319952935784164,0.0975627353302803,0.7173480389607889,0.0,0.0,0.0
Hindi,0.03789540070544122,0.07132157073538692,0.007629259934336791,0.0,0.0,0.8780189705157975,0.005134798109037566,0.0,0.0
Croatian,0.0,0.0,0.0,0.0,0.964704805645678,0.0,0.03529519435432204,0.0,0.0
Armenian,0.0,0.10955048155932089,0.10977563806520267,0.10411047486547474,0.0,0.0,0.0,0.6765634055100018,0.0
Icelandic,0.6271627344624588,0.010932058884005256,0.0,0.1027339415591272,0.0,0.04463787419908438,0.14693681715373727,0.06759657374158705,0.0
Italian,0.0,0.0,0.0,0.0007993036058058188,0.04938741890769333,0.0,0.0,0.0,0.9498132774865007
Kabuverdianu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Luxembourgish,0.8921232771703218,0.0,0.0,0.0,0.0,0.0,0.05907544009969318,0.04880128272998512,0.0
