language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Assamese,0.0,0.0,0.0,0.0,0.0,0.0,0.01041246350682939,0.0,0.9895875364931707,0.0
Asturian,0.0,0.0,0.9787235397079055,0.0,0.0,0.0,0.0,0.021276460292094557,0.0,0.0
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bulgarian,0.0,0.01588332680609088,0.0,0.0,0.0,0.984116673193909,0.0,0.0,0.0,0.0
Bengali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bosnian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catalan,0.006513180698115214,0.0,0.962564859361504,0.0,0.024328786031241577,0.0,0.0,0.0,0.0,0.006593173909139137
Sorani-Kurdish,0.0,0.7446623639900696,0.0,0.0,0.0,0.0,0.0,0.2553376360099306,0.0,0.0
Czech,0.8617770722322939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08993582242424557,0.04828710534346047
Welsh,0.0,0.09721683223276417,0.07651192270835494,0.0,0.014799827718347766,0.0,0.0,0.4210496080135993,0.11542957484631362,0.27499223448062027
Danish,0.0,0.0,0.0,0.0,0.1098532648069198,0.0,0.0,0.8504916284458077,0.03842225928350258,0.0012328474637698578
German,0.1931940821618772,0.0,0.0,0.0,0.0,0.0,0.0,0.5216336694408185,0.0,0.2851722483973043
Greek,0.0,0.028048624115989303,0.5490982132672451,0.0,0.022344670972615274,0.33319673971377833,0.0,0.06731175193037182,0.0,0.0
English,0.05396842265186413,0.03495409315344855,0.0,0.18187525855200407,0.0,0.02456865756340558,0.0,0.4341154125698376,0.0,0.2705181555094402
Spanish,0.0036346497491727783,0.0,0.7462826322582491,0.0,0.0,0.0,0.0,0.25008271799257814,0.0,0.0
Persian,0.0,0.9269893745531312,0.0,0.0,0.0,0.0,0.0,0.0,0.07301062544686891,0.0
French,0.048680911764021374,0.17121498275627636,0.14082825832426957,0.0,0.0,0.0,0.026363427996396432,0.39004134076664776,0.0,0.22287107839238843
Irish,0.16020165448334228,0.1863300416116313,0.0,0.0,0.019005526255144515,0.0,0.0,0.4966681605981,0.0,0.13779461705178195
Galician,0.0,0.0,0.9612914248089842,0.0,0.0,0.008393668733890282,0.013974100263688125,0.0,0.016340806193437432,0.0
Gujarati,0.0,0.0,0.09002501258053842,0.061990344196152576,0.7436381321703308,0.0,0.0,0.0,0.10434651105297825,0.0
Hindi,0.0,0.0,0.0,0.0,0.910538156390114,0.003247702101884978,0.0,0.027021230005357482,0.05919291150264353,0.0
Croatian,0.0,0.0,0.0,0.9520915294549723,0.0,0.04790847054502765,0.0,0.0,0.0,0.0
Armenian,0.0,0.03360264238447023,0.0,0.0,0.0,0.0,0.04378996208513284,0.0,0.13196677243680965,0.7906406230935873
Icelandic,0.03915737187553731,0.0,0.19367092126105295,0.0,0.11695773716393226,0.21265313902570368,0.003152850164930745,0.0,0.01798489526651625,0.4164230852423268
Italian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kabuverdianu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luxembourgish,0.0,0.0,0.0,0.0,0.0,0.07250824959899854,0.0,0.15344659428818297,0.0,0.7740451561128185
Lithuanian,0.0,0.0,0.0,0.0,0.0,0.48486527115661904,0.24480637044416992,0.0027069523844161134,0.0,0.26762140601479495
Latvian,0.0,0.0,0.0,0.24447550824621403,0.0,0.0,0.0,0.0,0.0,0.7555244917537859
Macedonian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marathi,0.0,0.0,0.0,0.0,0.7278845400024091,0.0,0.14020101361490658,0.0,0.13191444638268437,0.0
Norwegian,0.0,0.0,0.0,0.249716699315932,0.030091977861031613,0.0,0.11189606377717516,0.21625457983720447,0.20980787077245983,0.18223280843619702
Nepali,0.0,0.0,0.0,0.0,0.08696827817957642,0.0,0.0,0.0020690133938537835,0.6113480872562762,0.2996146211702937
Dutch,0.062314086998769426,0.008772311265242257,0.0,0.0,0.0,0.0,0.0,0.4304270766318131,0.0,0.49848652510417535
Occitan,0.0,0.0791876819993018,0.15614147392046188,0.0,0.0,0.0,0.0,0.7646708440802363,0.0,0.0
Oriya,0.0,0.0,0.0,0.0,0.25959660570686754,0.0,0.0,0.0,0.7404033942931324,0.0
Punjabi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Polish,0.9384382150428142,0.0,0.0,0.0,0.0,0.0,0.06156178495718586,0.0,0.0,0.0
Pashto,0.0,0.6552888348201152,0.0,0.0,0.20704162801371556,0.0,0.0,0.13766953716616928,0.0,0.0
Portuguese,0.007170341706052577,0.0,0.14177419840762281,0.0,0.041249204372479156,0.1847413770927975,0.05802515955298109,0.5670397188680669,0.0,0.0
Romanian,0.10148026384818666,0.004122481150594525,0.0,0.0,0.0,0.0,0.11679231805279253,0.4809509381760192,0.011471340134753517,0.2851826586376535
Russian,0.0,0.025927552675608593,0.0,0.0,0.0,0.042098826471087855,0.876673835188743,0.026865500727943407,0.0,0.02843428493661715
Sindhi,0.0,0.0,0.0,0.0,0.9450011870611673,0.0,0.020140221996973955,0.03485859094185871,0.0,0.0
Slovak,0.972894876388992,0.006184932828714447,0.0,0.013740073211730328,0.0,0.0071801175705632604,0.0,0.0,0.0,0.0
Slovenian,0.27035642746973754,0.0,0.0,0.08257205859771583,0.0,0.38911811791700623,0.0,0.18412553861702863,0.0,0.07382785739851175
Serbian,0.0,0.0,0.0,0.8824615444804214,0.0,0.11689464996074758,0.0006438055588310565,0.0,0.0,0.0
Swedish,0.0,0.08133935693567494,0.0,0.1553722527235106,0.0,0.0,0.0,0.4473719162974003,0.0889442553948438,0.22697221864857048
