language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Assamese,0.0,0.0,0.0,0.0,0.0,0.0,0.008523168316832246,0.0,0.9914768316831678,0.0,0.0
Asturian,0.0,0.0,0.9676493308198342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03235066918016576
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.016600105830200856,0.0,0.0,0.0,0.9833998941697991,0.0,0.0,0.0,0.0,0.0
Bengali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bosnian,0.0,0.0,0.0,0.9983591799464421,0.0,0.0,0.0,0.0,0.0016408200535578269,0.0,0.0
Catalan,0.01045806339697674,0.0,0.9700493666140644,0.0,0.01949256998895882,0.0,0.0,0.0,0.0,0.0,0.0
Sorani-Kurdish,0.0,0.7444338284159127,0.0,0.009630873927816055,0.0,0.0,0.0,0.2459352976562713,0.0,0.0,0.0
Czech,0.8492449480225981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08421679597613137,0.06653825600127047,0.0
Welsh,0.0,0.11022874042736859,0.1493166120011717,0.0,0.0,0.0,0.0,0.002240663271994164,0.053528544013849245,0.13291473233997514,0.5517707079456412
Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
German,0.1606762319380367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05404502019107768,0.7852787478708856
Greek,0.0,0.02427189100378127,0.5610380843426146,0.0,0.024390446117309214,0.3346401164709767,0.0,0.050117747145444105,0.0,0.0,0.005541714919874038
English,0.05046756025728889,0.03785836316148381,0.0,0.17072753305222083,0.0,0.03404051490462311,0.0,0.17925412291115395,0.0,0.17477952915799896,0.3528723765552305
Spanish,0.0,0.0,0.7447713861287962,0.0,0.0,0.0,0.0,0.060615437935488306,0.0,0.0,0.19461317593571542
Persian,0.0,0.9164024404246824,0.0,0.0,0.0,0.0,0.0,0.0,0.07058017480985805,0.0,0.013017384765459454
