language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Assamese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018610884103555627,0.9813891158964443,0.0,0.0,0.0
Asturian,0.0,0.0,0.9460118020235753,0.0,0.0,0.0,0.0,0.022477920079471792,0.0,0.0,0.03151027789695299,0.0
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.006260400279001172,0.0,0.0,0.0,0.9853669398843828,0.008372659836616088,0.0,0.0,0.0,0.0,0.0
Bengali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bosnian,0.0,0.0007117061933384797,0.0,0.9975241015474476,0.0,0.0,0.0,0.0,0.0017641922592138647,0.0,0.0,0.0
Catalan,0.0055171385765406524,0.0,0.9543934594094197,0.0,0.013546430248770246,0.0,0.0,0.0,0.0,0.0,0.0,0.02654297176526942
Sorani-Kurdish,0.0,0.7996315051060373,0.0,0.012578895563367528,0.0,0.0,0.0,0.18778959933059522,0.0,0.0,0.0,0.0
Czech,0.8539988614096399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08397627781471735,0.062024860775642676,0.0,0.0
Welsh,0.0,0.12186313570026842,0.06805760413122297,0.0,0.0,0.0,0.0,0.0,0.05844917742464655,0.11633102368593663,0.4542670444544543,0.18103201460347101
Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
German,0.16301451569880993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059455604138243454,0.7775298801629466,0.0
Greek,0.0,0.0218956379616106,0.5436833677368875,0.0,0.02837322287645118,0.330643910077444,0.0,0.07443787375203299,0.0,0.000965987595573812,0.0,0.0
English,0.01824231723707602,0.08473369918431461,0.0,0.1414190916951877,0.0,0.0,0.0,0.0,0.0,0.14420546069526954,0.36599626890581993,0.24540316228233214
Spanish,0.0,0.0,0.6886737727894805,0.0,0.0,0.0,0.0,0.15601144196099428,0.0,0.0,0.15531478524952524,0.0
Persian,0.0,0.9108227060378222,0.0,0.0,0.0,0.0,0.0,0.0,0.08917729396217777,0.0,0.0,0.0
French,0.03729142884885372,0.10056268260326882,0.034035633430395354,0.0,0.0,0.0,0.06658121372078203,0.5215483456371767,0.0,0.22267751840276365,0.017303177356759843,0.0
Irish,0.09519186658190584,0.21578531495271214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290402631863372,0.15998255527904473
Galician,0.0,0.0,0.916842014743829,0.0,0.0,0.0,0.0014529243189971347,0.0,0.020016482147527357,0.0,0.0,0.06168857878964651
Gujarati,0.0,0.0,0.0804415087382807,0.06587672417897635,0.7524844388731333,0.0,0.0,0.0,0.10119732820960955,0.0,0.0,0.0
Hindi,0.0,0.0,0.0,0.0,0.8392807950870766,0.0,0.0,0.0,0.061946845635960125,0.0,0.09877235927696316,0.0
Croatian,0.0,0.0,0.0,0.9437098173706692,0.0,0.05629018262933083,0.0,0.0,0.0,0.0,0.0,0.0
Armenian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09672235313491914,0.9032776468650808,0.0,0.0
