language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Assamese,0.0,0.0,0.0,0.0,0.0,0.0,0.0036829108418480107,0.0,0.9859030340833561,0.0,0.0,0.01041405507479586,0.0
Asturian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9713490467386533,0.0,0.0,0.0,0.0,0.02865095326134671
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.0,0.00857637443436911,0.0,0.0,0.9757173477051825,0.014649568451983638,0.0,0.0,0.0,0.0,0.0010567094084647077,0.0
Bengali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9546175138617874,0.0453824861382126,0.0,0.0,0.0
Bosnian,0.0,0.0,0.0,0.03587600053627724,0.0,0.0,0.0,0.0,0.0,0.0,0.9641239994637227,0.0,0.0
Catalan,0.0,0.0,0.0,0.1602969262469078,0.0,0.0,0.0,0.8397030737530922,0.0,0.0,0.0,0.0,0.0
Sorani-Kurdish,0.1752852819220477,0.0,0.7822166169024635,0.042498101175488766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech,0.0,0.8245923438946173,0.0,0.08085843422027306,0.0,0.0,0.0,0.0,0.09454922188510965,0.0,0.0,0.0,0.0
Welsh,0.013335024751567413,0.0,0.12216988469810901,0.1369149336241459,0.0,0.0,0.0,0.13586803055960353,0.07483514044707255,0.0,0.0,0.07206946976825195,0.4448075161512497
Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
German,0.02997236673025527,0.17193404256498793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001144675797391016,0.0,0.20505640023001842,0.5918925146773473
Greek,0.06002686931528542,0.0,0.02177195063379667,0.00817280851988597,0.03491161171518991,0.3237339540099375,0.0,0.5475263523688312,0.0,0.0033851849893984797,0.0,0.0004712684476747773,0.0
English,0.18629687780545692,0.0650237509391372,0.056580586546626434,0.07697348905599266,0.0,0.014149052423722094,0.0,0.0,0.0,0.0,0.1684121757607945,0.17266296906807224,0.25990109840019787
Spanish,0.06680194393004392,0.0,0.0,0.0,0.0,0.0,0.0,0.7509752323739474,0.0,0.0,0.0,0.0,0.1822228236960088
Persian,0.0,0.0,0.8344923840747065,0.0,0.0,0.0,0.0,0.0,0.03766080079868081,0.12784681512661272,0.0,0.0,0.0
French,0.3043130839274024,0.062133993438142764,0.16409300712764027,0.0,0.0,0.0,0.01623683721240424,0.12536626355924813,0.0,0.03419513572943893,0.0,0.21625187923233813,0.07740979977338522
Irish,0.06091164417456426,0.13604010273768294,0.21946548092735127,0.03681690020263274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688432149016846,0.4779226570560843
Galician,0.0,0.0,0.0,0.0,0.0,0.018791813104944117,0.008547572990803595,0.9648870727583077,0.0077735411459446116,0.0,0.0,0.0,0.0
Gujarati,0.0,0.0,0.0,0.06783872097831942,0.6536050677497578,0.0,0.0,0.0821365006208167,0.15069845720930927,0.0,0.04572125344179674,0.0,0.0
Hindi,0.0,0.0,0.0,0.0,0.8334142306620627,0.0,0.0,0.0,0.06528526906147294,0.0,0.0,0.0,0.10130050027646446
Croatian,0.0,0.010678390572351464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026241460294904255,0.9630801491327443,0.0,0.0
Armenian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Icelandic,0.0,0.06982099943736138,0.0,0.03520041570305271,0.013580298587928419,0.1277025071057105,0.00501957220340267,0.09474335770736357,0.0,0.03286381413879243,0.0,0.18936001068568256,0.4317090244307058
Italian,0.8740495424279932,0.02190104773266589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10404940983934094
