language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Assamese,0.0,0.0,0.0,0.0,0.0,0.0,0.00048199898669544445,0.007164931591712789,0.9871886542626225,0.0,0.0,0.005164415158969161,0.0,0.0
Asturian,0.0,0.0,0.9379533382659666,0.0,0.0,0.0,0.0,0.032061590211299625,0.0,0.0010699038040334278,0.0,0.0,0.028915167718700428,0.0
Belarusian,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.0,0.0,0.0,0.0,0.9815520398099593,0.017661098147856352,0.0,0.0,0.0,0.0,0.000786862042184346,0.0,0.0
Bengali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9529439472345327,0.047056052765467274,0.0,0.0,0.0,0.0
Bosnian,0.0,0.0,0.0,0.9639712291145053,0.0,0.0,0.0,0.0,0.0,0.0,0.036028770885494575,0.0,0.0,0.0
Catalan,0.0,0.0,0.8354743752607905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16452562473920954,0.0,0.0,0.0
Sorani-Kurdish,0.0,0.8394454900063413,0.0,0.0,0.0,0.0,0.0,0.1132347875271999,0.0,0.0,0.04731972246645883,0.0,0.0,0.0
Czech,0.8260430337079775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952201702605219,0.0,0.07873679603150063,0.0,0.0,0.0
Welsh,0.0,0.13378396527631126,0.051042499561559,0.0,0.0,0.0,0.0,0.0,0.07818447136439019,0.0,0.08897603511197419,0.0750694004547705,0.38917224192267674,0.18377138630831813
Danish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
German,0.17544818712017646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18968358830183085,0.6348682245779926,0.0
Greek,0.0,0.015054509210064076,0.5244237412178395,0.0,0.03526363287208809,0.32699518452611304,0.0,0.08538967430126562,0.0,0.0019212128203207385,0.01095204505230894,0.0,0.0,0.0
English,0.029063472473719612,0.1007537731561155,0.0,0.14074299291487033,0.0,0.0,0.0,0.0,0.0,0.0,0.03463149649609427,0.16625407304089732,0.2938024290226642,0.23475176289563882
Spanish,0.0,0.0,0.6856084634392905,0.0,0.0,0.0,0.0,0.16188482672960322,0.0,0.0,0.0,0.0,0.15250670983110629,0.0
