K,SSE,VarExpl
2,11073.477907766044,0.10968046401844345
3,9965.016052481842,0.19880198960145512
4,9213.82420255055,0.25919862242400427
5,8619.99282653427,0.30694330386463065
6,7971.971568622227,0.35904491010396855
7,7368.712749320218,0.40754756812625736
8,6885.058178793998,0.4464339158837465
9,6361.126638182548,0.48855857536368696
10,5938.2909655560325,0.5225550183046415
11,5391.784043429157,0.5664947627436917
12,5082.256785433026,0.5913810872578256
13,4625.893211056814,0.6280732095668033
14,4331.83859403542,0.6517155171020099
15,4159.632944695317,0.6655610365576778
16,3888.632498889481,0.6873497639268302
17,3693.8313970143936,0.7030119820731717
18,3484.7024749819957,0.7198261723731882
19,3189.4688967979855,0.7435632696541263
20,3156.6199461539545,0.7462043606228783
21,2966.8434082195854,0.7614625984232551
22,2729.931093378462,0.7805106033928355
23,2542.3963487155706,0.795588598602596
24,2302.346481684839,0.8148888661434152
25,2157.2562278579862,0.8265542786306678
