language,A1,A2
Afrikaans,0.13092141,0.8690786
Assamese,0.7816018,0.21839817
Asturian,0.30050024,0.6994998
Belarusian,0.29318193,0.7068181
Bulgarian,0.1221728,0.87782717
Bengali,1.0,0.0
Bosnian,0.3184997,0.6815003
Catalan,0.41444397,0.58555603
Sorani-Kurdish,0.39733076,0.60266924
Czech,0.20580421,0.7941958
Welsh,0.4079239,0.5920761
Danish,0.30728182,0.6927182
German,0.0,1.0
Greek,0.28539464,0.71460533
English,0.08751325,0.9124867
Spanish,0.2033867,0.7966133
Persian,0.5719871,0.4280129
French,0.0,1.0
Irish,0.3003472,0.69965285
Galician,0.24422748,0.75577253
Gujarati,0.92421585,0.07578414
Hindi,0.9041204,0.09587963
Croatian,0.28410047,0.7158996
Armenian,0.44968903,0.55031097
Icelandic,0.27089214,0.7291079
Italian,0.17304222,0.82695776
Kabuverdianu,0.091000326,0.9089996
Luxembourgish,0.06932798,0.93067205
Lithuanian,0.0,1.0
Latvian,0.21166764,0.7883324
Macedonian,0.30566028,0.69433975
Marathi,0.9609214,0.039078657
Norwegian,0.32862204,0.6713779
Nepali,0.9432088,0.056791164
Dutch,0.12830836,0.87169164
Occitan,0.17659143,0.8234086
Oriya,1.0,0.0
Punjabi,0.87450016,0.12549978
Polish,0.0997623,0.9002377
Pashto,0.62692386,0.3730762
Portuguese,0.10032698,0.89967304
Romanian,0.11921566,0.88078433
Russian,0.075290225,0.9247098
Sindhi,0.7550997,0.2449003
Slovak,0.18334258,0.8166574
Slovenian,0.18892148,0.81107855
Serbian,0.27498907,0.7250109
Swedish,0.24045576,0.75954425
Tajik,0.64416486,0.35583508
Ukrainian,0.11082573,0.8891742
Urdu,0.83996433,0.16003568
