language,A1,A2,A3
Afrikaans,0.022241166,0.3500302,0.62772864
Assamese,0.6003787,0.26069924,0.13892202
Asturian,0.07715301,0.922847,0.0
Belarusian,0.10936937,0.036884923,0.8537457
Bulgarian,0.019239042,0.23492312,0.74583787
Bengali,1.0,0.0,0.0
Bosnian,0.119727835,0.08569217,0.79458
Catalan,0.1317754,0.8682246,0.0
Sorani-Kurdish,0.17808062,0.28041267,0.5415067
Czech,0.04791715,0.0,0.9520829
Welsh,0.18903226,0.216882,0.59408575
Danish,0.12913233,0.1530939,0.71777374
German,0.0,0.090781026,0.90921897
Greek,0.09440853,0.5795929,0.32599863
English,0.007183783,0.22225948,0.77055675
Spanish,0.034647778,0.71231806,0.25303414
Persian,0.33893377,0.32962063,0.33144566
French,0.0,0.66459274,0.33540732
Irish,0.119252525,0.08602434,0.7947231
Galician,0.037140626,0.9628594,0.0
Gujarati,0.7873494,0.04297619,0.16967446
Hindi,0.7433684,0.0,0.2566316
Croatian,0.09902811,0.08564156,0.8153303
Armenian,0.2243178,0.285634,0.49004823
Icelandic,0.10608891,0.092314854,0.8015962
Italian,0.02845388,0.54340017,0.42814597
Kabuverdianu,0.0,0.59499276,0.40500718
Luxembourgish,0.008800384,0.1847168,0.8064828
Lithuanian,0.0,0.090936095,0.90906394
Latvian,0.06855651,0.03951249,0.891931
Macedonian,0.116861,0.10123822,0.7819008
Marathi,0.9089356,0.07673025,0.014334102
Norwegian,0.14534757,0.109974444,0.744678
Nepali,0.80193913,0.0,0.19806084
Dutch,0.026645033,0.23746595,0.735889
Occitan,0.029153427,0.7055617,0.26528493
Oriya,1.0,0.0,0.0
Punjabi,0.73886496,0.19268852,0.06844653
Polish,0.010144559,0.0,0.98985547
Pashto,0.3853935,0.29840434,0.31620222
Portuguese,0.0,0.4823486,0.5176514
Romanian,0.0029452657,0.5392481,0.45780656
Russian,0.0041953614,0.13516387,0.8606407
Sindhi,0.5170348,0.0,0.48296514
Slovak,0.03600198,0.0,0.9639981
Slovenian,0.05537189,0.012194398,0.9324337
Serbian,0.096051656,0.11365369,0.7902946
Swedish,0.08946127,0.15531942,0.7552193
Tajik,0.41203874,0.2950944,0.29286686
Ukrainian,0.020637065,0.0066452734,0.97271764
Urdu,0.64941776,0.010292255,0.34029
