language,A1,A2,A3,A4
Afrikaans,0.00056364405,0.1380086,0.8614277,0.0
Assamese,0.14168388,0.21453467,0.6437814,0.0
Asturian,0.011095013,0.8039615,0.18494342,0.0
Belarusian,0.007851135,0.013731107,0.0,0.97841775
Bulgarian,0.00020044109,0.11251461,0.047279198,0.8400057
Bengali,0.6289032,0.0,0.37109682,0.0
Bosnian,0.0094727995,0.044662755,0.029835103,0.91602933
Catalan,0.0286061,0.9713939,0.0,0.0
Sorani-Kurdish,0.018773945,0.15397981,0.041462917,0.7857833
Czech,0.003329281,0.0,0.07927831,0.91739243
Welsh,0.02686065,0.08812416,0.8694909,0.015524358
Danish,0.015151422,0.014350984,0.9704976,0.0
German,0.0,0.0,0.727909,0.27209094
Greek,0.012501297,0.4079195,0.26102436,0.31855488
English,0.0,0.08370837,0.49730164,0.41899
Spanish,0.003822872,0.5162509,0.37965873,0.10026748
Persian,0.050304852,0.21305612,0.27113518,0.4655038
French,0.0,0.42861173,0.5222466,0.049141686
Irish,0.012474121,0.0039994693,0.5627981,0.42072833
Galician,0.0042710076,0.83229417,0.16343473,0.0
Gujarati,0.19701198,0.07273729,0.0,0.7302508
Hindi,0.18836148,0.0,0.8116385,0.0
Croatian,0.006975707,0.044520713,0.0,0.94850355
Armenian,0.030878887,0.16312061,0.48172486,0.32427567
Icelandic,0.009580227,0.0,0.99041975,0.0
Italian,0.0023395787,0.33430645,0.1363407,0.5270133
Kabuverdianu,0.0,0.375271,0.1648461,0.45988294
Luxembourgish,0.00064579246,0.030253995,0.9379222,0.031178096
Lithuanian,0.0,0.021706734,0.24101266,0.7372806
Latvian,0.0056483196,0.0,0.3775466,0.6168051
Macedonian,0.010667149,0.039378967,0.17176037,0.77819353
Marathi,0.40255842,0.1565177,0.4409238,0.0
Norwegian,0.017249743,0.0,0.98275024,0.0
Nepali,0.27568373,0.0,0.5650878,0.15922849
Dutch,0.0026027337,0.075142264,0.8479048,0.0743502
Occitan,0.0030489038,0.4892811,0.3115589,0.19611107
Oriya,1.0,0.0,0.0,0.0
Punjabi,0.25196943,0.35703143,0.3909992,0.0
Polish,0.0,0.0,0.12690032,0.8730997
Pashto,0.052739084,0.20890749,0.0,0.73835343
Portuguese,0.0,0.29812217,0.07458738,0.6272905
Romanian,0.0,0.32368043,0.028280666,0.64803886
Russian,0.0,0.049307942,0.12355275,0.82713926
Sindhi,0.09338946,0.0,0.55619097,0.3504196
Slovak,0.0018042808,0.0,0.07539055,0.92280513
Slovenian,0.0031232818,0.0,0.12289255,0.8739842
Serbian,0.006851459,0.058132745,0.0,0.93501586
Swedish,0.009374423,0.02171802,0.7833427,0.18556476
Tajik,0.048304863,0.15263431,0.0,0.7990608
Ukrainian,0.0,0.00043496248,0.07000941,0.92955565
Urdu,0.15051004,0.0,0.83292556,0.01656443
