language,A1,A2,A3,A4,A5
Afrikaans,0.0,0.4761708,0.046100534,0.47772872,0.0
Assamese,0.047796234,0.20612283,0.64161956,0.10446129,0.0
Asturian,0.0032830318,0.027868532,0.033870857,0.9349776,0.0
Belarusian,0.004331783,0.0,0.041225348,0.0,0.95444286
Bulgarian,0.0068434724,0.0009208825,0.0,0.21327645,0.7789592
Bengali,0.052969407,0.0,0.94703054,0.0,0.0
Bosnian,0.004462883,0.0035829379,0.044037,0.08554867,0.8623685
Catalan,0.0,0.0,0.08815219,0.91184783,0.0
Sorani-Kurdish,0.052801568,0.04601276,0.0,0.19925809,0.70192754
Czech,0.0005246852,0.011721195,0.026569644,0.0,0.9611845
Welsh,0.011790146,0.50092643,0.22661924,0.26066425,0.0
Danish,0.0017546215,0.73996305,0.19649942,0.061782874,0.0
German,0.0,0.45725572,0.0,0.0,0.5427443
Greek,0.0047238027,0.057167318,0.047257744,0.6642624,0.22658868
English,0.0065869624,0.24656802,0.0,0.21940249,0.5274425
Spanish,0.0044014016,0.094084546,0.012202997,0.8395907,0.04972029
Persian,0.36642358,0.6044093,0.029167173,0.0,0.0
French,0.01732173,0.19057202,0.0,0.7921062,0.0
Irish,0.013111202,0.32659048,0.07279362,0.0,0.5875047
Galician,0.0,0.021061713,0.02468772,0.95425063,0.0
Gujarati,0.0027021784,0.0,0.5727657,0.074628994,0.34990314
Hindi,0.0,0.17702922,0.8229708,0.0,0.0
Croatian,0.0032814299,0.0,0.030995306,0.08580291,0.8799203
Armenian,0.054254442,0.33846396,0.1539022,0.28745985,0.16591956
Icelandic,0.0,0.839665,0.160335,0.0,0.0
Italian,0.0067288782,0.033437684,0.0,0.58704305,0.37279046
Kabuverdianu,0.002893837,0.033044584,0.0,0.6329458,0.3311158
Luxembourgish,0.00087552,0.73857737,0.037174802,0.10866977,0.11470252
Lithuanian,0.0,0.07956573,0.0,0.086591125,0.8338432
Latvian,0.0,0.14679176,0.06600859,0.021927344,0.7652723
Macedonian,0.0023138449,0.042565845,0.058713138,0.09966438,0.7967428
Marathi,0.0,0.0,0.7918414,0.16599742,0.042161204
Norwegian,0.002559308,0.7778616,0.2195791,0.0,0.0
Nepali,0.0,0.04510807,0.7250988,0.0,0.22979318
Dutch,0.0049845027,0.5851149,0.033561677,0.27317306,0.10316586
Occitan,0.015281312,0.100749254,0.0,0.880538,0.0034313772
Oriya,0.0038871262,0.0,0.9961129,0.0,0.0
Punjabi,0.0,0.0018032573,0.5907929,0.380563,0.026840791
Polish,0.00062431244,0.035049837,0.0,0.0,0.9643259
Pashto,0.05054543,0.0,0.22734952,0.28144386,0.44066116
Portuguese,0.0,0.0,0.010661239,0.51066005,0.4786787
Romanian,0.006788184,0.0,0.0,0.53515214,0.45805976
Russian,0.0056917793,0.042890705,0.0,0.083963886,0.8674536
Sindhi,0.0,0.1307078,0.48951948,0.0056486516,0.37412405
Slovak,0.0035724,0.013010632,0.0013534747,0.0,0.98206353
Slovenian,0.004007064,0.035128366,0.008568021,0.0,0.95229656
Serbian,0.004419836,0.0,0.026828771,0.10795468,0.86079675
Swedish,0.015427104,0.6487093,0.07880552,0.0,0.25705808
Tajik,0.76732427,0.0,0.0,0.0,0.23267575
Ukrainian,0.0021822292,0.014606977,0.0,0.00093497225,0.98227584
Urdu,0.020935955,0.22525628,0.7538078,0.0,0.0
