language,A1,A2,A3,A4,A5,A6
Afrikaans,0.0,0.0015463062,0.010807229,0.31975836,0.6678881,0.0
Assamese,0.3075507,0.03021076,0.19509496,0.0,0.46714357,0.0
Asturian,0.03266759,0.45975143,0.016654411,0.0,0.49092662,0.0
Belarusian,0.038554724,0.0,0.014010433,0.22826707,0.0,0.71916777
Bulgarian,0.0868836,0.00077653886,0.0,0.28169072,0.0,0.63064915
Bengali,0.48437887,0.0,0.39098072,0.0,0.12464035,0.0
Bosnian,0.0040375832,0.03053576,0.00861391,0.0,0.0,0.95681274
Catalan,0.0,0.4708218,0.123897545,0.40528062,0.0,0.0
Sorani-Kurdish,0.44289333,0.0,0.0,0.24507068,0.007974383,0.30406162
Czech,0.0,0.0,0.005949989,0.042757303,0.0,0.95129275
Welsh,0.06642639,0.015815994,0.050752483,0.1406431,0.72636205,0.0
Danish,0.0011952961,0.015186367,0.030305067,0.0020386297,0.89667034,0.05460429
German,0.0,0.0,0.0,0.06890013,0.63029575,0.30080405
Greek,0.072537504,0.15819602,0.02869275,0.26858088,0.2703694,0.20162341
English,0.04691946,0.0127401855,0.0,0.16850266,0.45932934,0.31250837
Spanish,0.017424239,0.2122881,0.0,0.0,0.4934037,0.276884
Persian,0.6385541,0.004208139,0.0,0.0,0.3572378,0.0
French,0.19680862,0.09201817,0.0,0.17242187,0.53875136,0.0
Irish,0.07516807,0.0,0.014580426,0.09128155,0.4915054,0.32746446
Galician,0.0,0.54687345,0.0,0.0,0.45312655,0.0
Gujarati,0.0014398998,0.031885456,0.31285015,0.0,0.0,0.65382445
Hindi,0.0,0.0,0.36988565,0.101455204,0.52865916,0.0
Croatian,0.0,0.028168406,0.0027734726,0.0,0.0,0.96905816
Armenian,0.2659398,0.025477372,0.02716132,0.0,0.50969255,0.1717289
Icelandic,0.0,0.0061694807,0.02018158,0.0,0.91413283,0.059516154
Italian,0.10100692,0.10432959,0.0,0.28071252,0.09000829,0.4239427
Kabuverdianu,0.09755404,0.12312623,0.0,0.7762289,0.0030908426,0.0
Luxembourgish,0.0053393706,0.0,0.0025653807,0.18140447,0.81069076,0.0
Lithuanian,0.0,0.0,0.0,0.4871564,0.037404995,0.4754386
Latvian,0.0,0.0,0.021022681,0.26297796,0.18294401,0.53305537
Macedonian,0.009692505,0.003922498,0.024249412,0.1294662,0.10212292,0.7305465
Marathi,0.0,0.0,0.549735,0.450265,0.0,0.0
Norwegian,0.0,0.013949349,0.028981945,0.0,0.8611953,0.09587346
Nepali,0.0,0.0,0.57981247,0.4201875,0.0,0.0
Dutch,0.039759498,0.0,0.0060761613,0.17573078,0.77843356,0.0
Occitan,0.22736368,0.14913857,0.0,0.28491578,0.33858198,0.0
Oriya,0.042450987,0.024950853,0.87467164,0.0,0.0,0.05792647
Punjabi,0.0,0.03775518,0.48847497,0.47376987,0.0,0.0
Polish,0.0,0.00059255346,0.0,0.008425799,0.07989187,0.9110898
Pashto,0.5155286,0.0121556055,0.09045938,0.23670475,0.0,0.1451517
Portuguese,0.0,0.082372375,0.012621882,0.72691137,0.0,0.17809437
Romanian,0.16755822,0.05898221,0.0,0.63116914,0.0,0.14229049
Russian,0.05551798,0.0,0.0,0.2040632,0.0526154,0.68780345
Sindhi,0.0,0.0,0.23834853,0.24748875,0.3062326,0.20793007
Slovak,0.008362297,0.0,0.0,0.0,0.023342794,0.968295
Slovenian,0.021337856,0.0,0.0,0.10463005,0.03755053,0.8364816
Serbian,0.009891653,0.030725688,0.004291278,0.002116852,0.0,0.9529745
Swedish,0.06433894,0.004831701,0.009697305,0.03760048,0.7551092,0.12842236
Tajik,0.9200432,0.0,0.0,0.0,0.0,0.07995685
Ukrainian,0.0053834924,0.0,0.0,0.14107145,0.0,0.85354507
Urdu,0.16424909,0.0,0.24733652,0.046721973,0.5416924,0.0
