language,A1,A2,A3,A4,A5,A6,A7
Afrikaans,0.0,0.00093471806,0.0,0.2373744,0.76169086,0.0,0.0
Assamese,0.40129334,0.03070244,0.010864215,0.0,0.3995113,0.15762869,0.0
Asturian,0.036293104,0.51852006,0.0013557489,0.0,0.44383106,0.0,0.0
Belarusian,0.013620525,0.0,0.00018250072,0.11291105,0.0,0.0,0.87328595
Bulgarian,0.063902386,0.0,0.0,0.009644162,0.0,0.9264535,0.0
Bengali,0.5961546,0.0,0.019161008,0.0,0.0173013,0.36738312,0.0
Bosnian,0.0071959174,0.02346861,0.00037707476,0.0,0.0,0.0,0.96895844
Catalan,0.0,0.7369544,0.0067212456,0.25632438,0.0,0.0,0.0
Sorani-Kurdish,0.4974147,0.0,0.0,0.090691134,0.0,0.11391877,0.29797536
Czech,0.0,0.0,0.00013501201,0.018062973,0.0,0.0,0.98180205
Welsh,0.11953463,0.018815076,0.003016193,0.09278626,0.7658479,0.0,0.0
Danish,0.0035878066,0.014720688,0.0018952905,0.004149209,0.8432155,0.027501147,0.10493034
German,0.0,0.0,0.0,0.022921544,0.50506276,0.09621782,0.37579787
Greek,0.038454123,0.112402074,0.00076496246,0.016085135,0.094707236,0.73758644,0.0
English,0.053533074,0.013929513,0.0,0.045765225,0.34653255,0.18570401,0.35453558
Spanish,0.023145529,0.22175297,0.0,0.0,0.37937227,0.0,0.37572917
Persian,0.6980493,0.0,0.0,0.0,0.2374943,0.06445639,0.0
French,0.24695553,0.1428646,0.0,0.07548796,0.53469193,0.0,0.0
Irish,0.10062661,0.0,0.00057410094,0.03986658,0.38411108,0.054806244,0.42001536
Galician,0.0,0.405132,0.0,0.0,0.23097694,0.36389104,0.0
Gujarati,0.021215685,0.032332618,0.01711489,0.03278252,0.0,0.0,0.8965543
Hindi,0.0,0.0,0.035382856,0.16659102,0.79802614,0.0,0.0
Croatian,0.0,0.021602117,0.00022409989,0.0,0.0,0.03223514,0.94593865
Armenian,0.34478334,0.027094666,0.0011933101,0.013526145,0.38094026,0.0,0.23246233
Icelandic,0.0,0.0,0.001201211,0.0,0.80098355,0.19781524,0.0
Italian,0.07587188,0.1183087,0.0,0.08669252,0.067778006,0.13395129,0.5173976
Kabuverdianu,0.016043464,0.12176728,0.0,0.16022605,0.0,0.70196325,0.0
Luxembourgish,0.0,0.0,0.0,0.06362304,0.7007364,0.2356405,0.0
Lithuanian,0.0,0.0,0.0,0.0881042,0.0,0.8580947,0.05380111
Latvian,0.0,0.0,0.00031455388,0.13012548,0.08753985,0.0,0.78202015
Macedonian,0.0088318465,0.0,0.0007848687,0.0,0.017123066,0.86322904,0.110031225
Marathi,0.0,0.0,0.10246558,0.8975345,0.0,0.0,0.0
Norwegian,0.0,0.008397462,0.0018376714,0.0,0.77818173,0.0,0.2115831
Nepali,0.0,0.0,0.0930583,0.6368071,0.0,0.27013463,0.0
Dutch,0.036964156,0.0,0.00022490654,0.09527397,0.75017154,0.11736537,0.0
Occitan,0.2794254,0.21229586,0.0,0.10766367,0.34633592,0.05427919,0.0
Oriya,0.29349142,0.06874772,0.1982739,0.0,0.0,0.439487,0.0
Punjabi,0.0,0.11478262,0.067817084,0.81740034,0.0,0.0,0.0
Polish,0.0,0.0,0.0,0.008099601,0.033182777,0.0,0.9587176
Pashto,0.68340015,0.015034418,0.003936077,0.14670569,0.0,0.0,0.15092367
Portuguese,0.0,0.07774315,0.0,0.12613969,0.0,0.7961171,0.0
Romanian,0.12952648,0.0960401,0.0,0.24259478,0.0,0.34136513,0.19047353
Russian,0.039730232,0.0,0.0,0.08657949,0.031739928,0.03140015,0.81055015
Sindhi,0.0,0.0,0.017016692,0.26342383,0.26055235,0.0,0.4590071
Slovak,0.013031817,0.0,0.0,0.0,0.005031155,0.017679796,0.96425724
Slovenian,0.016844995,0.0,0.0,0.016970562,0.00419243,0.30711168,0.65488034
Serbian,0.012725521,0.021359352,0.00021062538,0.0,0.0,0.12326343,0.8424411
Swedish,0.089142755,0.0015766812,0.0007196947,0.021795241,0.6757643,0.0,0.21100132
Tajik,0.9227903,0.0,0.0,0.0051103216,0.0,0.0,0.07209941
Ukrainian,0.0,0.0,0.0,0.05597264,0.0,0.035405695,0.90862167
Urdu,0.30781958,0.0,0.016878162,0.0877266,0.5875756,0.0,0.0
