language,A1,A2,A3,A4,A5,A6,A7,A8
Afrikaans,0.0,0.21167485,0.0,0.0,0.10257723,0.0,0.0,0.6857479
Assamese,0.0,0.009432951,0.0,0.0,0.0,0.03760868,0.85950834,0.09345002
Asturian,0.0,0.0,0.094531715,0.0,0.0,0.0,0.01132664,0.8941416
Belarusian,0.12312565,0.0,0.0,0.27842575,0.46352282,0.1349258,0.0,0.0
Bulgarian,0.66007847,0.0,0.0,0.0,0.0,0.2013082,0.13861339,0.0
Bengali,0.0,0.0,0.025645752,0.0,0.0,0.047707558,0.9266467,0.0
Bosnian,0.0,0.0,0.75342023,0.17831779,0.03444487,0.033817098,0.0,0.0
Catalan,0.0,0.0,0.0118207885,0.0,0.07161623,0.0,0.04099938,0.8755636
Sorani-Kurdish,0.090710774,0.013997772,0.019768713,0.019737793,0.046103254,0.7165661,0.0,0.09311559
Czech,0.0,0.0034517988,0.0,0.22841881,0.0,0.0,0.73613894,0.03199046
Welsh,0.0,0.1249905,0.058794595,0.0,0.055953097,0.07223149,0.4628778,0.22515248
Danish,0.0,0.27544627,0.25915968,0.0,0.041216485,0.0,0.38488305,0.03929459
German,0.05176716,0.5912319,0.22791828,0.12908277,0.0,0.0,0.0,0.0
Greek,0.15674749,0.006966545,0.05516758,0.0,0.0036605252,0.015272667,0.17752312,0.5846621
English,0.19472457,0.16081022,0.1449735,0.027116582,0.0,0.16536501,0.0,0.3070101
Spanish,0.0,0.009721455,0.104783215,0.005224053,0.0,0.0,0.026524365,0.8537469
Persian,0.0,0.0036910009,0.06896745,0.0,0.0,0.66337055,0.26397097,0.0
French,0.0,0.048139285,0.0,2.1867732e-05,0.0,0.16689102,0.0,0.7849479
Irish,0.057996426,0.18840523,0.108530514,0.045284357,0.089560844,0.27891642,0.23130627,0.0
Galician,0.005767173,0.0,0.14510585,0.0,0.0,0.0,0.0,0.849127
Gujarati,0.0,0.0,0.008441054,0.012074516,0.30123666,0.0,0.67279446,0.005453348
Hindi,0.0,0.016075857,0.03675889,0.0,0.60845625,0.0,0.338709,0.0
Croatian,0.052392207,0.0,0.74395925,0.20364855,0.0,0.0,0.0,0.0
Armenian,0.0,0.030110745,0.0,0.01685979,0.0,0.19359393,0.46224886,0.29718664
Icelandic,0.0,0.35098755,0.35595468,0.0,0.0,0.0,0.29305774,0.0
Italian,0.055737447,0.006436856,0.025516592,0.019173466,0.0,0.058392182,0.09264879,0.74209464
Kabuverdianu,0.19184224,0.009881874,0.0,0.0,0.023588758,0.041497115,0.0,0.73319006
Luxembourgish,0.06740476,0.32715565,0.0,0.0,0.0,0.0,0.3898019,0.21563767
Lithuanian,0.9239977,0.056999683,0.0,0.019002572,0.0,0.0,0.0,0.0
Latvian,0.0,0.23472841,0.03849715,0.17057642,0.55619806,0.0,0.0,0.0
Macedonian,0.3876614,0.0,0.0034555558,0.0041655367,0.0,0.0,0.60471755,0.0
Marathi,0.021202745,0.0,0.0,0.0,0.49861568,0.0,0.48018152,0.0
Norwegian,0.0,0.29289532,0.6002701,0.0,0.0,0.0,0.10683458,0.0
Nepali,0.0,0.0108139645,0.0,0.001672122,0.13801874,0.0,0.8494952,0.0
Dutch,0.0,0.27022344,0.0,0.014241936,0.026272621,0.06746344,0.1315603,0.49023822
Occitan,0.02600866,0.023208892,0.0067829452,0.0020201458,0.0,0.13600798,0.0,0.8059713
Oriya,0.0,0.0,0.0023506698,0.0,0.12200211,0.0,0.87564725,0.0
Punjabi,0.0,0.0,0.013243452,0.0,0.7536575,0.0,0.0,0.23309898
Polish,0.0,0.008805531,0.0,0.26663846,0.0,0.0,0.72455597,0.0
Pashto,0.0,0.0,0.0,0.012616727,0.28959116,0.5675422,0.0,0.13024987
Portuguese,0.30777603,0.0,0.0,0.0,0.061539013,0.0,0.0,0.630685
Romanian,0.09791319,0.00019907951,0.0,0.028362231,0.013097748,0.06565122,0.0,0.7947765
Russian,0.20675433,0.04628723,0.0,0.18253598,0.16299479,0.22588617,0.0,0.17554154
Sindhi,0.0,0.0445065,0.0,0.02873103,0.9257522,0.0010102638,0.0,0.0
Slovak,0.0,0.0011302667,0.0,0.23414578,0.0,0.0,0.76472396,0.0
Slovenian,0.35241997,0.010400388,0.033266123,0.11148448,0.0,0.08587971,0.40654936,0.0
Serbian,0.22374792,0.0,0.6059826,0.1195294,0.0,0.050740037,0.0,0.0
Swedish,0.0,0.30915445,0.3587158,0.0,0.0,0.27197227,0.06015742,0.0
Tajik,0.0,0.0,0.0,0.0,0.0,0.8012095,0.19879052,0.0
Ukrainian,0.319479,0.0,0.12072386,0.3317903,0.22800684,0.0,0.0,0.0
Urdu,0.0,0.018605592,0.058340456,0.0,0.5573272,0.19729602,0.16843073,0.0
