language,A1,A2,A3,A4,A5,A6,A7,A8,A9
Afrikaans,0.43242604,0.0,0.0,0.0,0.0,0.028299278,0.5392747,0.0,0.0
Assamese,0.0,0.0,0.0052179797,0.010192993,0.0,0.0054259263,0.07687751,0.9022856,0.0
Asturian,0.0,0.0,0.0,0.0,0.12403371,0.3944306,0.20079608,0.28073958,0.0
Belarusian,0.06319357,0.0,0.25405347,0.010364693,0.0,0.0,0.0,0.0,0.67238826
Bulgarian,0.0,0.83564746,0.058821347,0.10553121,0.0,0.0,0.0,0.0,0.0
Bengali,0.0,0.0025161766,0.0,0.014821922,0.0,0.0,0.01642031,0.96624154,0.0
Bosnian,0.06880466,0.0,0.03006844,0.006455108,0.830002,0.0,0.0,0.0,0.064669766
Catalan,0.2517062,0.0,0.0,0.0,0.0,0.25720504,0.0,0.37238896,0.118699744
Sorani-Kurdish,0.45230246,0.052684758,0.00389176,0.36880913,0.1223119,0.0,0.0,0.0,0.0
Czech,0.08444017,0.0,0.41939253,0.0,0.0,0.0,0.0,0.49616736,0.0
Welsh,0.21382743,0.0,0.0,0.012096677,0.0,0.00601483,0.31975856,0.44830245,0.0
Danish,0.0,0.0,0.0051031625,0.0,0.049401432,0.005541223,0.54718846,0.13380545,0.2589602
German,0.023322333,0.02358917,0.13409731,0.0,0.041293528,0.0,0.7776976,0.0,0.0
Greek,0.08705503,0.15969156,0.0,0.0065840944,0.01545717,0.16490017,0.11364151,0.41017303,0.042497415
English,0.26140907,0.05677971,0.009787065,0.02997697,0.1384866,0.010249853,0.49331075,0.0,0.0
Spanish,0.0,0.0,0.043862253,0.0,0.1287926,0.3024673,0.3734798,0.15139809,0.0
Persian,0.0,0.0,0.0,0.25560275,0.0,0.0,0.23032509,0.5140722,0.0
French,0.0,0.0,0.06885122,0.106676765,0.0,0.23006243,0.5944096,0.0,0.0
Irish,0.16910997,0.0120732,0.057948865,0.03936696,0.05283737,0.0,0.41964427,0.12664747,0.12237192
Galician,0.0,0.052340295,0.0,0.0,0.16604346,0.44914573,0.14317358,0.18929696,0.0
Gujarati,0.030901616,0.0,0.0,0.0,0.025435645,0.0,0.0,0.45303026,0.49063253
Hindi,0.0,0.0,0.0,0.0,0.0,0.0,0.044178296,0.1271171,0.8287046
Croatian,0.0,0.042798944,0.08347129,0.0,0.8490048,0.0,0.0,0.024724923,0.0
Armenian,0.0,0.0,0.1056223,0.06353384,0.0,0.03187696,0.21270892,0.58625805,0.0
Icelandic,0.00660536,0.020301783,0.0,0.0,0.04434483,0.0,0.6807806,0.12381317,0.12415421
Italian,0.15981476,0.03778738,0.15590025,0.0377524,0.055341933,0.22694243,0.07667648,0.24978437,0.0
Kabuverdianu,0.4955591,0.21774867,0.0,0.028160049,0.0,0.2585322,0.0,0.0,0.0
Luxembourgish,0.1327596,0.031356346,0.039550733,0.0,0.0,0.0,0.7051327,0.091200635,0.0
Lithuanian,0.65655595,0.34344402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvian,0.8184039,0.0,0.0,0.0,0.18159612,0.0,0.0,0.0,0.0
Macedonian,0.0,0.27158225,0.029580608,0.0,0.0,0.0,0.046822783,0.65201443,0.0
Marathi,0.0,0.003880038,0.0,0.0,0.0,0.0,0.0,0.22810654,0.7680135
Norwegian,0.0,0.0,0.0,0.0,0.14075324,0.0,0.589403,0.06948226,0.20036152
Nepali,0.1226861,0.0,0.0,0.0,0.0,0.0,0.0,0.8265582,0.050755743
Dutch,0.20570977,0.009914441,0.05069957,0.0126075195,0.0,0.012885824,0.6942607,0.013922261,0.0
Occitan,0.1027316,0.015243221,0.071949705,0.110054106,0.0,0.31751004,0.38251132,0.0,0.0
Oriya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72663635,0.27336362
Punjabi,0.040497404,0.0,0.0,0.0,0.0,0.0060944366,0.0,0.0389864,0.9144218
Polish,0.0,0.0,0.5515735,0.0,0.0,0.0,0.01143753,0.43698895,0.0
Pashto,0.02436002,0.0,0.017111247,0.09215177,0.0,0.010125997,0.0,0.0,0.85625094
Portuguese,0.60486025,0.24248634,0.0,0.0,0.0,0.15265343,0.0,0.0,0.0
Romanian,0.3091082,0.07993918,0.31599617,0.05285203,0.0,0.24210444,0.0,0.0,0.0
Russian,0.031659763,0.035179604,0.2935276,0.028348234,0.0,0.007379889,0.055753287,0.0,0.5481516
Sindhi,0.0,0.0,0.018921236,0.0,0.0022280908,0.0,0.028926516,0.0,0.9499242
Slovak,0.0,0.0,0.4336651,0.0,0.10257694,0.0,0.0,0.463758,0.0
Slovenian,0.0,0.20752303,0.3512819,0.02078346,0.13173254,0.0,0.025132224,0.19910441,0.064442374
Serbian,0.0,0.11464268,0.0029552004,0.010540616,0.8718615,0.0,0.0,0.0,0.0
Swedish,0.05293246,0.0,0.0,0.029023923,0.11602454,0.0,0.676695,0.0,0.12532412
Tajik,0.0,0.0,0.0,0.47130668,0.0,0.0,0.0,0.5286934,0.0
Ukrainian,0.0,0.03200681,0.33210337,0.0,0.028986374,0.0,0.0,0.0,0.60690343
Urdu,0.0,0.0,0.0,0.013879845,0.0,0.0,0.064239234,0.060514342,0.86136657
