language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
Afrikaans,0.63026077,0.0,0.0,0.0,0.0,0.028227072,0.34151217,0.0,0.0,0.0
Assamese,0.0,0.0,0.0,0.018462729,0.7269955,0.010357855,0.24418397,0.0,0.0,0.0
Asturian,0.0,0.876752,0.011283457,0.014806418,0.0076822103,0.019184986,0.07029094,0.0,0.0,0.0
Belarusian,0.07848857,0.0,0.32544953,0.01583925,0.0,0.0,0.0,0.0,0.58022267,0.0
Bulgarian,0.0,0.0,0.0051734312,0.012320174,0.0,0.0,0.006242043,0.0,0.0,0.9762644
Bengali,0.0,0.0,0.0,0.09216927,0.75961864,0.0057914825,0.0,0.0,0.0,0.14242055
Bosnian,0.025375126,0.0022601956,0.0018051901,0.0,0.0,0.0,0.0,0.94852054,0.022038974,0.0
Catalan,0.4244979,0.46732023,0.0,0.0,0.04290586,0.0,0.06527599,0.0,0.0,0.0
Sorani-Kurdish,0.23859541,0.0,0.003977393,0.23791273,0.0,0.0,0.03662232,0.20986207,0.0,0.27303007
Czech,0.18662716,0.0,0.6778947,0.0,0.13009237,0.0,0.0053857537,0.0,0.0,0.0
Welsh,0.67725366,0.08460473,0.0,0.056370195,0.14113136,0.040640034,0.0,0.0,0.0,0.0
Danish,0.0,0.034388054,0.0,0.0,0.04424235,0.06902943,0.100055575,0.31303835,0.43924618,0.0
German,0.0,0.0,0.17481649,0.0,0.0,0.059067033,0.28014097,0.17820601,0.0,0.3077695
Greek,0.05357689,0.101165384,0.0,0.006921792,0.012639052,0.0021921971,0.0,0.0,0.0,0.8235047
English,0.17993023,0.0,0.0,0.02230388,0.0,0.0140915075,0.067672044,0.28347376,0.0,0.43252861
Spanish,0.0,0.7017931,0.14675142,0.0,0.0,0.030473141,0.10188095,0.019101402,0.0,0.0
Persian,0.0,0.0,0.0,0.8303426,0.13969296,0.029964395,0.0,0.0,0.0,0.0
French,0.0,0.12295756,0.0,0.09812495,0.0,0.02226097,0.7566564,0.0,0.0,0.0
Irish,0.29124725,0.0,0.095892206,0.09356719,0.00904338,0.028917918,0.0,0.11346149,0.09834806,0.2695225
Galician,0.0,0.47974658,0.0,0.0,0.0,0.0076365964,0.0,0.0,0.0,0.5126168
Gujarati,0.090832956,0.022829227,0.0,0.0,0.14461821,0.0,0.0,0.10909224,0.6326273,0.0
Hindi,0.0,0.0,0.0,0.0,0.03439371,0.0042294627,0.0,0.0,0.96137685,0.0
Croatian,0.0,0.002559616,0.015838198,0.0,0.0026229278,0.0,0.0,0.8443309,0.0,0.1346484
Armenian,0.0,0.0,0.14419411,0.18565246,0.2650697,0.021907462,0.38317624,0.0,0.0,0.0
Icelandic,0.06977933,0.058139026,0.0,0.0,0.013005141,0.07066208,0.0,0.0,0.070431195,0.71798325
Italian,0.032337334,0.10380428,0.059730865,0.0,0.055934258,0.0,0.35224268,0.3139197,0.0,0.08203086
Kabuverdianu,0.11074283,0.04682302,0.0,0.0,0.0,0.0,0.16445391,0.0,0.012175702,0.66580456
Luxembourgish,0.17531799,0.0,0.0,0.0,0.0204816,0.048020605,0.33449447,0.0,0.0,0.4216854
Lithuanian,0.14563148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85436857
Latvian,0.6283015,0.0,0.0,0.0,0.0,0.00025056658,0.0,0.37144792,0.0,0.0
Macedonian,0.0,0.0,0.0105734365,0.0,0.02912628,0.0010195405,0.0,0.0,0.0,0.9592807
Marathi,0.0,0.0,0.0,0.0,0.06621594,0.0,0.0372468,0.0,0.8965372,0.0
Norwegian,0.0,0.0052391067,0.0,0.0,0.011644403,0.050246343,0.0,0.668769,0.26410115,0.0
Nepali,0.45818174,0.0,0.0,0.0,0.41721532,0.0,0.0,0.0,0.124602914,0.0
Dutch,0.4225318,0.0,0.06440926,0.012036149,0.0015931127,0.058785178,0.33602977,0.0,0.0,0.10461467
Occitan,0.0,0.2270022,0.001238229,0.08669904,0.016390607,0.011390898,0.6078655,0.021203643,0.028209899,0.0
Oriya,0.0,0.0019200626,0.0,0.0,0.3854887,0.0,0.0,0.00041828692,0.61217296,0.0
Punjabi,0.07010403,0.020039324,0.0,0.0,0.0049026837,0.0,0.0,0.0,0.90495396,0.0
Polish,0.0,0.011591105,0.88002735,0.0,0.10788954,0.000491939,0.0,0.0,0.0,0.0
Pashto,0.033513457,0.018074818,0.028125359,0.16675927,0.0,0.0,0.017359274,0.0,0.7361678,0.0
Portuguese,0.16522984,0.038458038,0.0,0.0,0.0,0.0,0.03396751,0.0,0.0,0.76234466
Romanian,0.019037427,0.0,0.0717162,0.0,0.028325308,0.0,0.5330397,0.0,0.13844647,0.20943493
Russian,0.0,0.0,0.2516008,0.01768029,0.0,0.00025278275,0.09437212,0.0,0.3418303,0.29426363
Sindhi,0.0,0.0,0.015669188,0.0,0.0,0.0013180748,0.026303306,0.031021275,0.92568815,0.0
Slovak,0.05029404,0.0,0.574978,0.004816277,0.1012589,0.0,0.0,0.26865274,0.0,0.0
Slovenian,0.0,0.0,0.09744025,0.006588661,0.011616609,0.00029760072,0.018505925,0.14281464,0.0,0.7227363
Serbian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6895749,0.0042917198,0.3061334
Swedish,0.047773886,0.0,0.0,0.05352981,0.0,0.053892065,0.12198697,0.58533514,0.13748214,0.0
Tajik,0.0,0.0,0.0,0.89805794,0.101942055,0.0,0.0,0.0,0.0,0.0
Ukrainian,0.0,0.0,0.28870213,0.0,0.0,0.0,0.0,0.021953152,0.35352427,0.33582053
Urdu,0.0,0.0,0.0,0.034510795,0.01230021,0.0057919826,0.0,0.0,0.947397,0.0
