language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
Afrikaans,0.0,0.2430752,0.0,0.0,0.0,0.0,0.15779993,0.0,0.5735773,0.025547592,0.0
Assamese,0.0,0.0,0.0,0.011122716,0.5127195,0.0,0.043794293,0.0,0.43236345,0.0,0.0
Asturian,0.053329498,0.0,0.0,0.0065817977,0.012338194,0.7246494,0.09353863,0.0,0.10956238,0.0,0.0
Belarusian,0.9809862,0.0008905607,0.0,0.0,0.018123247,0.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.0,0.080220185,0.054631032,0.0,0.0,0.0,0.8166942,0.04845457,0.0,0.0
Bengali,0.0,0.0,0.0,0.122057416,0.79096955,0.0,0.029365456,0.05760761,0.0,0.0,0.0
Bosnian,0.0010372122,0.005992431,0.0058128247,0.0,0.0,0.00075171934,0.0,0.0,0.0,0.006213029,0.9801927
Catalan,0.0,0.20232859,0.0,0.0,0.024226168,0.473109,0.0,0.0,0.14834304,0.15199322,0.0
Sorani-Kurdish,0.16605072,0.09815686,0.0,0.20231198,0.0,0.0,0.0,0.029903766,0.05963673,0.0,0.44393992
Czech,0.0625462,0.07852725,0.7331029,0.0,0.010072945,0.0,0.0,0.0,0.11575076,0.0,0.0
Welsh,0.13874453,0.31783628,0.0,0.04610095,0.1404145,0.08499573,0.27190802,0.0,0.0,0.0,0.0
Danish,0.045853853,0.0,0.0,0.0,0.036661066,0.018552937,0.24287142,0.0,0.100107335,0.15487158,0.40108177
German,0.0,0.0,0.1538627,0.0,0.0,0.0,0.23873042,0.029967638,0.36776423,0.0,0.20967503
Greek,0.036854025,0.08148348,0.0,0.015818061,0.048998717,0.34384304,0.04084664,0.4321561,0.0,0.0,0.0
English,0.0,0.08364795,0.019698301,0.021349352,0.0,0.0,0.08618956,0.06827275,0.12318088,0.0,0.5976612
Spanish,0.053277526,0.0,0.10924476,0.0,0.0,0.5255374,0.13341294,0.0,0.15328732,0.0,0.02524006
Persian,0.0,0.0,0.0,0.70900655,0.08461198,0.0,0.16592658,0.04045491,0.0,0.0,0.0
French,0.0,0.0,0.0,0.047085866,0.0,0.06958908,0.07684069,0.0,0.8064844,0.0,0.0
Irish,0.06802268,0.13400991,0.117205955,0.08631184,0.0,0.0,0.18668707,0.045069072,0.0,0.12145093,0.24124259
Galician,0.0,0.0,0.0,0.0,0.0,0.78313494,0.07294268,0.14392243,0.0,0.0,0.0
Gujarati,0.0,0.034270994,0.02496993,0.0,0.09326162,0.022574024,0.0,0.0,0.0,0.72019446,0.10472898
Hindi,0.0,0.0,0.0,0.00081296416,0.020267466,0.0,0.023432663,0.0,0.0,0.95548695,0.0
Croatian,0.0,0.0,0.018969709,0.0,0.0,0.0015016493,0.0,0.008018296,0.0,0.0,0.97151035
Armenian,0.0,0.0,0.16544467,0.12912884,0.10854136,0.0,0.074440055,0.0,0.5224451,0.0,0.0
Icelandic,0.0,0.027186846,0.04485621,0.0,0.04447679,0.0853216,0.64016044,0.15799813,0.0,0.0,0.0
Italian,0.01921552,0.010022196,0.032461666,0.0,0.019607117,0.058995403,0.0,0.00465278,0.39745778,0.0,0.45758757
Kabuverdianu,0.041777134,0.097801246,0.0,0.0,0.0,0.08394303,0.0,0.19447777,0.58200085,0.0,0.0
Luxembourgish,0.0,0.054988973,0.07730287,0.0,0.009231138,0.0,0.25354886,0.044405226,0.5605229,0.0,0.0
