language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Afrikaans,0.0,0.49257702,0.0,0.0,0.0,0.0,0.507423,0.0,0.0,0.0,0.0,0.0
Assamese,0.0,0.19246559,0.0,0.0,0.74902314,0.0,0.0,0.0,0.030548403,0.0,0.027962917,0.0
Asturian,0.0,0.0075315344,0.0,0.0,0.0027045072,0.43310797,0.014962473,0.0,0.0,0.0,0.48155317,0.060140263
Belarusian,0.0,0.0,0.0,0.0,0.0060537895,0.0,0.00038145133,0.0,0.0,0.0,0.0,0.9935647
Bulgarian,0.11458244,0.013497896,0.0,0.0,0.0,0.0,0.0,0.5840195,0.047733977,0.0,0.0,0.24016614
Bengali,0.0,0.0,0.0,0.0,0.5296447,0.0,0.0,0.00038446786,0.0584852,0.0,0.41148558,0.0
Bosnian,0.0,0.0,0.053144388,0.6623533,0.0,0.010332439,0.03494542,0.0,0.0,0.029661158,0.15542804,0.05413532
Catalan,0.0,0.0,0.0,0.0,0.032688487,0.67463905,0.23570746,0.0,0.0,0.05696501,0.0,0.0
Sorani-Kurdish,0.036181714,0.0,0.0,0.025489233,0.0,0.0,0.07781104,0.015812358,0.1610965,0.0,0.0,0.6836091
Czech,0.0,0.0,0.6103757,0.0,0.00837402,0.0,0.05454199,0.0,0.0,0.033934142,0.0,0.29277417
Welsh,0.035938084,0.0,0.0,0.0,0.05360721,0.013077845,0.07997272,0.0,0.00929079,0.0,0.61229855,0.19581485
Danish,0.0,0.04143807,0.0,0.0021362603,0.01671113,0.0063235443,0.0,0.005265479,0.0,0.06795308,0.769227,0.09094539
German,0.0,0.1533104,0.07164038,0.016483817,0.0,0.0,0.0,0.022668174,0.0,0.0,0.73589724,0.0
Greek,0.0,0.003125688,0.0,0.0,0.02496025,0.45292377,0.12748194,0.39150843,0.0,0.0,0.0,0.0
English,0.21028464,0.068607196,0.023937205,0.04252215,0.0,0.0,0.0342037,0.0026893704,0.020479461,0.0,0.5972763,0.0
Spanish,0.0,0.019870609,0.053295076,0.0,0.0,0.269859,0.0,3.7572878e-05,0.0,0.0,0.5644333,0.09250451
Persian,0.025842892,0.0,0.0,0.0,0.04011026,0.0,0.0,0.0,0.25705174,0.0,0.67699516,0.0
French,0.0,0.56962425,0.0,0.0,0.0,0.31380576,0.0,0.0,0.116569966,0.0,0.0,0.0
Irish,0.050093062,0.0072824666,0.0581301,0.0,0.0,0.0,0.049274433,0.009934024,0.03225,0.054193437,0.609531,0.12931155
Galician,0.007747592,0.0,0.0,0.0,0.0,0.40547517,0.0,0.031626213,0.0,0.0,0.55515105,0.0
Gujarati,0.0,0.0,0.0,0.029910857,0.20974427,0.025348263,0.07758123,0.0013376771,0.0,0.6560777,0.0,0.0
Hindi,0.0037391058,0.0,0.0,0.0,0.027929073,0.0,0.0,0.0,0.00053684216,0.72068727,0.2471077,0.0
Croatian,0.0,0.0,0.1734744,0.73707736,0.0,0.020047883,0.0,0.069400385,0.0,0.0,0.0,0.0
