language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.088739835,0.0,0.0,0.0,0.10952965,0.8017305,0.0
Assamese,0.0,0.0,0.0,0.033626296,0.62868387,0.0,0.10662547,0.0,0.0,0.0,0.2310644,0.0,0.0
Asturian,0.0,0.003032406,0.0,0.0,0.004496175,0.56047815,0.0,0.0,0.0,0.15769918,0.16232543,0.11196862,0.0
Belarusian,0.0,0.9490322,0.0,0.0,0.050967854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.01161781,0.0,0.044934683,0.0,0.0,0.0,0.58537114,0.0,0.0,0.12861602,0.0,0.22946043
Bengali,0.0,0.0,0.0,0.11316475,0.744967,0.0,0.0,0.0,0.0,0.14186825,0.0,0.0,0.0
Bosnian,0.7266216,0.004162516,0.022552878,0.0,0.0,0.0025300037,0.0,0.0,0.0020961934,0.018118357,0.0,0.22391841,0.0
Catalan,0.0,0.0,0.0,0.0,0.015125646,0.22184326,0.0,0.0,0.011272139,0.0,0.0,0.75175893,0.0
Sorani-Kurdish,0.038360666,0.060832717,0.0,0.16179982,0.0,0.0,0.0,0.023922103,0.0,0.0,0.052857924,0.66222674,0.0
Czech,0.0,0.02408851,0.484208,0.0,0.006487411,0.0,0.0,0.0,0.005830233,0.0,0.05599217,0.42339367,0.0
Welsh,0.0,0.017381238,0.0,0.010748673,0.047401324,0.008217348,0.020508107,0.0,0.0,0.08533307,0.0,0.5210461,0.28936413
Danish,0.019599346,0.042569265,0.0,0.0,0.06578261,0.033063743,0.21256272,0.0002636822,0.046377238,0.5320599,0.047721498,0.0,0.0
German,0.116929896,0.0,0.15120469,0.0,0.0,0.0,0.37760276,0.01482314,0.0,0.20599481,0.13344471,0.0,0.0
Greek,0.0,0.003654332,0.0,0.0,0.035201132,0.25456282,0.04009782,0.22357242,0.0,0.0,0.0,0.4429115,0.0
English,0.055929832,0.0,0.012607314,0.020014055,0.0,0.0,0.055734567,0.0,0.0,0.041998856,0.0,0.10979296,0.70392245
Spanish,0.0,0.0134848105,0.087188885,0.0,0.0,0.4501336,0.00741105,0.0,0.0,0.22907296,0.21270871,0.0,0.0
Persian,0.0,0.0,0.0,0.3912654,0.038715087,0.0,0.0,0.0,0.0,0.15023777,0.0,0.0,0.41978177
French,0.0,0.0,0.0,0.08431609,0.0,0.16566387,0.22605298,0.0,0.0,0.0,0.5239671,0.0,0.0
Irish,0.0,0.013358345,0.053058714,0.043216214,0.0,0.0,0.042480215,0.0,0.010078137,0.098027945,0.0,0.31916544,0.42061502
Galician,0.0,0.0,0.0,0.0,0.0,0.45390233,0.0,0.016368885,0.0,0.14764363,0.0,0.0,0.3820852
Gujarati,0.04841408,0.0,0.0053027333,0.0,0.17281649,0.0215192,0.0,0.0,0.121530145,0.0,0.0,0.63041735,0.0
Hindi,0.0,0.0,0.00045961436,0.0019533676,0.08653403,0.0,0.0,0.0,0.56547207,0.20089465,0.0,0.0,0.1446862
Croatian,0.8735294,0.0,0.0843241,0.0,0.0,0.0071139494,0.0,0.03503255,0.0,0.0,0.0,0.0,0.0
Armenian,0.0,0.0,0.06138253,0.060602546,0.060491912,0.0,0.0,0.0,0.0,0.07859323,0.7389298,0.0,0.0
Icelandic,0.0,0.0,0.0,0.0,0.007620363,0.0144347055,0.07993761,0.094678506,0.0,0.464313,0.0,0.33901587,0.0
Italian,0.034419887,0.0,0.033066545,0.0,0.009504825,0.056667503,0.0,0.0,0.0,0.028872043,0.47667408,0.0,0.36079517
Kabuverdianu,0.0,0.0039005496,0.0,0.0016661304,0.0,0.023192422,0.014740075,0.00932964,0.0,0.0,0.1520078,0.014147658,0.7810157
Luxembourgish,0.0,0.0,0.004065154,0.0,0.07636027,0.0,0.40469617,0.02667404,0.0,0.0,0.07002095,0.41818342,0.0
Lithuanian,0.0,0.027831702,0.0,0.0,0.0,0.0,0.0,0.06953418,0.0,0.0065876674,0.0,0.40476063,0.49128586
Latvian,0.042519756,0.0,0.00412633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95335394,0.0
Macedonian,0.0,0.0,0.10190057,0.0,0.1552889,0.0,0.0,0.74281055,0.0,0.0,0.0,0.0,0.0
