language,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
Afrikaans,0.0,0.0,0.0,0.0,0.0,0.0,0.016477654,0.0,0.0,0.0,0.012301795,0.0,0.43068197,0.5405386
Assamese,0.0,0.0,0.0,0.0,0.3311511,0.0,0.038414553,0.0,0.0,0.0,0.0,0.07542009,0.0,0.5550143
Asturian,0.0,0.0,0.0,0.0,0.0,0.55748534,0.13555482,0.0,0.0,0.021720981,0.08653208,0.0,0.1987068,0.0
Belarusian,0.0,0.0,0.0,0.0,0.08016257,0.0,0.0,0.0,0.9198374,0.0,0.0,0.0,0.0,0.0
Bulgarian,0.0,0.0049178903,0.0,0.0,0.0,0.0,0.08965501,0.7624517,0.015352047,0.0,0.0,0.12762329,0.0,0.0
Bengali,0.0,0.0,0.0,0.0,0.5473664,0.0,0.0,0.0,0.0,0.04077344,0.0,0.4118602,0.0,0.0
Bosnian,0.0064846803,0.0,0.034661584,0.5621929,0.0020645629,0.0,0.0,0.0,0.0022851492,0.010326109,0.0,0.008781156,0.37320384,0.0
Catalan,0.040235717,0.0,0.0,0.0,0.017412752,0.12976858,0.13932906,0.0,0.0,0.0,0.0,0.0,0.67325383,0.0
Sorani-Kurdish,0.0,0.0,0.0,0.0077837543,0.0,0.0,0.05252408,0.013871141,0.025267446,0.0,0.0,0.4345987,0.46595484,0.0
Czech,0.0,0.0,0.58400625,0.0,0.009567512,0.0,0.06771888,0.0,0.0,0.0,0.0,0.0,0.3387073,0.0
Welsh,0.0,0.013013682,0.0,0.0,0.034538,0.023653766,0.0,0.0,0.007681027,0.018149825,0.0,0.05637676,0.4975258,0.3490611
Danish,0.03090767,0.0,0.0,0.008300974,0.020694135,0.01765239,0.0014561845,0.0,0.0069523323,0.0710469,0.0040119984,0.0,0.0,0.8389774
German,0.0,0.00068618776,0.039495457,0.020275474,0.0,0.0,0.0,0.00044025452,0.0,0.015203452,0.025024205,0.0,0.0,0.89887494
Greek,0.0,0.0,0.0,0.0,0.010935386,0.17421356,0.0,0.121908024,0.0038289377,0.0,0.0,0.0,0.32588327,0.3632309
English,0.0,0.0513801,0.014001596,0.03917498,0.0,0.0,0.0,0.0,0.0,0.01072783,0.0,0.09418385,0.14471552,0.64581615
Spanish,0.0,0.0,0.12140437,0.0,0.0,0.47494403,0.1479048,0.0,0.0066907466,0.07118489,0.103380136,0.0,0.0,0.07449093
Persian,0.0,0.023573875,0.0,0.0,0.0038032061,0.00094393553,0.0,0.0,0.0,0.025247332,0.022424933,0.92400676,0.0,0.0
French,0.0,0.0,0.0,0.0,0.0,0.0,0.17924054,0.0,0.0,0.006399721,0.01050273,0.07786051,0.0,0.72599655
Irish,0.015952228,0.02275864,0.04816719,0.0026932391,0.0,0.0,0.0,0.0,0.0050445786,0.02429732,0.0,0.15768158,0.27061033,0.45279488
Galician,0.0,0.091827676,0.0,0.0,0.0,0.8793818,0.0,0.0,0.0,0.028790554,0.0,0.0,0.0,0.0
Gujarati,0.23195826,0.0,0.0,0.012784371,0.12265573,0.020455584,0.0,0.0,0.0,0.0,0.04143902,0.0,0.5707071,0.0
Hindi,0.8648089,0.0043867608,0.0029202378,0.0,0.057422686,0.0,0.0,0.0,0.0,0.055399794,0.0,0.015061654,0.0,0.0
Croatian,0.0,0.0,0.12784721,0.7547701,0.0,0.0,0.0,0.04099255,0.0,0.0,0.07639016,0.0,0.0,0.0
Armenian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804457,0.2195543,0.0,0.0
Icelandic,0.0,0.0,0.0,0.0,0.0,0.03640459,0.0,0.032216888,0.0,0.0839613,0.0,0.0,0.15625037,0.6911669
Italian,0.0,0.089949474,0.10627185,0.032281935,0.054220743,0.0153314965,0.4402865,0.016218692,0.0,0.05625681,0.18918253,0.0,0.0,0.0
Kabuverdianu,0.031356014,0.21083006,0.0,0.0,0.0,0.0,0.22735237,0.045141358,0.009547599,0.0,0.03304744,0.0,0.027287774,0.4154374
Luxembourgish,0.0,0.0,0.0,0.0,0.0078249425,0.0,0.0,0.0046247477,0.0,0.0,0.027343495,0.0,0.093018636,0.86718816
Lithuanian,0.0,0.056555785,0.0,0.0,0.0,0.0,0.0,0.099227674,0.025895746,0.005924788,0.0,0.0,0.812396,0.0
Latvian,0.0,0.0,0.0017079504,0.017182436,0.0,0.0,0.0,0.0,0.0,0.0,0.009469123,0.0,0.9716405,0.0
Macedonian,0.0,0.0,0.13123149,0.0,0.15254796,0.009984979,0.0,0.7062355,0.0,0.0,0.0,0.0,0.0,0.0
Marathi,0.7066984,0.0,0.0,0.0,0.15191247,0.0,0.0,0.0,0.061493948,0.0,0.07989519,0.0,0.0,0.0
Norwegian,0.10118299,0.0,0.0,0.097750455,0.024175934,0.0,0.03498469,0.0,0.0,0.6025775,0.06434816,0.0,0.07498027,0.0
Nepali,0.02716558,0.008003295,0.0,0.0,0.20623392,0.0,0.0,0.0,0.0035624297,0.0,0.0,0.0,0.75503474,0.0
Dutch,0.0,0.0,0.0063162716,0.0,0.0040231547,0.0,0.01874042,0.004121661,0.0,0.003525168,0.0,0.0,0.24703498,0.7162384
Occitan,0.0012978471,0.023938043,0.0,0.0,0.0051636305,0.039966896,0.17796883,0.0,0.0,0.0,0.0570638,0.11301958,0.0,0.5815813
Oriya,0.36802647,0.0,0.0,0.00552433,0.6131905,0.0,0.0,0.0,0.0,0.0012467456,0.0,0.0,0.012011966,0.0
Punjabi,0.5125758,0.013218989,0.0,0.0,0.0,0.0065065213,0.010003914,0.0,0.0,0.0025852376,0.0,0.0,0.45510957,0.0
Polish,0.0,0.0,0.85291815,0.0,0.0,0.033850573,0.0,0.0,0.10392669,0.0,0.009304554,0.0,0.0,0.0
Pashto,0.20345934,0.0,0.0,0.0,0.0,0.0,0.066204235,0.0,0.05522222,0.0,0.0,0.5264269,0.14868735,0.0
Portuguese,0.12131491,0.7608844,0.08514376,0.0,0.0,0.032656875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romanian,0.0,0.11891455,0.0,0.0,0.0,0.0,0.30066374,0.0,0.07017522,0.0,0.5102465,0.0,0.0,0.0
Russian,0.0,0.0,0.021339368,0.0,0.0,0.0,0.053541236,0.01751734,0.3882589,0.021612965,0.02062832,0.0,0.0,0.47710186
Sindhi,0.44499943,0.0,0.0,0.01686864,0.0,0.0,0.0,0.0,0.020988246,0.0,0.012223576,0.0,0.0,0.5049202
Slovak,0.0,0.0,0.5718132,0.022665266,0.0,0.0030393098,0.0,0.010579361,0.0,0.0,0.0,0.09862666,0.29327616,0.0
Slovenian,0.011228767,0.0,0.4262008,0.113297164,0.0,0.0,0.037595097,0.28767538,0.055057492,0.006410261,0.042312313,0.020222679,0.0,0.0
Serbian,0.0,0.0050988956,0.0,0.82627255,0.0,0.0,0.0,0.13040458,0.038223926,0.0,0.0,0.0,0.0,0.0
Swedish,0.0,0.0,0.0,0.0,0.0,0.0,0.108992524,0.029807504,0.0,0.22719215,0.0,0.09756851,0.53643936,0.0
Tajik,0.0,0.0,0.010178038,0.0,0.0,0.0,0.016419223,0.0,0.008275903,0.0,0.021471575,0.94365525,0.0,0.0
Ukrainian,0.0,0.0,0.23009755,0.0,0.0,0.0,0.0,0.01752378,0.61374426,0.098312974,0.040321372,0.0,0.0,0.0
