K,RSS,VarExpl,dVarExpl
2,10510.5205,0.16094970703125,
3,9550.461,0.23759084939956665,0.07664114236831665
4,8720.139,0.3038751482963562,0.06628429889678955
5,8031.019,0.358887255191803,0.05501210689544678
6,7439.0107,0.4061470031738281,0.047259747982025146
7,6917.1143,0.44780975580215454,0.041662752628326416
8,6389.492,0.4899296164512634,0.04211986064910889
9,5925.679,0.5269556045532227,0.03702598810195923
10,5528.5454,0.558658629655838,0.031703025102615356
11,5115.38,0.5916414558887482,0.032982826232910156
12,4789.1343,0.6176854968070984,0.02604404091835022
13,4468.368,0.6432921290397644,0.025606632232666016
14,4191.8076,0.665369838476181,0.022077709436416626
15,3975.153,0.6826652586460114,0.017295420169830322
16,3720.7324,0.7029755413532257,0.020310282707214355
17,3480.7612,0.7221323549747467,0.019156813621520996
18,3291.1719,0.7372671961784363,0.015134841203689575
19,3085.8528,0.7536577135324478,0.016390517354011536
20,2923.5547,0.7666139006614685,0.012956187129020691
21,2750.0552,0.7804642915725708,0.013850390911102295
22,2532.077,0.7978654056787491,0.017401114106178284
23,2375.0464,0.8104010820388794,0.01253567636013031
24,2206.5615,0.823851153254509,0.013450071215629578
25,2100.7407,0.8322987854480743,0.008447632193565369
