"language","C1","C2","C3","C4","C5"
"Assamese",0.225483,0.676117,0.052367,9.9991e-05,0.0459324
"Asturian",9.99729e-05,0.0149267,0.984773,9.99729e-05,9.99729e-05
"Belarusian",9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05
"Bulgarian",9.9982e-05,9.9982e-05,0.130755,0.334116,0.534929
"Bengali",0.165161,0.77546,9.9982e-05,9.9982e-05,0.0591798
"Bosnian",9.9973e-05,9.9973e-05,0.0672417,9.9973e-05,0.932458
"Catalan",9.9982e-05,0.17315,0.777327,9.9982e-05,0.0493228
"Sorani-Kurdish",9.999e-05,0.132437,0.1806,0.381727,0.305137
"Czech",0.0983877,0.162286,9.9982e-05,9.9982e-05,0.739126
"Welsh",0.637206,0.19897,0.0188249,0.144899,9.9991e-05
"Danish",0.966093,0.0336067,9.9973e-05,9.9973e-05,9.9973e-05
"German",0.856482,9.99729e-05,9.99729e-05,9.99729e-05,0.143218
"Spanish",0.0493736,9.99729e-05,0.950326,9.99729e-05,9.99729e-05
"French",0.18859,9.9982e-05,0.696506,0.114703,9.9982e-05
"Irish",0.65327,0.0850059,9.9991e-05,0.00369189,0.257932
"Galician",0.0312951,0.0118839,0.923138,9.9991e-05,0.0335826
"Gujarati",9.9982e-05,0.733591,9.9982e-05,0.120555,0.145653
"Croatian",9.9982e-05,0.0094774,0.120914,9.9982e-05,0.869409
"Armenian",0.368965,0.340595,0.111293,0.179048,9.9991e-05
"Icelandic",0.31286,0.179753,0.154679,0.152116,0.200592
"Italian",0.0549573,9.9991e-05,0.788582,0.0310688,0.125292
"Kabuverdianu",9.99729e-05,9.99729e-05,0.66795,0.33175,9.99729e-05
"Luxembourgish",0.816229,0.00385693,9.9991e-05,0.0705515,0.109262
"Lithuanian",0.174627,9.9982e-05,9.9982e-05,0.73015,0.0950228
"Latvian",0.277382,9.9991e-05,0.00898073,0.44721,0.266327
"Macedonian",0.0866932,0.113938,9.9991e-05,0.145066,0.654203
"Marathi",9.99729e-05,0.69147,9.99729e-05,0.30823,9.99729e-05
"Norwegian",0.670297,0.139001,0.0434954,0.147107,9.9991e-05
"Nepali",0.0120438,0.783948,9.9982e-05,0.203808,9.9982e-05
"Dutch",0.571058,0.110897,0.114194,0.0333927,0.170458
"Occitan",0.0226103,9.9982e-05,0.94776,0.0294295,9.9982e-05
"Oriya",9.99729e-05,0.990266,9.99729e-05,9.99729e-05,0.0094344
"Punjabi",9.9982e-05,0.622317,0.0800935,0.297389,9.9982e-05
"Polish",0.184151,0.0432629,9.9991e-05,0.19594,0.576546
"Pashto",9.9991e-05,0.441889,0.11193,0.412571,0.0335092
"Portuguese",9.9982e-05,9.9982e-05,0.438782,0.43317,0.127848
"Romanian",9.9991e-05,0.104766,0.407447,0.465967,0.02172
"Russian",9.99729e-05,9.99729e-05,0.0507595,0.948941,9.99729e-05
"Sindhi",9.9973e-05,0.635531,9.9973e-05,0.364169,9.9973e-05
"Slovak",0.0170713,0.125337,9.9982e-05,9.9982e-05,0.857392
"Slovenian",0.132582,0.0343142,9.9991e-05,0.12272,0.710284
"Serbian",9.9982e-05,9.9982e-05,0.0295915,0.0136042,0.956604
"Swedish",0.82156,9.9973e-05,9.9973e-05,9.9973e-05,0.17814
"Tajik",9.9991e-05,0.363597,0.0973444,0.141863,0.397095
"Ukrainian",0.00754555,9.9982e-05,9.9982e-05,0.705589,0.286666
"Persian",0.301781,0.370607,0.13674,9.9991e-05,0.190773
"Greek",0.118432,0.166645,0.433488,0.150251,0.131185
"Urdu",0.0859787,0.675099,9.99819e-05,0.238722,9.99819e-05
"English",0.586156,0.0598578,0.0980713,9.9991e-05,0.255815
"Hindi",0.0510853,0.728038,9.99819e-05,0.220677,9.99819e-05
