"language","C1","C2","C3","C4","C5","C6"
"Assamese",9.9991e-05,0.157725,0.0457025,0.0190369,0.234274,0.543162
"Asturian",9.99639e-05,9.99639e-05,0.971922,9.99639e-05,9.99639e-05,0.0276777
"Belarusian",0.9995,9.996e-05,9.996e-05,9.996e-05,9.996e-05,9.996e-05
"Bulgarian",0.353142,9.9982e-05,0.0987713,0.457815,0.0900716,9.9982e-05
"Bengali",9.9982e-05,0.0772935,9.9982e-05,0.00212512,0.278741,0.64164
"Bosnian",9.99639e-05,9.99639e-05,0.0592297,0.94037,9.99639e-05,9.99639e-05
"Catalan",9.9973e-05,9.9973e-05,0.760908,0.0339776,9.9973e-05,0.204815
"Sorani-Kurdish",0.180253,9.9964e-05,9.9964e-05,9.9964e-05,0.819347,9.9964e-05
"Czech",9.9973e-05,0.0730231,9.9973e-05,0.742156,9.9973e-05,0.184521
"Welsh",0.0953593,0.663393,0.00207798,9.9991e-05,0.0382851,0.200785
"Danish",9.99639e-05,0.939053,9.99639e-05,9.99639e-05,9.99639e-05,0.0605475
"German",9.99639e-05,0.818231,9.99639e-05,0.181369,9.99639e-05,9.99639e-05
"Spanish",9.99639e-05,0.0298815,0.969719,9.99639e-05,9.99639e-05,9.99639e-05
"French",0.0100661,0.126006,0.560793,9.9982e-05,0.302935,9.9982e-05
"Irish",9.99729e-05,0.600718,9.99729e-05,0.182602,0.21638,9.99729e-05
"Galician",0.0130434,0.0041762,0.925549,0.0251031,9.9991e-05,0.0320283
"Gujarati",0.0724099,9.99729e-05,9.99729e-05,0.149038,9.99729e-05,0.778252
"Croatian",9.9973e-05,9.9973e-05,0.109239,0.859048,9.9973e-05,0.0314137
"Armenian",0.0945974,0.289615,0.0515004,9.9991e-05,0.395372,0.168816
"Icelandic",0.14324,0.327092,0.12873,0.162068,0.120184,0.118686
"Italian",0.0153891,0.0551566,0.800277,0.128977,9.9982e-05,9.9982e-05
"Kabuverdianu",0.320603,9.99639e-05,0.678997,9.99639e-05,9.99639e-05,9.99639e-05
"Luxembourgish",0.0185673,0.841968,9.9982e-05,0.120698,0.0185666,9.9982e-05
"Lithuanian",0.714002,0.234834,9.9982e-05,0.0319455,0.0190179,9.9982e-05
"Latvian",0.391472,0.320831,9.9982e-05,0.255845,9.9982e-05,0.0316516
"Macedonian",0.20218,0.0823413,9.9982e-05,0.609818,9.9982e-05,0.105461
"Marathi",0.221421,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05,0.778179
"Norwegian",0.162692,0.625592,0.0740152,0.00987613,0.0207611,0.107064
"Nepali",0.148891,0.0311209,9.9982e-05,9.9982e-05,0.0335676,0.78622
"Dutch",0.0186339,0.606458,0.074003,0.161678,0.0332285,0.105999
"Occitan",9.99639e-05,9.99639e-05,0.791841,9.99639e-05,0.207759,9.99639e-05
"Oriya",9.99639e-05,9.99639e-05,9.99639e-05,0.0137544,9.99639e-05,0.985846
"Punjabi",0.228755,9.9973e-05,0.0886058,9.9973e-05,9.9973e-05,0.682339
"Polish",0.213999,0.102242,9.9982e-05,0.615834,9.9982e-05,0.0677247
"Pashto",0.25092,9.99819e-05,0.0134198,9.99819e-05,0.464657,0.270803
"Portuguese",0.459199,9.9973e-05,0.435827,0.104674,9.9973e-05,9.9973e-05
"Romanian",0.415538,9.9982e-05,0.377662,9.9982e-05,0.158256,0.0483439
"Russian",0.954059,9.99639e-05,0.0455409,9.99639e-05,9.99639e-05,9.99639e-05
"Sindhi",0.284845,9.9973e-05,9.9973e-05,9.9973e-05,0.126408,0.588447
"Slovak",9.9973e-05,9.9973e-05,9.9973e-05,0.869361,0.0323315,0.0980076
"Slovenian",0.141229,0.116423,9.9982e-05,0.688664,9.9982e-05,0.0534844
"Serbian",0.00864681,9.9982e-05,0.0243215,0.959303,0.0075283,9.9982e-05
"Swedish",9.9973e-05,0.747519,9.9973e-05,0.191427,0.0607537,9.9973e-05
"Tajik",9.99639e-05,9.99639e-05,9.99639e-05,0.0595588,0.940041,9.99639e-05
"Ukrainian",0.72537,9.99729e-05,9.99729e-05,0.272157,9.99729e-05,0.00217308
"Persian",9.99639e-05,0.119469,9.99639e-05,9.99639e-05,0.880131,9.99639e-05
"Greek",0.142999,0.123178,0.399349,0.0587367,0.153131,0.122607
"Urdu",0.152232,0.0399886,9.99819e-05,9.99819e-05,0.21256,0.59502
"English",9.9982e-05,0.598982,0.0672132,0.221762,0.111842,9.9982e-05
"Hindi",0.181344,0.0603677,9.9982e-05,9.9982e-05,0.0185701,0.739518
