"language","C1","C2","C3","C4","C5","C6","C7"
"Assamese",0.352231,9.9973e-05,0.234865,0.304358,0.108246,9.9973e-05,9.9973e-05
"Asturian",9.995e-05,9.995e-05,9.995e-05,9.995e-05,0.9994,9.995e-05,9.995e-05
"Belarusian",0.0754417,9.99641e-05,9.99641e-05,9.99641e-05,9.99641e-05,0.323437,0.600721
"Bulgarian",9.9973e-05,0.358023,0.0418301,0.19428,9.9973e-05,9.9973e-05,0.405567
"Bengali",0.493231,9.9964e-05,0.289509,0.216861,9.9964e-05,9.9964e-05,9.9964e-05
"Bosnian",9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.114656,9.99548e-05,0.884844
"Catalan",0.167849,0.283217,9.99639e-05,9.99639e-05,0.548534,9.99639e-05,9.99639e-05
"Sorani-Kurdish",9.99639e-05,0.103181,0.776511,9.99639e-05,9.99639e-05,9.99639e-05,0.119908
"Czech",0.00606461,9.99549e-05,9.99549e-05,0.993436,9.99549e-05,9.99549e-05,9.99549e-05
"Welsh",0.16281,9.9973e-05,0.0344281,9.9973e-05,0.0755137,0.726948,9.9973e-05
"Danish",0.0155567,9.99639e-05,9.99639e-05,9.99639e-05,0.11332,0.870724,9.99639e-05
"German",9.99639e-05,9.99639e-05,9.99639e-05,0.264662,0.0936017,0.641337,9.99639e-05
"Spanish",9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.987087,0.012413,9.99549e-05
"French",9.9973e-05,0.227827,0.299097,9.9973e-05,0.381274,0.0915025,9.9973e-05
"Irish",9.996e-05,9.996e-05,0.215738,0.234262,9.996e-05,0.549599,9.996e-05
"Galician",9.9973e-05,0.0250803,9.9973e-05,9.9973e-05,0.88491,0.00798845,0.081721
"Gujarati",0.793952,9.99639e-05,9.99639e-05,0.00238979,9.99639e-05,9.99639e-05,0.203258
"Croatian",9.99639e-05,9.99639e-05,9.99639e-05,0.106414,0.151427,9.99639e-05,0.74176
"Armenian",0.181075,9.9982e-05,0.39002,0.041702,0.11134,0.275663,9.9982e-05
"Icelandic",0.174468,0.0676873,0.0682878,0.0625142,0.124338,0.36011,0.142594
"Italian",9.99639e-05,0.536576,9.99639e-05,0.0434617,0.419562,9.99639e-05,9.99639e-05
"Kabuverdianu",9.99548e-05,0.925988,9.99548e-05,9.99548e-05,0.0735121,9.99548e-05,9.99548e-05
"Luxembourgish",9.9964e-05,0.146468,9.9964e-05,0.31274,9.9964e-05,0.540392,9.9964e-05
"Lithuanian",9.9964e-05,0.397662,9.9964e-05,9.9964e-05,9.9964e-05,0.303735,0.298203
"Latvian",0.0225295,0.165553,9.9973e-05,9.9973e-05,9.9973e-05,0.449523,0.362094
"Macedonian",0.0443258,0.170685,9.9973e-05,0.419736,9.9973e-05,9.9973e-05,0.364954
"Marathi",0.902425,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,0.0970752,9.9955e-05
"Norwegian",0.075129,9.9982e-05,0.0396127,9.9982e-05,0.0926183,0.629563,0.162877
"Nepali",0.734859,0.116707,0.022666,0.125468,9.9973e-05,9.9973e-05,9.9973e-05
"Dutch",0.0275858,0.111415,0.0223244,0.283701,0.080024,0.474849,9.9991e-05
"Occitan",9.99639e-05,0.288089,0.18799,9.99639e-05,0.523521,9.99639e-05,9.99639e-05
"Oriya",0.854821,9.99548e-05,9.99548e-05,0.144679,9.99548e-05,9.99548e-05,9.99548e-05
"Punjabi",0.707622,0.149037,9.99729e-05,9.99729e-05,9.99729e-05,0.105546,0.0374947
"Polish",9.9964e-05,0.0476738,9.9964e-05,0.950251,9.9964e-05,0.00167552,9.9964e-05
"Pashto",0.365314,9.99639e-05,0.50436,9.99639e-05,9.99639e-05,9.99639e-05,0.129926
"Portuguese",9.9964e-05,0.92119,9.9964e-05,0.00206811,9.9964e-05,9.9964e-05,0.0763424
"Romanian",0.0883041,0.68998,0.111095,0.110321,9.9973e-05,9.9973e-05,9.9973e-05
"Russian",9.9973e-05,0.00943423,9.9973e-05,9.9973e-05,0.0122938,0.388658,0.589314
"Sindhi",0.634904,9.9973e-05,0.152872,9.9973e-05,9.9973e-05,0.131957,0.0799673
"Slovak",9.99549e-05,9.99549e-05,9.99549e-05,0.926255,9.99549e-05,9.99549e-05,0.0732455
"Slovenian",0.00196889,0.188124,9.9982e-05,0.430831,9.9982e-05,0.0282478,0.350628
"Serbian",9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.0275913,9.99549e-05,0.971909
"Swedish",9.9982e-05,0.0713295,0.0620195,0.0326733,9.9982e-05,0.714383,0.119395
"Tajik",9.99549e-05,9.99549e-05,0.890555,9.99549e-05,9.99549e-05,9.99549e-05,0.108946
"Ukrainian",0.00514723,0.00936209,9.9982e-05,0.190048,9.9982e-05,0.267922,0.527321
"Persian",9.99639e-05,9.99639e-05,0.928555,9.99639e-05,0.0433338,0.0277118,9.99639e-05
"Greek",0.13116,0.358366,0.0979049,9.9991e-05,0.241497,0.0521154,0.118856
"Urdu",0.597901,9.99729e-05,0.20783,9.99729e-05,9.99729e-05,0.168072,0.0258973
"English",9.9991e-05,0.114397,0.109743,0.164035,0.0644935,0.482668,0.0645631
"Hindi",0.773624,9.99729e-05,0.00827656,9.99729e-05,9.99729e-05,0.151258,0.0665415
