"language","C1","C2","C3","C4","C5","C6","C7","C8"
"Assamese",9.9946e-05,9.9946e-05,9.9946e-05,0.0591804,9.9946e-05,9.9946e-05,9.9946e-05,0.94022
"Asturian",9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05
"Belarusian",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05
"Bulgarian",0.0986797,9.99549e-05,0.850955,9.99549e-05,0.0498656,9.99549e-05,9.99549e-05,9.99549e-05
"Bengali",9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.0353586,9.99459e-05,9.99459e-05,0.964042
"Bosnian",0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05
"Catalan",0.0758893,0.172682,0.0266372,0.69757,0.0269212,9.9973e-05,9.9973e-05,9.9973e-05
"Sorani-Kurdish",9.994e-05,9.994e-05,0.0372046,9.994e-05,0.962196,9.994e-05,9.994e-05,9.994e-05
"Czech",0.466105,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05,0.0417939,0.1648,0.326901
"Welsh",9.9982e-05,0.212848,9.9982e-05,0.0143353,0.0288212,0.630262,0.0889216,0.0246122
"Danish",9.99459e-05,0.103143,9.99459e-05,9.99459e-05,9.99459e-05,0.896257,9.99459e-05,9.99459e-05
"German",0.145943,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.853457,9.99459e-05,9.99459e-05
"Spanish",9.99459e-05,9.99459e-05,9.99459e-05,0.954639,9.99459e-05,0.0447617,9.99459e-05,9.99459e-05
"French",9.99639e-05,9.99639e-05,9.99639e-05,0.52408,0.32835,0.126784,0.0203862,9.99639e-05
"Irish",0.158662,0.0262731,9.99639e-05,9.99639e-05,0.199464,0.615201,9.99639e-05,9.99639e-05
"Galician",0.0373249,9.9982e-05,0.0179671,0.885283,9.9982e-05,0.0110944,0.0401437,0.00798705
"Gujarati",0.154918,0.621626,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.222957
"Croatian",0.879083,0.0243239,9.9964e-05,0.0816249,9.9964e-05,9.9964e-05,9.9964e-05,0.0145682
"Armenian",9.9982e-05,0.161704,9.9982e-05,0.0841823,0.236081,0.287921,0.0501531,0.179758
"Icelandic",0.12872,0.2392,0.109582,0.0810456,0.0437753,0.36061,0.0213544,0.015713
"Italian",0.058095,9.9955e-05,0.271072,0.670333,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05
"Kabuverdianu",9.99457e-05,9.99457e-05,0.570951,0.428449,9.99457e-05,9.99457e-05,9.99457e-05,9.99457e-05
"Luxembourgish",9.9955e-05,9.9955e-05,0.215281,9.9955e-05,9.9955e-05,0.746313,9.9955e-05,0.0379065
"Lithuanian",9.9964e-05,0.0280145,0.812375,9.9964e-05,9.9964e-05,0.0682916,0.0909189,9.9964e-05
"Latvian",0.328097,0.20276,0.108909,9.9982e-05,0.00219841,0.276626,0.0812105,9.9982e-05
"Macedonian",0.14665,9.99548e-05,0.663158,9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.189692
"Marathi",9.99549e-05,0.859389,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.0633617,0.0767491
"Norwegian",9.9982e-05,0.0205391,0.174992,0.0586191,9.9982e-05,0.569452,0.0351576,0.14104
"Nepali",9.9964e-05,0.332222,0.00340134,9.9964e-05,9.9964e-05,9.9964e-05,0.0878911,0.576086
"Dutch",0.0846615,0.0827019,0.0311691,0.0802574,0.0384906,0.501544,0.0958747,0.0853011
"Occitan",9.9946e-05,9.9946e-05,9.9946e-05,0.760755,0.238645,9.9946e-05,9.9946e-05,9.9946e-05
"Oriya",9.99456e-05,0.281719,9.99456e-05,9.99456e-05,9.99456e-05,9.99456e-05,9.99456e-05,0.717682
"Punjabi",0.0441612,0.916833,0.0122732,0.0263323,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05
"Polish",0.306167,9.9973e-05,0.0420742,9.9973e-05,9.9973e-05,0.0893122,0.329109,0.233038
"Pashto",9.99548e-05,0.44634,9.99548e-05,9.99548e-05,0.547396,9.99548e-05,0.00576445,9.99548e-05
"Portuguese",9.9955e-05,9.9955e-05,0.733341,0.260309,9.9955e-05,9.9955e-05,0.00585038,9.9955e-05
"Romanian",9.9982e-05,0.0856809,0.40535,0.265358,0.101533,9.9982e-05,0.104813,0.037064
"Russian",9.99459e-05,9.99459e-05,9.99459e-05,0.0181107,9.99459e-05,9.99459e-05,0.98129,9.99459e-05
"Sindhi",9.9955e-05,0.804003,9.9955e-05,9.9955e-05,0.174919,9.9955e-05,0.020578,9.9955e-05
"Slovak",0.572128,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05,0.00394992,0.134646,0.288876
"Slovenian",0.433297,0.0171163,0.440888,9.99729e-05,9.99729e-05,0.0278402,9.99729e-05,0.0805588
"Serbian",0.956657,9.99459e-05,0.0427431,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05
"Swedish",0.117269,9.9973e-05,0.158326,9.9973e-05,0.0138054,0.675238,9.9973e-05,0.0350612
"Tajik",9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.891055,9.99459e-05,9.99459e-05,0.108346
"Ukrainian",0.144307,0.018848,0.151543,9.99729e-05,9.99729e-05,9.99729e-05,0.669029,0.015973
"Persian",9.99548e-05,9.99548e-05,9.99548e-05,9.99548e-05,0.701497,0.107488,9.99548e-05,0.190515
"Greek",9.9973e-05,0.12071,0.499155,0.319043,0.0601605,9.9973e-05,9.9973e-05,0.000631706
"Urdu",9.99549e-05,0.769489,9.99549e-05,9.99549e-05,0.179562,0.0504498,9.99549e-05,9.99549e-05
"English",0.223739,0.0277338,0.0381799,0.0252036,0.0924471,0.592497,9.9982e-05,9.9982e-05
"Hindi",0.0199494,0.851601,9.99639e-05,9.99639e-05,9.99639e-05,0.0720474,9.99639e-05,0.0560028
