"language","C1","C2","C3","C4","C5","C6","C7","C8","C9"
"Assamese",9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.0575986,0.941702
"Asturian",9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05
"Belarusian",0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"Bulgarian",0.117796,9.9964e-05,0.413331,0.222425,9.9964e-05,0.183978,0.0620708,9.9964e-05,9.9964e-05
"Bengali",9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.052747,9.99369e-05,0.946553
"Bosnian",9.99368e-05,9.99368e-05,9.99368e-05,0.989178,9.99368e-05,9.99368e-05,9.99368e-05,0.0101223,9.99368e-05
"Catalan",9.99639e-05,9.99639e-05,0.24135,9.99639e-05,0.166608,0.0245446,0.00589239,0.561206,9.99639e-05
"Sorani-Kurdish",0.0137618,9.9955e-05,0.0685283,0.0018283,9.9955e-05,9.9955e-05,0.915382,9.9955e-05,9.9955e-05
"Czech",9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.0203698,0.978931,9.99369e-05,9.99369e-05,9.99369e-05
"Welsh",0.0562574,0.642591,9.9973e-05,9.9973e-05,0.184607,9.9973e-05,0.00326135,0.0583359,0.0546476
"Danish",9.99459e-05,0.866165,9.99459e-05,9.99459e-05,0.0662662,9.99459e-05,9.99459e-05,0.0669695,9.99459e-05
"German",9.99458e-05,0.739769,9.99458e-05,9.99458e-05,9.99458e-05,0.195072,9.99458e-05,0.0645594,9.99458e-05
"Spanish",9.99369e-05,0.014209,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.985091,9.99369e-05
"French",9.99549e-05,0.118184,0.175307,9.99549e-05,9.99549e-05,9.99549e-05,0.323841,0.382169,9.99549e-05
"Irish",9.99549e-05,0.540059,9.99549e-05,9.99549e-05,0.0417236,0.217946,0.199771,9.99549e-05,9.99549e-05
"Galician",0.0469984,9.99639e-05,0.000198835,0.0513588,9.99639e-05,9.99639e-05,9.99639e-05,0.893173,0.00787079
"Gujarati",9.99549e-05,9.99549e-05,9.99549e-05,0.128471,0.634384,0.0405252,9.99549e-05,9.99549e-05,0.19612
"Croatian",9.9964e-05,9.9964e-05,9.9964e-05,0.832624,0.0376669,0.0802381,9.9964e-05,0.0474925,0.00157882
"Armenian",0.0386188,0.232314,9.99731e-05,9.99731e-05,0.18768,9.99731e-05,0.317587,0.0964947,0.127005
"Icelandic",0.0487398,0.39897,0.0182458,0.0994891,0.104512,0.132853,0.0231082,0.13465,0.0394312
"Italian",9.99549e-05,9.99549e-05,0.514733,0.0154979,9.99549e-05,0.0380527,9.99549e-05,0.431217,9.99549e-05
"Kabuverdianu",9.99366e-05,9.99366e-05,0.906762,9.99366e-05,9.99366e-05,9.99366e-05,9.99366e-05,0.0925385,9.99366e-05
"Luxembourgish",9.9946e-05,0.617037,0.128407,9.9946e-05,9.9946e-05,0.253957,9.9946e-05,9.9946e-05,9.9946e-05
"Lithuanian",0.266858,0.21734,0.462632,0.0526703,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05
"Latvian",0.0994951,0.317748,0.164031,0.251212,0.167114,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"Macedonian",0.0956584,9.99639e-05,0.192477,0.220551,9.99639e-05,0.297699,9.99639e-05,9.99639e-05,0.193214
"Marathi",0.0709738,9.99459e-05,9.99459e-05,9.99459e-05,0.85691,9.99459e-05,9.99459e-05,9.99459e-05,0.0715162
"Norwegian",0.0702718,0.599679,0.0109522,0.0936759,9.9973e-05,9.9973e-05,9.9973e-05,0.0509123,0.174209
"Nepali",0.0380609,9.99549e-05,0.0903922,9.99549e-05,0.31776,9.99549e-05,9.99549e-05,9.99549e-05,0.553287
"Dutch",0.011537,0.456803,0.114176,9.9982e-05,0.0521405,0.285072,0.00865639,0.0714138,9.9982e-05
"Occitan",9.99459e-05,9.99459e-05,0.253975,9.99459e-05,9.99459e-05,9.99459e-05,0.199423,0.546002,9.99459e-05
"Oriya",9.99366e-05,9.99366e-05,9.99366e-05,9.99366e-05,0.276662,9.99366e-05,9.99366e-05,9.99366e-05,0.722638
"Punjabi",9.99459e-05,9.99459e-05,0.121537,0.0206368,0.857227,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05
"Polish",0.087867,9.9937e-05,9.9937e-05,9.9937e-05,9.9937e-05,0.911433,9.9937e-05,9.9937e-05,9.9937e-05
"Pashto",0.0211691,9.99458e-05,9.99458e-05,9.99458e-05,0.471543,9.99458e-05,0.506689,9.99458e-05,9.99458e-05
"Portuguese",0.0271859,9.99549e-05,0.943045,0.0258828,9.99549e-05,0.00338607,9.99549e-05,9.99549e-05,9.99549e-05
"Romanian",0.0624205,9.9982e-05,0.621398,9.9982e-05,0.106256,0.0797365,0.102737,0.0107892,0.0164635
"Russian",0.970572,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,0.0287282,9.99368e-05
"Sindhi",9.9937e-05,9.9937e-05,9.9937e-05,9.9937e-05,0.804591,9.9937e-05,0.194709,9.9937e-05,9.9937e-05
"Slovak",9.99368e-05,9.99368e-05,9.99368e-05,0.0622732,9.99368e-05,0.937027,9.99368e-05,9.99368e-05,9.99368e-05
"Slovenian",9.99639e-05,0.0353316,0.19602,0.2999,0.0393701,0.428979,9.99639e-05,9.99639e-05,9.99639e-05
"Serbian",9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05
"Swedish",9.99549e-05,0.718753,0.0829423,0.126237,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.0715672
"Tajik",9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.909161,9.99369e-05,0.0901398
"Ukrainian",0.686197,0.00914769,9.99639e-05,0.0916043,0.026331,0.18632,9.99639e-05,9.99639e-05,9.99639e-05
"Persian",9.99457e-05,0.0817344,9.99457e-05,9.99457e-05,9.99457e-05,9.99457e-05,0.736507,9.99457e-05,0.181159
"Greek",9.998e-05,0.0830832,0.360628,0.0770759,0.14098,9.998e-05,0.0665307,0.21382,0.0576829
"Urdu",9.99458e-05,0.0381032,9.99458e-05,9.99458e-05,0.756384,9.99458e-05,0.204913,9.99458e-05,9.99458e-05
"English",9.9982e-05,0.469153,0.146802,0.118237,0.0339592,0.126741,0.0999664,0.00494107,9.9982e-05
"Hindi",9.99549e-05,0.0905286,9.99549e-05,0.0147487,0.831603,9.99549e-05,9.99549e-05,9.99549e-05,0.06262
