"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Assamese",9.9928e-05,0.941923,9.9928e-05,9.9928e-05,9.9928e-05,9.9928e-05,9.9928e-05,9.9928e-05,9.9928e-05,0.0572772
"Asturian",9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,0.999101
"Belarusian",9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,0.999101,9.99201e-05
"Bulgarian",9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.982973,9.99278e-05,0.0162277,9.99278e-05,9.99278e-05
"Bengali",9.99279e-05,0.967716,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.0314845,9.99279e-05,9.99279e-05
"Bosnian",0.999101,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05,9.99201e-05
"Catalan",0.015482,9.99639e-05,0.157793,0.266425,0.0360861,9.99639e-05,9.99639e-05,0.00656282,9.99639e-05,0.517251
"Sorani-Kurdish",9.9937e-05,9.9937e-05,9.9937e-05,0.0164145,9.9937e-05,0.00268662,9.9937e-05,0.980199,9.9937e-05,9.9937e-05
"Czech",9.99279e-05,9.99279e-05,0.0096603,9.99279e-05,0.98954,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05
"Welsh",9.9964e-05,0.0674549,0.13588,9.9964e-05,9.9964e-05,9.9964e-05,0.635493,0.0204556,0.0825108,0.0578058
"Danish",9.99369e-05,9.99369e-05,0.0664251,9.99369e-05,9.99369e-05,9.99369e-05,0.860165,9.99369e-05,9.99369e-05,0.0727104
"German",0.018624,9.99548e-05,9.99548e-05,9.99548e-05,0.192493,0.00942641,0.732887,9.99548e-05,9.99548e-05,0.0460699
"Spanish",9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.0104895,9.99369e-05,0.00254481,9.99369e-05,9.99369e-05,0.986266
"French",9.99459e-05,9.99459e-05,9.99459e-05,0.336139,9.99459e-05,9.99459e-05,0.0813642,0.279636,9.99459e-05,0.302261
"Irish",0.0066794,9.99549e-05,0.00966467,9.99549e-05,0.213695,9.99549e-05,0.586309,0.183152,9.99549e-05,9.99549e-05
"Galician",0.0236511,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.0451165,9.99459e-05,9.99459e-05,0.0350907,0.895542
"Gujarati",0.118319,0.209563,0.636554,9.99459e-05,0.0349651,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05
"Croatian",0.812457,0.0184042,0.017422,9.9973e-05,0.0847974,0.0097092,0.0048844,9.9973e-05,9.9973e-05,0.0520257
"Armenian",9.99641e-05,0.170594,0.164998,9.99641e-05,9.99641e-05,9.99641e-05,0.265967,0.245488,0.0468986,0.105655
"Icelandic",0.0102055,0.100596,0.170984,9.9991e-05,0.0305454,0.128278,0.295026,0.0825756,0.0489671,0.132722
"Italian",0.02444,0.00098765,9.99549e-05,0.573627,0.0458054,9.99549e-05,9.99549e-05,9.99549e-05,9.99549e-05,0.354641
"Kabuverdianu",9.99277e-05,9.99277e-05,9.99277e-05,0.984942,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,0.0142588
"Luxembourgish",9.9946e-05,9.9946e-05,9.9946e-05,0.104627,0.236703,0.0370125,0.621057,9.9946e-05,9.9946e-05,9.9946e-05
"Lithuanian",9.9946e-05,9.9946e-05,9.9946e-05,0.165025,9.9946e-05,0.441348,0.20279,9.9946e-05,0.190237,9.9946e-05
"Latvian",0.242135,9.9964e-05,0.140618,0.132005,9.9964e-05,9.9964e-05,0.342321,0.00510487,0.137416,9.9964e-05
"Macedonian",9.99367e-05,0.0590522,9.99367e-05,9.99367e-05,0.0391779,0.90107,9.99367e-05,9.99367e-05,9.99367e-05,9.99367e-05
"Marathi",9.99369e-05,0.0651357,0.877856,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,9.99369e-05,0.0563086,9.99369e-05
"Norwegian",0.0131061,0.151148,9.9964e-05,9.9964e-05,9.9964e-05,0.135218,0.556937,9.9964e-05,0.0652307,0.0779607
"Nepali",9.99459e-05,0.581908,0.266799,0.0801749,9.99459e-05,9.99459e-05,9.99459e-05,9.99459e-05,0.0705182,9.99459e-05
"Dutch",9.9964e-05,9.9964e-05,0.0546957,0.0963886,0.265875,9.9964e-05,0.486202,9.9964e-05,0.0361185,0.0603202
