"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11"
"Assamese",9.99189e-05,9.99189e-05,9.99189e-05,0.102561,0.89654,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05
"Asturian",9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,0.999001
"Belarusian",9.99101e-05,0.999001,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05
"Bulgarian",9.99278e-05,9.99278e-05,0.0166326,9.99278e-05,9.99278e-05,0.973144,9.99278e-05,9.99278e-05,9.99278e-05,0.00942449,9.99278e-05
"Bengali",9.99278e-05,9.99278e-05,0.0532889,0.077405,0.868507,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05
"Bosnian",9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,0.999001,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05
"Catalan",0.0296249,9.99458e-05,9.99458e-05,9.99458e-05,0.0123703,9.99458e-05,9.99458e-05,9.99458e-05,0.213958,0.347184,0.396264
"Sorani-Kurdish",9.99188e-05,9.99188e-05,0.81903,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.180071,9.99188e-05,9.99188e-05
"Czech",0.00808649,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.988205,9.99279e-05,0.00290877,9.99279e-05
"Welsh",9.99368e-05,9.99368e-05,9.99368e-05,0.228557,0.0694989,9.99368e-05,9.99368e-05,9.99368e-05,0.638372,9.99368e-05,0.0628726
"Danish",0.0740041,9.99188e-05,9.99188e-05,0.925097,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05
"German",9.99278e-05,9.99278e-05,9.99278e-05,0.801016,9.99278e-05,9.99278e-05,0.0182188,0.179965,9.99278e-05,9.99278e-05,9.99278e-05
"Spanish",9.99279e-05,9.99279e-05,9.99279e-05,0.0574239,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,9.99279e-05,0.00465585,0.937121
"French",9.99368e-05,0.000546706,0.150123,0.149707,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,0.698924,9.99368e-05
"Irish",9.99368e-05,9.99368e-05,0.157936,0.359426,9.99368e-05,9.99368e-05,9.99368e-05,0.158346,0.323592,9.99368e-05,9.99368e-05
