"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12"
"Assamese",9.991e-05,9.991e-05,9.991e-05,9.991e-05,0.038787,9.991e-05,9.991e-05,9.991e-05,0.960214,9.991e-05,9.991e-05,9.991e-05
"Asturian",9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.998901,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05
"Belarusian",9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.998901,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05
"Bulgarian",0.986102,0.00593094,0.00706752,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05
"Bengali",9.99098e-05,9.99098e-05,9.99098e-05,0.0127022,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.986299,9.99098e-05,9.99098e-05,9.99098e-05
"Bosnian",9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.998901,9.99008e-05
"Catalan",9.99368e-05,0.278553,0.0261898,9.99368e-05,0.455028,9.99368e-05,9.99368e-05,0.052071,9.99368e-05,0.187458,9.99368e-05,9.99368e-05
"Sorani-Kurdish",9.99098e-05,9.99098e-05,0.908008,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.0909925,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05
"Czech",9.99098e-05,9.99098e-05,9.99098e-05,0.0434572,9.99098e-05,0.955544,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05
"Welsh",9.99277e-05,9.99277e-05,9.99277e-05,9.99277e-05,0.0675147,9.99277e-05,9.99277e-05,0.692049,0.141558,9.99277e-05,9.99277e-05,0.0980791
"Danish",9.99188e-05,9.99188e-05,9.99188e-05,0.0490782,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.030152,9.99188e-05,0.919871
"German",9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.151038,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.847963
"Spanish",9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.949876,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.0491248
"French",9.99278e-05,0.397676,0.245094,9.99278e-05,0.176508,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.179922
"Irish",9.99368e-05,9.99368e-05,0.138337,9.99368e-05,9.99368e-05,0.194182,9.99368e-05,0.365941,0.00905327,9.99368e-05,9.99368e-05,0.291787
"Galician",0.0554146,9.99189e-05,9.99189e-05,9.99189e-05,0.912412,9.99189e-05,0.0312737,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05,9.99189e-05
"Gujarati",9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.928836,0.0701653,9.99097e-05
"Croatian",0.0108806,9.9946e-05,9.9946e-05,0.0200793,0.0349629,0.0865848,9.9946e-05,9.9946e-05,9.9946e-05,9.9946e-05,0.829087,0.0178057
"Armenian",9.99461e-05,9.99461e-05,0.0814131,0.108564,0.10883,9.99461e-05,0.023368,0.356997,0.320228,9.99461e-05,9.99461e-05,9.99461e-05
"Icelandic",0.1225,9.9973e-05,9.9973e-05,0.0733719,0.127893,0.032318,0.0339472,0.341898,0.146351,9.9973e-05,0.0190892,0.102332
"Italian",9.99459e-05,0.637705,9.99459e-05,9.99459e-05,0.254925,0.0368537,9.99459e-05,9.99459e-05,0.00199237,9.99459e-05,0.04801,0.019914
"Kabuverdianu",0.0273124,0.971688,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05
