"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13"
"Assamese",0.906794,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.039455,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.0527521,9.99099e-05
"Asturian",9.98918e-05,9.98918e-05,0.998801,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Belarusian",9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.998801,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Bulgarian",9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.93289,0.0660113,9.99007e-05
"Bengali",0.881642,9.99097e-05,9.99097e-05,0.0523033,9.99097e-05,9.99097e-05,0.0650556,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05
"Bosnian",9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.998801,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Catalan",9.99278e-05,9.99278e-05,0.420207,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.058611,0.105945,9.99278e-05,0.209768,0.204669
"Sorani-Kurdish",9.99007e-05,9.99007e-05,9.99007e-05,0.797903,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.200998
"Czech",9.99009e-05,0.982682,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05,0.0162188,9.99009e-05,9.99009e-05,9.99009e-05,9.99009e-05
"Welsh",0.0997913,9.99278e-05,0.0416843,9.99278e-05,9.99278e-05,0.00968865,0.149953,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,9.99278e-05,0.698084
"Danish",9.99098e-05,9.99098e-05,0.0106225,9.99098e-05,9.99098e-05,9.99098e-05,0.914929,9.99098e-05,0.0734492,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05
"German",9.99097e-05,0.155226,9.99097e-05,9.99097e-05,0.0264663,9.99097e-05,0.817308,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05
"Spanish",9.99098e-05,9.99098e-05,0.907664,9.99098e-05,9.99098e-05,9.99098e-05,0.0434869,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.0478497,9.99098e-05
"French",9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,9.99098e-05,0.0294607,0.0197769,9.99098e-05,9.99098e-05,9.99098e-05,0.949763,9.99098e-05
"Irish",9.99187e-05,0.174144,9.99187e-05,0.169969,9.99187e-05,9.99187e-05,0.343533,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,9.99187e-05,0.311455
"Galician",9.99189e-05,9.99189e-05,0.933484,9.99189e-05,0.00420165,9.99189e-05,9.99189e-05,0.0326921,9.99189e-05,9.99189e-05,0.0287229,9.99189e-05,9.99189e-05
"Gujarati",0.262028,9.99187e-05,9.99187e-05,9.99187e-05,0.0813449,9.99187e-05,9.99187e-05,9.99187e-05,0.459872,9.99187e-05,9.99187e-05,9.99187e-05,0.195855
"Croatian",9.9946e-05,0.0653969,0.00676342,9.9946e-05,0.820529,9.9946e-05,0.0158528,9.9946e-05,0.0484239,9.9946e-05,0.0164276,0.0260072,9.9946e-05
"Armenian",0.0250654,9.99282e-05,0.0816978,0.360539,9.99282e-05,9.99282e-05,0.319325,9.99282e-05,0.212574,9.99282e-05,9.99282e-05,9.99282e-05,9.99282e-05
"Icelandic",9.98901e-05,9.98901e-05,9.98901e-05,9.98901e-05,9.98901e-05,0.998801,9.98901e-05,9.98901e-05,9.98901e-05,9.98901e-05,9.98901e-05,9.98901e-05,9.98901e-05
"Italian",9.99279e-05,0.0227405,0.325628,9.99279e-05,0.00498886,9.99279e-05,0.00837382,9.99279e-05,9.99279e-05,0.637469,9.99279e-05,9.99279e-05,9.99279e-05
