"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14"
"Assamese",0.0196907,9.991e-05,9.991e-05,9.991e-05,9.991e-05,9.991e-05,9.991e-05,9.991e-05,9.991e-05,9.991e-05,0.0557769,9.991e-05,0.912312,0.0112211
"Asturian",9.98827e-05,9.98827e-05,9.98827e-05,0.998702,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Belarusian",9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.998702,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05
"Bulgarian",9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.948953,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.0498479,9.98917e-05,9.98917e-05,9.98917e-05
"Bengali",0.0642869,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.0977132,9.99007e-05,9.99007e-05,9.99007e-05,9.99007e-05,0.836901,9.99007e-05
"Bosnian",9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.998702,9.98828e-05,9.98828e-05
"Catalan",9.99278e-05,0.138913,9.99278e-05,0.425567,9.99278e-05,0.148109,9.99278e-05,9.99278e-05,9.99278e-05,0.0679945,0.192691,9.99278e-05,0.0259263,9.99278e-05
"Sorani-Kurdish",9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,0.259829,9.98918e-05,0.738972,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05,9.98918e-05
"Czech",0.00612612,9.98984e-05,9.98984e-05,9.98984e-05,9.98984e-05,9.98984e-05,9.98984e-05,9.98984e-05,0.992675,9.98984e-05,9.98984e-05,9.98984e-05,9.98984e-05,9.98984e-05
"Welsh",9.99008e-05,9.99008e-05,0.950717,0.0134458,9.99008e-05,0.0347383,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05
"Danish",0.434851,9.99188e-05,0.0842727,0.0229616,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,9.99188e-05,0.0409597,9.99188e-05,9.99188e-05,9.99188e-05,0.416056
