"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15"
"Assamese",9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,0.97523,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,0.0234711
"Asturian",9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.998602,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Belarusian",9.98738e-05,9.98738e-05,9.98738e-05,0.998602,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Bulgarian",9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,9.98826e-05,0.931982,9.98826e-05,9.98826e-05,0.0667197
"Bengali",9.98827e-05,9.98827e-05,0.0988054,9.98827e-05,0.899896,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05
"Bosnian",0.998602,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Catalan",9.99097e-05,0.179532,9.99097e-05,9.99097e-05,9.99097e-05,0.365234,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,9.99097e-05,0.237172,0.00540234,0.21166
"Sorani-Kurdish",9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.998602,9.98738e-05
"Czech",9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,0.0268994,9.98829e-05,9.98829e-05,0.971802,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05
"Welsh",9.99099e-05,9.99099e-05,9.99099e-05,0.0306179,9.99099e-05,0.040952,0.571544,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,9.99099e-05,0.238867,0.117019,9.99099e-05
