"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16"
"Assamese",9.98829e-05,9.98829e-05,9.98829e-05,0.986531,9.98829e-05,0.00363053,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,9.98829e-05,0.00854038,9.98829e-05,9.98829e-05,9.98829e-05
"Asturian",9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.998502,9.98647e-05,9.98647e-05,9.98647e-05
"Belarusian",9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,9.98649e-05,0.998502,9.98649e-05
"Bulgarian",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0406062,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.957996
"Bengali",0.10808,9.98737e-05,9.98737e-05,0.890522,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Bosnian",9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.998502,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05
"Catalan",9.99008e-05,9.99008e-05,0.214886,9.99008e-05,0.00168811,9.99008e-05,9.99008e-05,9.99008e-05,0.0154875,0.350138,9.99008e-05,9.99008e-05,0.416702,9.99008e-05,9.99008e-05,9.99008e-05
"Sorani-Kurdish",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0979192,9.98737e-05,9.98737e-05,9.98737e-05,0.900683,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Czech",9.98828e-05,9.98828e-05,9.98828e-05,0.00143506,9.98828e-05,9.98828e-05,9.98828e-05,0.953608,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.0436586,9.98828e-05,9.98828e-05
"Welsh",9.99008e-05,9.99008e-05,0.0956629,9.99008e-05,0.0104148,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,9.99008e-05,0.860519,9.99008e-05,0.0252165,9.99008e-05,0.00708775,9.99008e-05
