"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17"
"Assamese",9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0248766,0.000180808,9.98738e-05,0.973544,9.98738e-05,9.98738e-05
"Asturian",9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.998402,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05
"Belarusian",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.998402,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05
"Bulgarian",9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,9.98736e-05,0.068896,9.98736e-05,0.00198425,9.98736e-05,9.98736e-05,0.927721
"Bengali",9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.0965155,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.901987,9.98647e-05,9.98647e-05
"Bosnian",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.998402,9.98558e-05
"Catalan",9.98917e-05,0.218059,9.98917e-05,9.98917e-05,0.373643,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.13705,9.98917e-05,0.205534,9.98917e-05,0.0645141,9.98917e-05,9.98917e-05,9.98917e-05
"Sorani-Kurdish",9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,0.998402,9.98555e-05,9.98555e-05,9.98555e-05
"Czech",9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.938175,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.0603271,9.98647e-05,9.98647e-05,9.98647e-05
"Welsh",9.98737e-05,0.0547116,9.98737e-05,9.98737e-05,0.0378444,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.906046,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
