"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18"
"Assamese",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.968761,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0296418,9.98558e-05
"Asturian",0.998303,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05
"Belarusian",9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,0.998303,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05
"Bulgarian",9.98557e-05,9.98557e-05,9.98557e-05,0.94428,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.0541228,9.98557e-05
"Bengali",9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.0946245,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,0.8931,0.010778,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05,9.98647e-05
"Bosnian",9.98468e-05,9.98468e-05,0.998303,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05
"Catalan",0.391636,0.165574,9.98827e-05,9.98827e-05,0.0618175,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.207239,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,9.98827e-05,0.172436,9.98827e-05
"Sorani-Kurdish",9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,0.998303,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05
"Czech",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0530853,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.00290593,0.0126635,9.98737e-05,9.98737e-05,0.929947,9.98737e-05,9.98737e-05,9.98737e-05
"Welsh",0.00681144,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0102831,0.925645,9.98738e-05,0.0558626,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Danish",0.0200831,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,9.98917e-05,0.00234559,9.98917e-05,9.98917e-05,0.0809279,9.98917e-05,9.98917e-05,0.493614,9.98917e-05,0.357305,9.98917e-05,0.0445259
"German",9.98555e-05,9.98555e-05,0.0451337,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,0.953269,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05
"Spanish",0.921959,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.00551829,0.0016246,0.00868552,0.0609145,9.98828e-05
"French",9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.00213696,9.98738e-05,0.0105754,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0437716,0.942118,9.98738e-05
"Irish",9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.839553,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0635096,9.98646e-05,0.0954394,9.98646e-05,9.98646e-05,9.98646e-05
"Galician",0.921728,0.0295416,9.98738e-05,0.0205087,9.98738e-05,9.98738e-05,0.0268236,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Gujarati",9.98556e-05,9.98556e-05,0.0593596,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,0.939043,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05,9.98556e-05
"Croatian",0.0139376,9.9901e-05,0.826439,9.9901e-05,9.9901e-05,0.0844817,9.9901e-05,9.9901e-05,9.9901e-05,9.9901e-05,0.00833528,9.9901e-05,9.9901e-05,0.0311216,0.0315026,9.9901e-05,9.9901e-05,0.0030831
"Armenian",9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,0.998303,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05,9.98465e-05
"Icelandic",9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,9.98471e-05,0.998303
"Italian",0.299322,0.522881,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,9.98828e-05,0.0452872,0.102899,0.0283123,9.98828e-05
"Kabuverdianu",9.98555e-05,0.983883,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,9.98555e-05,0.0145193,9.98555e-05
"Luxembourgish",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0779007,9.98558e-05,9.98558e-05,9.98558e-05,0.920502,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05
"Lithuanian",9.98648e-05,0.0149984,9.98648e-05,0.18803,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.795473,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05
"Latvian",9.98646e-05,9.98646e-05,0.0162713,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.00169662,0.980534,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"Macedonian",9.98646e-05,9.98646e-05,9.98646e-05,0.939486,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0388186,9.98646e-05,0.0201971,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05
"Marathi",9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.0553485,9.98737e-05,9.98737e-05,0.447587,0.468349,9.98737e-05,9.98737e-05,0.0273172,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Norwegian",9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,0.0199643,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,9.98559e-05,0.978438,9.98559e-05,9.98559e-05
