"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19"
"Assamese",9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,0.0379092,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,9.98469e-05,0.960393
"Asturian",9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,0.998203,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05
"Belarusian",9.98379e-05,0.998203,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05,9.98379e-05
"Bulgarian",9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,9.98648e-05,0.0105952,9.98648e-05,9.98648e-05,9.98648e-05,0.0164101,0.00467648,9.98648e-05,0.96682,9.98648e-05,9.98648e-05
"Bengali",9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.0860163,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.912286
"Bosnian",9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,0.998203,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05
"Catalan",9.98738e-05,9.98738e-05,0.230039,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,0.0194091,0.248111,0.375212,9.98738e-05,9.98738e-05,0.125831,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05,9.98738e-05
"Sorani-Kurdish",9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.0639017,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,0.934401,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05,9.98466e-05
"Czech",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.015146,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0381184,9.98558e-05,0.945138,9.98558e-05
"Welsh",9.98467e-05,9.98467e-05,9.98467e-05,0.984697,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.0136057,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05
"Danish",9.98557e-05,9.98557e-05,0.0279474,9.98557e-05,9.98557e-05,0.93524,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,9.98557e-05,0.0352151,9.98557e-05,9.98557e-05,9.98557e-05
"German",9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.854403,9.98646e-05,9.98646e-05,0.00862069,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,9.98646e-05,0.0116316,9.98646e-05,9.98646e-05,0.123847,9.98646e-05
"Spanish",9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,0.0230962,9.98558e-05,9.98558e-05,9.98558e-05,0.0590059,0.9163,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05,9.98558e-05
