"language","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20"
"Assamese",9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05,0.03005,9.98378e-05,0.968153,9.98378e-05,9.98378e-05,9.98378e-05,9.98378e-05
"Asturian",9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,0.997752,9.98377e-05,0.000450628,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05
"Belarusian",9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,0.998103,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05
"Bulgarian",9.98467e-05,0.00153467,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.0464158,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.950352
"Bengali",9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05,0.0909972,9.98377e-05,9.98377e-05,0.907206,9.98377e-05,9.98377e-05,9.98377e-05,9.98377e-05
"Bosnian",9.98289e-05,9.98289e-05,9.98289e-05,0.998103,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05,9.98289e-05
"Catalan",0.180511,0.0939901,9.98737e-05,9.98737e-05,0.035328,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,0.034077,9.98737e-05,0.402898,9.98737e-05,0.251798,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05,9.98737e-05
"Sorani-Kurdish",9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,0.0457589,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,9.98376e-05,0.952444,9.98376e-05,9.98376e-05
"Czech",9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.961561,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,9.98468e-05,0.0045668,0.0321748,9.98468e-05,9.98468e-05,9.98468e-05
"Welsh",0.0509212,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,0.943943,9.98467e-05,9.98467e-05,0.00343802,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05,9.98467e-05
