"K","CE"
2,0.669236017741113
3,0.648023630538067
4,0.640054758975552
5,0.637690414367853
6,0.630413606000105
7,0.632180394361803
8,0.629704192814169
9,0.626891747444855
10,0.632775164316739
11,0.636582277449803
12,0.65218335700225
13,0.662203634700906
14,0.685076459488889
15,0.698564988273021
16,0.724663338764336
17,0.736918203922241
18,0.758041061722548
19,0.814898107500156
20,0.826900640456481
21,0.867203522187329
22,0.903317264038433
23,0.917064329405139
24,0.988878905159564
25,1.02889873174458
26,1.06715235678811
27,1.07471566592373
28,1.14846317190469
29,1.17023759704399
30,1.23471241376791
